| Government | Puerto Rico |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Puerto Rico |
| Country name: | conventional short form: Puerto Rico |
| Country name: | abbreviation: PR |
| Country name: | etymology: Christopher COLUMBUS named the island San Juan Bautista (Saint John the Baptist) and the capital city and main port Cuidad de Puerto Rico (Rich Port City); over time, however, the names were shortened and transposed and the island came to be called Puerto Rico and its capital San Juan |
| Dependency status: | unincorporated organized territory of the US; policy relations between Puerto Rico and the US conducted under the jurisdiction of the Office of the President |
| Government type: | republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government |
| Government type: | Note: reference Puerto Rican Federal Relations Act, 2 March 1917, as amended by Public Law 600, 3 July 1950 |
| Capital: | name: San Juan |
| Capital: | geographic coordinates: 18 28 N, 66 07 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name dates to 1521 and the founding of the city under the name "Ciudad de San Juan Bautista de Puerto Rico" (City of Saint John the Baptist of Puerto Rico) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are 78 municipalities (municipios, singular - municipio) at the second order; Adjuntas, Aguada, Aguadilla, Aguas Buenas, Aibonito, Anasco, Arecibo, Arroyo, Barceloneta, Barranquitas, Bayamon, Cabo Rojo, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Coamo, Comerio, Corozal, Culebra, Dorado, Fajardo, Florida, Guanica, Guayama, Guayanilla, Guaynabo, Gurabo, Hatillo, Hormigueros, Humacao, Isabela, Jayuya, Juana Diaz, Juncos, Lajas, Lares, Las Marias, Las Piedras, Loiza, Luquillo, Manati, Maricao, Maunabo, Mayaguez, Moca, Morovis, Naguabo, Naranjito, Orocovis, Patillas, Penuelas, Ponce, Quebradillas, Rincon, Rio Grande, Sabana Grande, Salinas, San German, San Juan, San Lorenzo, San Sebastian, Santa Isabel, Toa Alta, Toa Baja, Trujillo Alto, Utuado, Vega Alta, Vega Baja, Vieques, Villalba, Yabucoa, Yauco |
| Independence: | none (territory of the US with commonwealth status) |
| National holiday: | US Independence Day, 4 July (1776); Puerto Rico Constitution Day, 25 July (1952) |
| Constitution: | history: previous 1900 (Organic Act, or Foraker Act); latest ratified by referendum 3 March 1952, approved 3 July 1952, effective 25 July 1952 |
| Constitution: | amendments: proposed by a concurrent resolution of at least two-thirds majority by the total Legislative Assembly membership; approval requires at least two-thirds majority vote by the membership of both houses and approval by a majority of voters in a special referendum; if passed by at least three-fourths Assembly vote, the referendum can be held concurrently with the next general election; constitutional articles such as the republican form of government or the bill of rights cannot be amended; amended 1952 |
| Legal system: | civil law system based on the Spanish civil code and within the framework of the US federal system |
| Citizenship: | see United States |
| Suffrage: | 18 years of age; universal; note - island residents are US citizens but do not vote in US presidential elections |
| Executive branch: | chief of state: President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017) |
| Executive branch: | head of government: Governor Wanda VAZQUEZ (sinceÂ 7 August 2019) |
| Executive branch: | cabinet: Cabinet appointed by governor with the consent of the Legislative Assembly |
| Executive branch: | elections/appointments: president and vice president indirectly elected on the same ballot by an Electoral College of 'electors' chosen from each state; president and vice president serve a 4-year term (eligible for a second term); under the US Constitution, residents of Puerto Rico do not vote in elections for US president and vice president; however, they may vote in Democratic and Republican party presidential primary elections; governor directly elected by simple majority popular vote for a 4-year term (no term limits); election last held on 3 November 2020 (next to be held onÂ  November 2024) |
| Executive branch: | election results: Pedro PIERLUISI elected governor; percent of vote - Pedro PIERLUISI (PNP) 32.9%, Carlos DELGADO (PPD) 31.6%, Alexandra LUGARO (independent) 14.2%, Juan DALMAU (PIP) 13.7% |
| Executive branch: | note: on 24 July 2019, Governor Ricardo ROSSELLO announced his resignation effective 2 August 2019; as Secretary of State, Pedro PIERLUISIÂ succeeded Governor Ricardo ROSSELLO; on 7 August 2019 the Supreme Court of Puerto Rico ruled Pedro PIERLUISIÂ accession was unconstitutional and Wanda VAZQUEZ is sworn in as governor |
| Legislative branch: | description: bicameral Legislative Assembly or Asamblea Legislativa consists of: |
