| Government | DJIBOUTI |
| --- | --- |
| Country name: | conventional long form: Republic of Djibouti |
| Country name: | conventional short form: Djibouti |
| Country name: | local long form: Republique de Djibouti/Jumhuriyat Jibuti |
| Country name: | local short form: Djibouti/Jibuti |
| Country name: | former: French Territory of the Afars and Issas, French Somaliland |
| Country name: | etymology: the country name derives from the capital city of Djibouti |
| Government type: | semi-presidential republic |
| Capital: | name: Djibouti |
| Capital: | geographic coordinates: 11 35 N, 43 09 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 6 districts (cercles, singular - cercle); Ali Sabieh, Arta, Dikhil, Djibouti, Obock, Tadjourah |
| Independence: | 27 June 1977 (from France) |
| National holiday: | Independence Day, 27 June (1977) |
| Constitution: | approved by referendum 4 September 1992; amended 2006, 2008, 2010 (2016) |
| Legal system: | mixed legal system based primarily on the French civil code (as it existed in 1997), Islamic religious law (in matters of family law and successions), and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the mother must be a citizen of Djibouti |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ismail Omar GUELLEH (since 8 May 1999) |
| Executive branch: | head of government: Prime Minister Abdoulkader Kamil MOHAMED (since 1 April 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term; (constitution amended in 2010 to allow a third term); election last held on 8 April 2016 (next to be held by 2021); prime minister appointed by the president |
| Executive branch: | election results: Ismail Omar GUELLEH reelected president for a fourth term; percent of vote - Ismail Omar GUELLEH (RPP) 87%, Omar Elmi KHAIREH (represented the USN) 7.3%, other 5.6% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale, formerly the Chamber of Deputies (65 seats; 52 members directly elected in multi-seat constituencies by simple majority vote and 13 directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 22 February 2013 (next to be held in 2018) |
| Legislative branch: | election results: percent of vote by party - UMP 61.5%, USN 35.6%, CDU 3.0%; seats by party - UMP 43, USN 21, CDU 1 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of NA magistrates); Constitutional Council (consists of 6 magistrates) |
