| Government | Djibouti |
| --- | --- |
| Country name: | conventional long form: Republic of Djibouti |
| Country name: | conventional short form: Djibouti |
| Country name: | local long form: Republique de Djibouti/Jumhuriyat Jibuti |
| Country name: | local short form: Djibouti/Jibuti |
| Country name: | former: French Territory of the Afars and Issas, French Somaliland |
| Government type: | republic |
| Capital: | name: Djibouti |
| Capital: | geographic coordinates: 11 30 N, 43 15 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 districts (cercles, singular - cercle); Ali Sabieh, Arta, Dikhil, Djibouti, Obock, Tadjourah |
| Independence: | 27 June 1977 (from France) |
| National holiday: | Independence Day, 27 June (1977) |
| Constitution: | multiparty constitution approved by referendum 4 September 1992 |
| Legal system: | based on French civil law system, traditional practices, and Islamic law |
| Suffrage: | 18 years of age; universal adult |
| Executive branch: | chief of state: President Ismail Omar GUELLEH (since 8 May 1999) |
| Executive branch: | head of government: Prime Minister Mohamed Dileita DILEITA (since 4 March 2001) |
| Executive branch: | cabinet: Council of Ministers responsible to the president |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held 8 April 2005 (next to be held by April 2011); prime minister appointed by the president |
| Executive branch: | election results: Ismail Omar GUELLEH reelected president; percent of vote - Ismail Omar GUELLEH 100% |
| Legislative branch: | unicameral Chamber of Deputies or Chambre des Deputes (65 seats; members elected by popular vote for five-year terms) |
| Legislative branch: | elections: last held 10 January 2003 (next to be held January 2008) |
| Legislative branch: | election results: percent of vote - RPP 62.2%, FRUD 36.9%; seats - RPP 65, FRUD 0; note - RPP (the ruling party) dominated the election |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Democratic National Party or PND [ADEN Robleh Awaleh]; Democratic Renewal Party or PRD [Abdillahi HAMARITEH]; Djibouti Development Party or PDD [Mohamed Daoud CHEHEM]; Front pour la Restauration de l'Unite Democratique or FRUD [Ali Mohamed DAOUD]; People's Progress Assembly or RPP [Ismail Omar GUELLEH] (governing party); Peoples Social Democratic Party or PPSD [Moumin Bahdon FARAH]; Republican Alliance for Democracy or ARD [Ahmed Dini AHMED]; Union for Democracy and Justice or UDJ |
| Political pressure groups and leaders: | Union for Presidential Majority UMP (coalition includes RPP, FRUD, PPSD and PND); Union for Democratic Changeover or UAD (opposition coalition includes ARD, MRDD, UDJ, and PDD) [Ahmed Dini AHMED] |
| International organization participation: | ACCT, ACP, AfDB, AFESD, AMF, AU, COMESA, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IPU, ITU, LAS, NAM, OIC, OIF, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Roble OLHAYE Oudine |
| Diplomatic representation in the US: | chancery: Suite 515, 1156 15th Street NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-0270 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-0302 |
| Diplomatic representation from the US: | chief of mission: Ambassador W. Stuart SYMINGTON |
| Diplomatic representation from the US: | embassy: Plateau du Serpent, Boulevard Marechal Joffre, Djibouti |
| Diplomatic representation from the US: | mailing address: B. P. 185, Djibouti |
| Diplomatic representation from the US: | telephone: [253] 35 39 95 |
| Diplomatic representation from the US: | FAX: [253] 35 39 40 |
| Flag description: | two equal horizontal bands of light blue (top) and light green with a white isosceles triangle based on the hoist side bearing a red five-pointed star in the center |
