| Government | Djibouti |
| --- | --- |
| Country name: | conventional long form: Republic of Djibouti |
| Country name: | conventional short form: Djibouti |
| Country name: | local long form: Republique de Djibouti/Jumhuriyat Jibuti |
| Country name: | local short form: Djibouti/Jibuti |
| Country name: | former: French Somaliland, French Territory of the Afars and Issas |
| Country name: | etymology: the country name derives from the capital city of Djibouti |
| Government type: | presidential republic |
| Capital: | name: Djibouti |
| Capital: | geographic coordinates: 11 35 N, 43 09 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the origin of the name is disputed; multiple descriptions, possibilities, and theories have been proposed |
| Administrative divisions: | 6 districts (cercles, singular - cercle); Ali Sabieh, Arta, Dikhil, Djibouti, Obock, Tadjourah |
| Independence: | 27 June 1977 (from France) |
| National holiday: | Independence Day, 27 June (1977) |
| Constitution: | history: approved by referendum 4 September 1992 |
| Constitution: | amendments: proposed by the president of the republic or by the National Assembly; Assembly consideration of proposals requires assent at least one third of the membership; passage requires a simple majority vote by the Assembly and approval by simple majority vote in a referendum; the president can opt to bypass a referendum if adopted by at least two-thirds majority vote of the Assembly; constitutional articles on the sovereignty of Djibouti, its republican form of government, and its pluralist form of democracy cannot by amended; amended 2006, 2008, 2010 |
| Legal system: | mixed legal system based primarily on the French civil code (as it existed in 1997), Islamic religious law (in matters of family law and successions), and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the mother must be a citizen of Djibouti |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ismail Omar GUELLEH (since 8 May 1999) |
| Executive branch: | head of government: Prime Minister Abdoulkader Kamil MOHAMED (since 1 April 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term; election last held on 8 April 2016 (next to be held by 2021); prime minister appointed by the president |
| Executive branch: | election results: Ismail Omar GUELLEH reelected president for a fourth term; percent of vote - Ismail Omar GUELLEH (RPP) 87%, Omar Elmi KHAIREH (CDU) 7.3%, other 5.6% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale, formerly the Chamber of Deputies (65 seats; members directly elected in multi-seat constituencies by party-list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 23 February 2018 (next to be held in February 2023) |
