| Government | Seychelles |
| --- | --- |
| Country name: | conventional long form: Republic of Seychelles |
| Country name: | conventional short form: Seychelles |
| Country name: | local long form: Republic of Seychelles |
| Country name: | local short form: Seychelles |
| Government type: | republic |
| Capital: | name: Victoria |
| Capital: | geographic coordinates: 4 38 S, 55 27 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 administrative districts; Anse aux Pins, Anse Boileau, Anse Etoile, Anse Louis, Anse Royale, Baie Lazare, Baie Sainte Anne, Beau Vallon, Bel Air, Bel Ombre, Cascade, Glacis, Grand' Anse (on Mahe), Grand' Anse (on Praslin), La Digue, La Riviere Anglaise, Mont Buxton, Mont Fleuri, Plaisance, Pointe La Rue, Port Glaud, Saint Louis, Takamaka |
| Independence: | 29 June 1976 (from UK) |
| National holiday: | Constitution Day (National Day), 18 June (1993) |
| Constitution: | 18 June 1993 |
| Legal system: | based on English common law, French civil law, and customary law |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President James Alix MICHEL (since 14 April 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President James MICHEL (since 14 April 2004) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for two more terms); election last held 28-30 July 2006 (next to be held in 2011) |
| Executive branch: | election results: President James MICHEL elected president; percent of vote - James MICHEL 53.73%, Wavel RAMKALAWAN 45.71%, Philippe BOULLE 0.56%; note - this was the first election in which President James MICHEL participated; he was originally sworn in as president after former president France Albert RENE stepped down in April 2004 |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (34 seats; 25 members elected by popular vote, 9 allocated on a proportional basis to parties winning at least 10% of the vote; to serve five-year terms) |
| Legislative branch: | elections: last held 10-12 May 2007 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - SPPF 56.2%, SNP 43.8%; seats by party - SPPF 23, SNP 11 |
| Judicial branch: | Court of Appeal; Supreme Court; judges for both courts are appointed by the president |
| Political parties and leaders: | Democratic Party or DP [James MANCHAM, Paul CHOW]; Seychelles National Party or SNP [Wavel RAMKALAWAN] (formerly the United Opposition or UO); Seychelles People's Progressive Front or SPPF [France Albert RENE, James MICHEL] (the governing party) |
| Political pressure groups and leaders: | Roman Catholic Church; trade unions |
| International organization participation: | ACCT, ACP, AfDB, AU, C, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, ISO (correspondent), ITU, ITUC, MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jean Ronald JUMEAU |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400C, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 972-1785 |
| Diplomatic representation in the US: | FAX: [1] (212) 972-1786 |
| Diplomatic representation from the US: | the US does not have an embassy in Seychelles; the ambassador to Mauritius is accredited to Seychelles |
| Flag description: | five oblique bands of blue (hoist side), yellow, red, white, and green (bottom) radiating from the bottom of the hoist side |
