| Government | Egypt |
| --- | --- |
| Country name: | conventional long form: Arab Republic of Egypt |
| Country name: | conventional short form: Egypt |
| Country name: | local short form: Misr |
| Country name: | former: United Arab Republic (with Syria) |
| Country name: | local long form: Jumhuriyat Misr al-Arabiyah |
| Government type: | republic |
| Capital: | Cairo |
| Administrative divisions: | 26 governorates (muhafazat, singular - muhafazah); Ad Daqahliyah, Al Bahr al Ahmar, Al Buhayrah, Al Fayyum, Al Gharbiyah, Al Iskandariyah, Al Isma'iliyah, Al Jizah, Al Minufiyah, Al Minya, Al Qahirah, Al Qalyubiyah, Al Wadi al Jadid, Ash Sharqiyah, As Suways, Aswan, Asyut, Bani Suwayf, Bur Sa'id, Dumyat, Janub Sina', Kafr ash Shaykh, Matruh, Qina, Shamal Sina', Suhaj |
| Independence: | 28 February 1922 (from UK) |
| National holiday: | Revolution Day, 23 July (1952) |
| Constitution: | 11 September 1971 |
| Legal system: | based on English common law, Islamic law, and Napoleonic codes; judicial review by Supreme Court and Council of State (oversees validity of administrative decisions); accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Mohammed Hosni MUBARAK (since 14 October 1981) |
| Executive branch: | head of government: Prime Minister Atef Mohammed ABEID (since 5 October 1999) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president nominated by the People's Assembly for a six-year term, the nomination must then be validated by a national, popular referendum; national referendum last held 26 September 1999 (next to be held NA October 2005); prime minister appointed by the president |
| Executive branch: | election results: national referendum validated President MUBARAK's nomination by the People's Assembly to a fourth term |
| Legislative branch: | bicameral system consists of the People's Assembly or Majlis al-Sha'b (454 seats; 444 elected by popular vote, 10 appointed by the president; members serve five-year terms) and the Advisory Council or Majlis al-Shura - which functions only in a consultative role (264 seats; 176 elected by popular vote, 88 appointed by the president; members serve NA-year terms) |
| Legislative branch: | elections: People's Assembly - three-phase voting - last held 19 October, 29 October, 8 November 2000 (next to be held NA November 2005); Advisory Council - last held 7 June 1995 (next to be held NA) |
| Legislative branch: | election results: People's Assembly - percent of vote by party - NDP 88%, independents 8%, opposition 4%; seats by party - NDP 398, NWP 7, Tagammu 6, Nasserists 2, LSP 1, independents 38, undecided 2; Advisory Council - percent of vote by party - NDP 99%, independents 1%; seats by party - NA |
| Judicial branch: | Supreme Constitutional Court |
| Political parties and leaders: | Nasserist Arab Democratic Party or Nasserists [Dia' al-din DAWUD]; National Democratic Party or NDP [President Mohammed Hosni MUBARAK] - governing party; National Progressive Unionist Grouping or Tagammu [Khalid MUHI AL-DIN]; New Wafd Party or NWP [No'man GOMA]; Socialist Liberal Party or LSP [leader NA] |
| Political parties and leaders: | note: formation of political parties must be approved by the government |
| Political pressure groups and leaders: | despite a constitutional ban against religious-based parties, the technically illegal Muslim Brotherhood constitutes MUBARAK's potentially most significant political opposition; MUBARAK tolerated limited political activity by the Brotherhood for his first two terms, but moved more aggressively since then to block its influence; civic society groups are sanctioned, but constrained in practical terms; trade unions and professional associations are officially sanctioned |
| International organization participation: | ABEDA, ACC, ACCT, AfDB, AFESD, AL, AMF, BSEC (observer), CAEU, EBRD, ECA, ESCWA, FAO, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OAPEC, OAS (observer), OAU, OIC, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNITAR, UNMIBH, UNMIK, UNMISET, UNMOP, UNOMIG, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador M. Nabil FAHMY |
| Diplomatic representation in the US: | chancery: 3521 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4319 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-5400 |
| Diplomatic representation from the US: | chief of mission: Ambassador C. David WELCH |
| Diplomatic representation from the US: | embassy: 5 Latin America St., Garden City, Cairo |
| Diplomatic representation from the US: | mailing address: Unit 64900, Box 15, APO AE 09839-4900 |
| Diplomatic representation from the US: | telephone: [20] (2) 797-3300 |
| Diplomatic representation from the US: | FAX: [20] (2) 797-3200 |
| Flag description: | three equal horizontal bands of red (top), white, and black with the national emblem (a shield superimposed on a golden eagle facing the hoist side above a scroll bearing the name of the country in Arabic) centered in the white band; similar to the flag of Yemen, which has a plain white band; also similar to the flag of Syria, which has two green stars, and to the flag of Iraq, which has three green stars (plus an Arabic inscription) in a horizontal line centered in the white band |
