| Government | Egypt |
| --- | --- |
| Country name: | conventional long form: Arab Republic of Egypt |
| Country name: | conventional short form: Egypt |
| Country name: | local long form: Jumhuriyat Misr al-Arabiyah |
| Country name: | local short form: Misr |
| Country name: | former: United Arab Republic (with Syria) |
| Government type: | republic |
| Capital: | name: Cairo |
| Capital: | geographic coordinates: 30 03 N, 31 15 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 27 governorates (muhafazat, singular - muhafazat); Ad Daqahliyah, Al Bahr al Ahmar (Red Sea), Al Buhayrah, Al Fayyum, Al Gharbiyah, Al Iskandariyah (Alexandria), Al Isma'iliyah (Ismailia), Al Jizah (Giza), Al Minufiyah, Al Minya, Al Qahirah (Cairo), Al Qalyubiyah, Al Uqsur (Luxor), Al Wadi al Jadid (New Valley), As Suways (Suez), Ash Sharqiyah, Aswan, Asyut, Bani Suwayf, Bur Sa'id (Port Said), Dumyat (Damietta), Janub Sina' (South Sinai), Kafr ash Shaykh, Matruh, Qina, Shamal Sina' (North Sinai), Suhaj |
| Independence: | 28 February 1922 (from UK protectorate status; the revolution that began on 23 July 1952 led to a republic being declared on 18 June 1953 and all British troops withdrawn on 18 June 1956); note - it was ca. 3200 B.C. that the Two Lands of Upper (southern) and Lower (northern) Egypt were first united politically |
| National holiday: | National Day, 23 July (1952) |
| Constitution: | several previous; latest approved by a constitutional committee in December 2013, approved by referenfum held on 14-15 January 2014, ratified by interim president on 19 January 2014 (2014) |
| Legal system: | mixed legal system based on Napoleonic civil and penal law, Islamic religious law, and vestiges of colonial-era laws; judicial review of the constitutionality of laws by the Supreme Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | Chief of state: President Abdel Fattah al-SISI (since 8 June 2014) |
| Executive branch: | head of government: Prime Minister Ibrahim MEHLAB (since 1 March 2014) |
| Executive branch: | cabinet: interim cabinet sworn in 1 March 2014 |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: last presidential election held on 26-28 May 2014 (next to be held in May 2018) |
| Executive branch: | election results: percent of vote - Abdel Fattah al-SISI 96.6%, Hamdeen SABAHI 3.4% |
| Legislative branch: | note: |
| Legislative branch: | the previous bicameral legislature was dissolved in July 2013 and under the 2014 constitution was changed to the unicameral House of Representatives (minimum of 450 seats with up to 5 percent appointed by the president; members to serve 5-year terms); the process for elected members as stated in Article 102 of the 2014 constitution may be majoritarian, proportional list, or a mixed system; the previous bicameral parliament consisted of the Shura Council (at least 150 seats with up to one-tenth of body appointed by the president to serve six-year terms) and the House of Representatives(at least 350 seats); members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections (for new House of Representatives): unscheduled but expected in mid- to late-2014 |
| Legislative branch: | election results (for previous legislature): Advisory Council (held 29 January and 14 February 2012) - percent of vote by party - Democratic Alliance for Egypt 45%, Alliance for Egypt (Islamic Bloc) 28.6%, New Wafd Party 8.5%, Egyptian Bloc 5.4%, other 12.5%; seats by party - Democratic Alliance for Egypt 105, Alliance for Egypt (Islamic Bloc) 45, New Wafd Party 14, Egyptian Bloc 8, other 4, independents 4, presidential appointees 90; People's Assembly (held in three stages 28 November 2011 to 11 January 2012) - percent of vote by party - Democratic Alliance for Egypt 37.5%, Alliance for Egypt (Islamic Bloc) 27.8%, New Wafd Party 9.2%, Egyptian Bloc 8.9%, Al-Wasat Party 3.7%, The Revolution Continues Alliance 2.8%, Reform and Development Party 2.2%, National Party of Egypt 1.6%, Freedom Party 1.9%, Egyptian Citizen Party 0.9%, other 3.5%; seats by party - Democratic Alliance of Egypt 235, Alliance for Egypt (Islamic Bloc) 123, New Wafd Party 38, Egyptian Bloc 35, Al-Wasat 10, Reform and Development Party 9, The Revolution Continues Alliance 8, National Party of Egypt 5, Egyptian Citizen Party 4, Freedom Party 4, independents 21, other 6, SCAF appointees 10 |
| Judicial branch: | highest court(s): Court of Cassation (consists of the court president and 550 judges organized in circuits with cases heard by panels of 5 judges); Supreme Constitutional Court or SCC (consists of the court president and 10 justices); Supreme Administrative Court - the highest court of the State Council (consists of the court president and organized in circuits with cases heard by panels of 5 judges) |
| Judicial branch: | judge selection and term of office: under the 2014 constitution, all judges and justices selected by the Supreme Judiciary Council and appointed by the president of the Republic; tenure NA |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; courts of limited jurisdiction; Family Court (established in 2004) |
| Political parties and leaders: | Al-Asala [Ehab SHIHA] |
| Political parties and leaders: | Al-Nour [Yunis MAKHYUN] |
