| Government | Egypt |
| --- | --- |
| Country name: | conventional long form: Arab Republic of Egypt |
| Country name: | conventional short form: Egypt |
| Country name: | local long form: Jumhuriyat Misr al-Arabiyah |
| Country name: | local short form: Misr |
| Country name: | former: United Arab Republic (with Syria) |
| Country name: | etymology: the English name "Egypt" derives from the ancient Greek name for the country "Aigyptos"; the Arabic name "Misr" can be traced to the ancient Akkadian "misru" meaning border or frontier |
| Government type: | presidential republic |
| Capital: | name: Cairo |
| Capital: | geographic coordinates: 30 03 N, 31 15 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 27 governorates (muhafazat, singular - muhafazat); Ad Daqahliyah, Al Bahr al Ahmar (Red Sea), Al Buhayrah, Al Fayyum, Al Gharbiyah, Al Iskandariyah (Alexandria), Al Isma'iliyah (Ismailia), Al Jizah (Giza), Al Minufiyah, Al Minya, Al Qahirah (Cairo), Al Qalyubiyah, Al Uqsur (Luxor), Al Wadi al Jadid (New Valley), As Suways (Suez), Ash Sharqiyah, Aswan, Asyut, Bani Suwayf, Bur Sa'id (Port Said), Dumyat (Damietta), Janub Sina' (South Sinai), Kafr ash Shaykh, Matruh, Qina, Shamal Sina' (North Sinai), Suhaj |
| Independence: | 28 February 1922 (from UK protectorate status; the revolution that began on 23 July 1952 led to a republic being declared on 18 June 1953 and all British troops withdrawn on 18 June 1956); note - it was ca. 3200 B.C. that the Two Lands of Upper (southern) and Lower (northern) Egypt were first united politically |
| National holiday: | Revolution Day, 23 July (1952) |
| Constitution: | history: several previous; latest approved by a constitutional committee in December 2013, approved by referendum held on 14-15 January 2014, ratified by interim president on 19 January 2014 (2017) |
| Constitution: | amendments: proposed by the president of the republic or by one-fifth of the House of Representatives members; a decision to accept the proposal requires majority vote by House members; passage of amendment requires a two-thirds majority vote by House members and passage by majority vote in a referendum; articles of reelection of the president and principles of freedom not amendable unless the amendment "brings more guarantees" (2017) |
| Legal system: | mixed legal system based on Napoleonic civil and penal law, Islamic religious law, and vestiges of colonial-era laws; judicial review of the constitutionality of laws by the Supreme Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: if the father was born in Egypt |
| Citizenship: | dual citizenship recognized: only with prior permission from the government |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Judicial branch: | highest courts: Supreme Constitutional Court or SCC (consists of the court president and 10 justices); the SCC serves as the final court of arbitration on the constitutionality of laws and conflicts between lower courts regarding jurisdiction and rulings; Court of Cassation (CC) (consists of the court president and 550 judges organized in circuits with cases heard by panels of 5 judges); the CC is the highest appeals body for civil and criminal cases, also known as "ordinary justices"; Supreme Administrative Court (SAC) - consists of the court president and organized in circuits with cases heard by panels of 5 judges); the SAC is the highest court of the State Council |
| Judicial branch: | judge selection and term of office: under the 2014 constitution, all judges and justices selected by the Supreme Judiciary Council and appointed by the president of the Republic; judges appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; courts of limited jurisdiction; Family Court (established in 2004) |
| Executive branch: | chief of state: President Abdelfattah ELSISI (since 8 June 2014) |
| Executive branch: | head of government: Prime Minister Mostafa MADBOULY (since 7 June 2018); note - Prime Minister Sherif ISMAIL (since 12 September 2015) resigned 6 June 2018 |
| Executive branch: | cabinet: Cabinet ministers nominated by the executive authorities and approved by the House of Representtives |
| Executive branch: | elections/appointments: president elected by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 26-28 March 2018 (next to be held in 2022); prime minister appointed by the president, approved by the House of Representatives |
| Executive branch: | election results: Abdelfattah Said ELSISI relected president in first round; percent of valid votes case - Abdelfattah Said ELSISI (independent) 97.8%, Moussa Mostafa MOUSSA (El Ghad Party) 2.3%; note - over 7% of ballots cast were deemed invalid |
| Legislative branch: | description: unicameral House of Representatives (Majlis Al-Nowaab); 596 seats; 448 members directly elected by individual candidacy system, 120 members - with quotas for women, youth, Christians and workers - elected in party-list constituencies by simple majority popular vote, and 28 members appointed by the president; member term 5 years; note - inaugural session held on 10 January 2016 |
| Legislative branch: | elections: multi-phase election completed on 16 December 2015 (next to be held in 2020 |
