| Government | Andorra |
| --- | --- |
| Country name: | conventional long form: Principality of Andorra |
| Country name: | conventional short form: Andorra |
| Country name: | local long form: Principat d'Andorra |
| Country name: | local short form: Andorra |
| Government type: | parliamentary democracy (since March 1993) that retains as its chiefs of state a coprincipality; the two princes are the president of France and bishop of Seo de Urgel, Spain, who are represented locally by coprinces' representatives |
| Capital: | name: Andorra la Vella |
| Capital: | geographic coordinates: 42 30 N, 1 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 7 parishes (parroquies, singular - parroquia); Andorra la Vella, Canillo, Encamp, Escaldes-Engordany, La Massana, Ordino, Sant Julia de Loria |
| Independence: | 1278 (formed under the joint suzerainty of the French Count of Foix and the Spanish Bishop of Urgel) |
| National holiday: | Our Lady of Meritxell Day, 8 September (1278) |
| Constitution: | Andorra's first written constitution was drafted in 1991, approved by referendum 14 March 1993, effective 28 April 1993 |
| Legal system: | based on French and Spanish civil codes; no judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: French Coprince Nicolas SARKOZY (since 16 May 2007); represented by Philippe MASSONI (since 26 July 2002) and Spanish Coprince Bishop Joan Enric VIVES i SICILIA (since 12 May 2003); represented by Nemesi MARQUES i OSTE (since NA) |
| Executive branch: | head of government: Executive Council President Albert PINTAT SANTOLARIA (since 27 May 2005) |
| Executive branch: | cabinet: Executive Council or Govern designated by the Executive Council president |
| Executive branch: | elections: Executive Council president elected by the General Council and formally appointed by the coprinces for a four-year term; election last held 24 April 2005 (next to be held in April-May 2009) |
| Executive branch: | election results: Albert PINTAT SANTOLARIA elected executive council president; percent of General Council vote - NA |
| Legislative branch: | unicameral General Council of the Valleys or Consell General de las Valls (28 seats; members are elected by direct popular vote, 14 from a single national constituency and 14 to represent each of the seven parishes; to serve four-year terms) |
| Legislative branch: | elections: last held on 24 April 2005 (next to be held in March-April 2009) |
| Legislative branch: | election results: percent of vote by party - PLA 41.2%, PS 38.1%, CDA-S21 11%, other 9.7%; seats by party - PLA 14, PS 12, CDA-S21 2 |
| Judicial branch: | Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts; Supreme Court of Justice of Andorra or Tribunal Superior de Justicia d'Andorra; Supreme Council of Justice or Consell Superior de la Justicia; Fiscal Ministry or Ministeri Fiscal; Constitutional Tribunal or Tribunal Constitucional |
| Political parties and leaders: | Andorran Democratic Center Party or CDA (formerly Democratic Party or PD); Century 21 or S21 [Enric TARRADO]; Liberal Party of Andorra or PLA [Albert PINTAT SANTOLARIA] (formerly Liberal Union or UL); Social Democratic Party or PS [Jaume BARTUMEU CASSANY] (formerly part of National Democratic Group or AND) |
| Political pressure groups and leaders: | NA |
| International organization participation: | CE, ICAO, ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITU, OIF, OPCW, OSCE, UN, UNCTAD, UNESCO, Union Latina, UNWTO, WCO, WHO, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Julian VILA COMA |
| Diplomatic representation in the US: | chancery: 2 United Nations Plaza, 25th Floor, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-8064 |
| Diplomatic representation in the US: | FAX: [1] (212) 750-6630 |
| Diplomatic representation from the US: | the US does not have an embassy in Andorra; the US Ambassador to Spain is accredited to Andorra; US interests in Andorra are represented by the Consulate General's office in Barcelona (Spain); mailing address: Paseo Reina Elisenda de Montcada, 23, 08034 Barcelona, Spain; telephone: [34] (3) 280-2227; FAX: [34] (3) 205-5206 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red with the national coat of arms centered in the yellow band; the coat of arms features a quartered shield; similar to the flags of Chad and Romania, which do not have a national coat of arms in the center, and the flag of Moldova, which does bear a national emblem |
