| Government | ANDORRA |
| --- | --- |
| Country name: | conventional long form: Principality of Andorra |
| Country name: | conventional short form: Andorra |
| Country name: | local long form: Principat d'Andorra |
| Country name: | local short form: Andorra |
| Government type: | parliamentary democracy (since March 1993) that retains as its chiefs of state a co-principality; the two princes are the President of France and Bishop of Urgell, whose diocese is located in neighboring Spain; both co-princes maintain offices and representatives in Andorra |
| Capital: | name: Andorra la Vella |
| Capital: | geographic coordinates: 42 30 N, 1 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 7 parishes (parroquies, singular - parroquia); Andorra la Vella, Canillo, Encamp, Escaldes-Engordany, La Massana, Ordino, Sant Julia de Loria |
| Independence: | 1278 (formed under the joint sovereignty of the French Count of Foix and the Spanish Bishop of Urgell) |
| National holiday: | Our Lady of Meritxell Day, 8 September (1278) |
| Constitution: | drafted 1991, approved by referendum 14 March 1993, effective 28 April 1993 (2015) |
| Legal system: | mixed legal system of civil and customary law with the influence of canon law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the mother must be an Andorran citizen or the father must have been born in Andorra and both parents maintain permanent residence in Andorra |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 25 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: French Co-prince Francois HOLLANDE (since 15 May 2012); represented by Thierry LATASTE (since 5 January 2015) and Spanish Co-prince Archbishop Joan-Enric VIVES i Sicilia (since 12 May 2003); represented by Josep Maria MAUN (since 20 July 2012) |
| Executive branch: | head of government: Head of Government (or Cap de Govern) Antoni MARTI PETIT (since 12 May 2011) |
| Executive branch: | cabinet: Executive Council designated by Head of Government |
| Executive branch: | elections/appointments: head of government indirectly elected by the General Council (Andorran parliament), formally appointed by the co-princes for a 4-year term; election last held on 31 March 2015 (next to be held in April 2019); the leader of the majority party in the General Council is usually elected head of government |
| Executive branch: | election results: Antoni MARTI PETIT (DA) elected head of government; percent of General Council vote - 79% |
