| Government | Montenegro |
| --- | --- |
| Country name: | conventional long form: Republic of Montenegro |
| Country name: | conventional short form: Montenegro |
| Country name: | local long form: Republika Crna Gora |
| Country name: | local short form: Crna Gora |
| Country name: | former: People's Republic of Montenegro, Socialist Republic of Montenegro |
| Government type: | republic |
| Capital: | name: Podgorica (administrative capital) |
| Capital: | geographic coordinates: 42 26 N, 19 16 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1 hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: Cetinje (capital city) |
| Administrative divisions: | 21 municipalities (opstini, singular - opstina); Andrijevica, Bar, Berane, Bijelo Polje, Budva, Cetinje, Danilovgrad, Herceg Novi, Kolasin, Kotor, Mojkovac, Niksic, Plav, Pluzine, Pljevlja, Podgorica, Rozaje, Savnik, Tivat, Ulcinj, Zabljak |
| Independence: | 3 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 13 July (1878) |
| Constitution: | 12 October 1992 (was approved by the Assembly); note - Montenegro is currently writing a new constitution set to be presented to Parliament in spring 2007 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Filip VUJANOVIC (since 11 May 2003) |
| Executive branch: | head of government: Prime Minister Zeljko STURANOVIC (since 13 November 2006) |
| Executive branch: | cabinet: Ministries act as cabinet |
| Executive branch: | elections: president elected by direct vote for five-year term (eligible for a second term); election last held 11 May 2003 (next to be held in 2008); prime minister proposed by president, accepted by Assembly |
| Executive branch: | election results: Filip VUJANOVIC elected on the third round; Filip VUJANOVIC 63.3%, Miodrag ZIVKOVIC 30.8% |
| Legislative branch: | unicameral Assembly (81 seats; members elected by direct vote for four-year terms; changed from 74 seats in 2006) |
| Legislative branch: | elections: last held 10 September 2006 (next to be held 2010) |
| Legislative branch: | election results: percent of vote by party - Coalition for European Montenegro 40.6%, Serbian List 15.3%, Coalition SNP-NS-DSS 14.8%, PZP 13.9%, Liberals and Bosniaks 3.8%, other (including Albanian minority parties) 11.6%; seats by party - Coalition for European Montenegro 39, Serbian List 12, Coalition SNP/NS/DSS 11, PZP 11, Liberals and Bosniaks 3, Albanian minority parties 5 |
| Judicial branch: | Constitutional Court (five judges with nine-year terms); Supreme Court (judges have life tenure) |
| Political parties and leaders: | Albanian Alternative or AA [Vesel SINISHTAJ]; Bosniak Party or BS [Rafet HUSOVIC]; Coalition for European Montenegro or DPS-SDP (bloc) [Milo DUKANOVIC] (includes DPS and SDP); Coalition SNP-NS-DSS (bloc) (includes SNP, NS, and DSS); Democratic League-Party of Democratic Prosperity or SPP [Mehmet BARHDI]; Democratic Party of Socialists or DPS [Milo DJUKANOVIC]; Democratic Serbian Party of Montenegro or DSS [Ranko KADIC]; Democratic Union of Albanians or DUA [Ferhat DINOSA]; Liberal Party of Montenegro or LP [Miodrag ZIVKOVIC]; Liberals and the Bosniak Party (bloc) [Miodrag ZIVKOVIC] (includes LP and BS); Movement for Changes or PZP [Nebojsa MEDOJEVIC]; Party of Serb Radicals or SSR [Dusko SEKULIC]; People's Party of Montenegro or NS [Predrag POPOVIC]; People's Socialist Party or NSS [Emilo LABUDOVIC]; Serbian List (bloc) [Andrija MANDIC] (includes SSR, NSS, and SNS); Serbian People's Party of Montenegro or SNS [Andrija MANDIC]; Social Democratic Party or SDP [Ranko KRIVOKAPIC]; Socialist People's Party or SNP [Srdjan MILIC] |
| International organization participation: | CE, CEI, EBRD, FAO, IAEA, IBRD, ICCt, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, ITUC, MIGA, OPCW, OSCE, PFP, UN, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Miodrag VLAHOVIC |
| Diplomatic representation in the US: | chancery: 1610 New Hampshire Avenue NW, Washington, DC, 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-6108 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-6109 |
| Diplomatic representation from the US: | chief of mission: Ambassador Roderick W. MOORE |
| Diplomatic representation from the US: | embassy: Ljubljanska bb, 81000 Podgorica, Montenegro |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [382] 81 225 417 |
| Diplomatic representation from the US: | FAX: [382] 81 241 358 |
| Flag description: | a red field bordered by a narrow golden-yellow stripe with the Montenegrin coat of arms centered |
