| Government | MONTENEGRO |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Montenegro |
| Country name: | local long form: none |
| Country name: | local short form: Crna Gora |
| Country name: | former: People's Republic of Montenegro, Socialist Republic of Montenegro, Republic of Montenegro |
| Country name: | etymology: the country's name locally as well as in most Western European languages means "black mountain" and refers to the dark coniferous forests on Mount Lovcen and the surrounding area |
| Government type: | parliamentary republic |
| Capital: | name: Podgorica; note - Cetinje retains the status of "Old Royal Capital" |
| Capital: | geographic coordinates: 42 26 N, 19 16 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1 hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 23 municipalities (opstine, singular - opstina); Andrijevica, Bar, Berane, Bijelo Polje, Budva, Cetinje, Danilovgrad, Gusinje, Herceg Novi, Kolasin, Kotor, Mojkovac, Niksic, Petnijica, Plav, Pljevlja, Pluzine, Podgorica, Rozaje, Savnik, Tivat, Ulcinj, Zabljak |
| Independence: | 3 June 2006 (from the State Union of Serbia and Montenegro) |
| National holiday: | National Day, 13 July (1878, the day the Berlin Congress recognized Montenegro as the 27th independent state in the world, and 1941, the day the Montenegrins staged an uprising against fascist occupiers and sided with the partisan communist movement) |
| Constitution: | history: several previous; latest adopted 22 October 2007 |
| Constitution: | amendments: proposed by the president of Montenegro, by the government, or by at least 25 members of the Assembly; passage of draft proposals requires two-thirds majority vote of the Assembly, followed by a public hearing; passage of draft amendments requires two-thirds majority vote of the Assembly; changes to certain constitutional articles such as sovereignty, state symbols, citizenship, and constitutional change procedures, require three-fifths majority vote in a referendum; amended 2013, 2014 (2016) |
| Legal system: | civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Montenegro |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Filip VUJANOVIC (since 6 April 2008) |
| Executive branch: | head of government: Prime Minister Dusko MARKOVIC (since 28 November 2016); note - Prime Minister Milo DJUKANOVIC resigned 26 October 2016 |
| Executive branch: | cabinet: Ministers act as cabinet |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 7 April 2013 (next to be held in 2018); prime minister nominated by the president, approved by the Assembly |
| Executive branch: | election results: Filip VUJANOVIC reelected president in the first round; percent of vote - Filip VUJANOVIC (DPS) 51.2%, Miodrag LEKIC (independent) 48.8% |
| Legislative branch: | description: unicameral Assembly or Skupstina (81 seats; members directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 16 October 2016 (next to be held by October 2020) |
| Legislative branch: | election results: percent of vote by party/coalition - DPS 41.4%, DF 20.3%, Key Coalition, 11.1%, DCG 10.0%, SDP 5.2%, SD 3.3%, BS, 3.2%, Albanians Decisively 1.3%, HGI .5%, other 3.7%; seats by party/coalition - DPS 36, DF 18, Key Coalition 9, DCG 8, SDP 4, SD 2, BS 2, Albanians Decisively 1, HGI 1 |
| Judicial branch: | highest court(s): Supreme Court or Vrhovni Sud (consists of the court president, deputy president, and 15 judges); Constitutional Court or Ustavni Sud (consists of the court president and 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president proposed by general session of the Supreme Court and elected by the Judicial Council, a 9-member body consisting of judges, lawyers designated by the Assembly, and the minister of judicial affairs; Supreme Court president elected for a single renewable, 5-year term; other judges elected by the Judicial Council for life; Constitutional Court judges - 2 proposed by the president of Montenegro and 5 by the Assembly, and elected by the Assembly; court president elected from among the court members; court president elected for 3 years, other judges 9 years |
| Judicial branch: | subordinate courts: Administrative Courts; Appellate Court; Commercial Courts; High Courts; basic courts |
| Political parties and leaders: | Albanians Decisively [Genci NIMANBEGU] (coalition includes FORCA, AA, DUA) |
| Political parties and leaders: | Albanian Alternative or AA [Nik DJELOSAJ] |
| Political parties and leaders: | Bosniak Party or BS [Rafet HUSOVIC] |
| Political parties and leaders: | Croatian Civic Initiative or HGI [Marija VUCINOVIC] |
| Political parties and leaders: | Democratic Alliance or DEMOS [Miodrag LEKIC] |
| Political parties and leaders: | Democratic Front or DF [collective leadership] (coalition includes NOVA, PZP, DNP, RP) |
| Political parties and leaders: | Democratic Montenegro or DCG [Aleksa BECIC] |
| Political parties and leaders: | Democratic Party of Socialists or DPS [Milo DJUKANOVIC] |
| Political parties and leaders: | Democratic People's Party or DNP [Milan KNEZEVIC] |
| Political parties and leaders: | Democratic Union of Albanians or DUA [Mehmet ZENKA] |
| Political parties and leaders: | Key Coalition [Miodrag LEKIC] (includes DEMOS, SNP, URA] |
