| Government | Montenegro |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Montenegro |
| Country name: | local long form: none |
| Country name: | local short form: Crna Gora |
| Country name: | former: People's Republic of Montenegro, Socialist Republic of Montenegro, Republic of Montenegro |
| Government type: | republic |
| Capital: | name: Podgorica; note - the Old Royal Capital is Cetinje mentioned in the constitution |
| Capital: | geographic coordinates: 42 26 N, 19 16 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1 hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 21 municipalities (opstine, singular - opstina); Andrijevica, Bar, Berane, Bijelo Polje, Budva, Cetinje, Danilovgrad, Herceg Novi, Kolasin, Kotor, Mojkovac, Niksic, Plav, Pljevlja, Pluzine, Podgorica, Rozaje, Savnik, Tivat, Ulcinj, Zabljak |
| Independence: | 3 June 2006 (from the State Union of Serbia and Montenegro) |
| National holiday: | National Day, 13 July (1878) |
| Constitution: | several previous; latest adopted 22 October 2007; note - in early 2013, Montenegro's parliamentary constitutional committee began debate on proposed amendments (2013) |
| Legal system: | civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICC jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Filip VUJANOVIC (since 6 April 2008) |
| Executive branch: | head of government: Prime Minister Milo DJUKANOVIC (since 4 December 2012) |
| Executive branch: | cabinet: Ministers act as cabinet |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by direct vote for five-year term (eligible for a second term); election last held on 7 April 2013 (next to be held in 2018); prime minister proposed by president, accepted by Assembly |
| Executive branch: | election results: Filip VUJANOVIC reelected president; Filip VUJANOVIC 51.2%, Miodrag LEKIC 48.8%% |
| Legislative branch: | unicameral Assembly (81 seats; members elected by direct vote to serve four-year terms) |
| Legislative branch: | elections: last held on 14 October 2012 (next to be held by 2016) |
| Legislative branch: | election results: percent of vote by party - Coalition for European Montenegro 45.6%, Democratic Front 22.8%, SNP 11.1%, Positive Montenegro 8.2%, Bosniak Party, 4.2%, other (including Albanian and Croatian minority parties) 8.1%; seats by party - Coalition for European Montenegro 39, Democratic Front 20, SNP 9, Positive Montenegro 7, Bosniak Party 3, Albanian and Croatian minority parties 3 |
| Judicial branch: | highest court(s): Supreme Court or Vrhovni Sud (consists of the court president and  6 judges); Constitutional Court or Ustavni Sud (consists of the court president and 6 judges) |
| Judicial branch: | judge selection and term of office: president of Supreme Court proposed jointly by the president of Montenegro, the speaker of the Assembly, and the prime minister; other judges elected by the Judicial Council; court president term is 5 years; term of other judges is 9 years; Constitutional Court judges proposed by the president of Montenegro and elected by the Assembly; court president elected among its members; term of judges is 9 years; court president term is 3 years |
| Judicial branch: | subordinate courts: Administrative Court; Court of Appeal; regional and first instance courts |
| Political parties and leaders: | Albanian Coalition (includes Democratic Alliance in Montenegro [Mehmed BARDHI], Democratic Party [Fatmir DJEKA], and Albanian Alternative [Djerdj DAMAJ]) |
| Political parties and leaders: | Bosniak Party or BS [Rafet HUSOVIC] |
| Political parties and leaders: | Coalition for European Montenegro (bloc) [Milo DJUKANOVIC] (includes Democratic Party of Socialists or DPS [Milo DJUKANOVIC], Social Democratic Party or SDP [Ranko KRIVOKAPIC], and the Liberal Party of Montenegro or LP [Andrija POPOVIC]) |
| Political parties and leaders: | Coalition FORCA for Unity (includes FORCA [Nazif CUNGU and Civic Initiative [Vaselj Sinistaj]) |
| Political parties and leaders: | Croatian Civic Initiative or HGI [Marija VUCINOVIC] |
| Political parties and leaders: | Democratic Center or DC [Goran BATRICEVIC] |
| Political parties and leaders: | Democratic Front (bloc) [Miodrag LEKIC] (includes New Serb Democracy or NOVA [Andrija MANDIC], Movement for Change or PZP [Nebojsa MEDOJEVIC], a splinter faction of the Socialist People's Party or SNP, and the Pensioners' Party [Vojo VULETIC]) |
| Political parties and leaders: | Democratic Serbian Party of Montenegro or DSS [Dragica PEROVIC] |
| Political parties and leaders: | Democratic Union of Albanians or DUA [Mehmet ZENKA] |
| Political parties and leaders: | Just Montenegro [Rade BOJOVIC] |
| Political parties and leaders: | People's Party of Montenegro or NS [Dejan VUCICEVIC] |
| Political parties and leaders: | Positive Montenegro [Darko PAJOVIC] |
| Political parties and leaders: | Socialist People's Party or SNP [Srdan MILIC] |
| Political pressure groups and leaders: | NA |
