| Government | Montenegro |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Montenegro |
| Country name: | local long form: none |
| Country name: | local short form: Crna Gora |
| Country name: | former: People's Republic of Montenegro, Socialist Republic of Montenegro, Republic of Montenegro |
| Country name: | etymology: the country's name locally as well as in most Western European languages means "black mountain" and refers to the dark coniferous forests on Mount Lovcen and the surrounding area |
| Government type: | parliamentary republic |
| Capital: | name: Podgorica; note - Cetinje retains the status of "Old Royal Capital" |
| Capital: | geographic coordinates: 42 26 N, 19 16 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1 hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: the name translates as "beneath Gorica"; the meaning of Gorica is "hillock"; the reference is to the small hill named Gorica that the city is built around |
| Administrative divisions: | 24 municipalities (opstine, singular - opstina); Andrijevica, Bar, Berane, Bijelo Polje, Budva, Cetinje, Danilovgrad, Gusinje, Herceg Novi, Kolasin, Kotor, Mojkovac, Niksic, Petnijica, Plav, Pljevlja, Pluzine, Podgorica, Rozaje, Savnik, Tivat, Tuzi, Ulcinj, Zabljak |
| Independence: | 3 June 2006 (from the State Union of Serbia and Montenegro); notable earlier dates: 13 March 1852 (Principality of Montenegro established); 13 July 1878 (Congress of Berlin recognizes Montenegrin independence); 28 August 1910 (Kingdom of Montenegro established) |
| National holiday: | National Day, 13 July (1878, the day the Berlin Congress recognized Montenegro as the 27th independent state in the world, and 1941, the day the Montenegrins staged an uprising against fascist occupiers and sided with the partisan communist movement) |
| Constitution: | history: several previous; latest adopted 22 October 2007 |
| Constitution: | amendments: proposed by the president of Montenegro, by the government, or by at least 25 members of the Assembly; passage of draft proposals requires two-thirds majority vote of the Assembly, followed by a public hearing; passage of draft amendments requires two-thirds majority vote of the Assembly; changes to certain constitutional articles, such as sovereignty, state symbols, citizenship, and constitutional change procedures, require three-fifths majority vote in a referendum; amended 2013, 2014 |
| Legal system: | civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Montenegro |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Milo DJUKANOVIC (since 20 May 2018) |
| Executive branch: | head of government: Prime Minister Zdravko KRIVOKAPIC (since 4 December 2020) |
| Executive branch: | cabinet: Ministers act as cabinet |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 15 April 2018 (next to be held in 2023); prime minister nominated by the president, approved by the Assembly |
| Executive branch: | election results: Milo DJUKANOVIC elected president in the first round; percent of vote - Milo DJUKANOVIC (DPS) 53.9%, Mladen BOJANIC (independent) 33.4%, Draginja VUKSANOVIC (SDP) 8.2%, Marko MILACIC (PRAVA) 2.8%, other 1.7% |
| Legislative branch: | description: unicameral Assembly or Skupstina (81 seats; members directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 30 August 2020 (next to be held in 2024) |
| Legislative branch: | election results: percent of vote by party/coalition - DPS 35.1%, ZBCG 32.6%, MNIM 12.5%, URA 5.5%, SD 4.1%, BS 3.9%, SDP 3.1%, AL 1.6%, AK 1.1%, other 0.4%; seats by party/coalition - DPS 30, ZBCG 27, MNIM 10, URA 4, BS 3, SD 3, SDP 2, AL 1, AK 1.; composition - men 57, women 24, percent of women 29.6% |
| Judicial branch: | highest courts: Supreme Court or Vrhovni Sud (consists of the court president, deputy president, and 15 judges); Constitutional Court or Ustavni Sud (consists of the court president and 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president proposed by general session of the Supreme Court and elected by the Judicial Council, a 9-member body consisting of judges, lawyers designated by the Assembly, and the minister of judicial affairs; Supreme Court president elected for a single renewable, 5-year term; other judges elected by the Judicial Council for life; Constitutional Court judges - 2 proposed by the president of Montenegro and 5 by the Assembly, and elected by the Assembly; court president elected from among the court members; court president elected for a 3-year term, other judges serve 9-year terms |
| Judicial branch: | subordinate courts: Administrative Courts; Appellate Court; Commercial Courts; High Courts; basic courts |
| Political parties and leaders: | Albanian Alternative or AA [Nik DJELOSAJ] |
| Political parties and leaders: | Albanian Coalition (includes DP, DSCG, DUA) |
| Political parties and leaders: | Albanian Coalition Perspective or AKP |
| Political parties and leaders: | Albanian List (coalition includes AA, Forca, AKP, DSA) |
| Political parties and leaders: | Bosniak Party or BS [Rafet HUSOVIC] |
| Political parties and leaders: | Croatian Civic Initiative or HGI [Marija VUCINOVIC] |
| Political parties and leaders: | Croatian Reform Party [Marija VUCINOVIC] |
| Political parties and leaders: | Democratic Alliance or DEMOS [Miodrag LEKIC] |
