| Government | Cape Verde |
| --- | --- |
| Country name: | conventional long form: Republic of Cape Verde |
| Country name: | conventional short form: Cape Verde |
| Country name: | local short form: Cabo Verde |
| Country name: | local long form: Republica de Cabo Verde |
| Government type: | republic |
| Capital: | Praia |
| Administrative divisions: | 17 municipalities (concelhos, singular - concelho); Boa Vista, Brava, Maio, Mosteiros, Paul, Praia, Porto Novo, Ribeira Grande, Sal, Santa Catarina, Santa Cruz, Sao Domingos, Sao Filipe, Sao Miguel, Sao Nicolau, Sao Vicente, Tarrafal |
| Independence: | 5 July 1975 (from Portugal) |
| National holiday: | Independence Day, 5 July (1975) |
| Constitution: | new constitution came into force 25 September 1992; underwent a major revision on 23 November 1995, substantially increasing the powers of the president, and a further revision in 1999, to create the position of national ombudsman (Provedor de Justica) |
| Legal system: | derived from the legal system of Portugal |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pedro PIRES (since 22 March 2001) |
| Executive branch: | head of government: Prime Minister Jose Maria Pereira NEVES (since 1 February 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 11 and 25 February 2001 (next to be held NA February 2006); prime minister nominated by the National Assembly and appointed by the president |
| Executive branch: | election results: Pedro PIRES elected president; percent of vote - Pedro PIRES (PAICV) 49.43%, Carlos VIEGA (MPD) 49.42%; note - the election was won by only twelve votes |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (72 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 14 January 2001 (next to be held NA December 2005) |
| Legislative branch: | election results: percent of vote by party - PAICV 47.3%, MPD 39.8%, ADM 6%, other 6.9%; seats by party - PAICV 40, MPD 30, ADM 2 |
| Judicial branch: | Supreme Tribunal of Justice or Supremo Tribunal de Justia |
| Political parties and leaders: | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic Alliance for Change or ADM [Dr. Eurico MONTEIRO] (a coalition of PCD, PTS, and UCID); Democratic Christian Party or PDC [Manuel RODRIGUES, chairman]; Democratic Renovation Party or PRD [Jacinto SANTOS, president]; Movement for Democracy or MPD [Agostinho LOPES, president]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO, president]; Party of Work and Solidarity or PTS [Anibal MEDINA, president]; Social Democratic Party or PSD [Joao ALEM, president] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IOM (observer), ITU, NAM, OAU, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose BRITO |
| Diplomatic representation in the US: | consulate(s) general: Boston |
| Diplomatic representation in the US: | FAX: [1] (202) 965-1207 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-6820 |
| Diplomatic representation in the US: | chancery: 3415 Massachusetts Avenue NW, Washington, DC 20007 |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald C. JOHNSON |
| Diplomatic representation from the US: | embassy: Rua Abilio m. Macedo 81, Praia |
| Diplomatic representation from the US: | mailing address: C. P. 201, Praia |
| Diplomatic representation from the US: | telephone: [238] 61 56 16, 61 56 17 |
| Diplomatic representation from the US: | FAX: [238] 61 13 55 |
| Flag description: | three horizontal bands of light blue (top, double width), white (with a horizontal red stripe in the middle third), and light blue; a circle of 10 yellow five-pointed stars is centered on the hoist end of the red stripe and extends into the upper and lower blue bands |
