| Government | Cape Verde |
| --- | --- |
| Country name: | conventional long form: Republic of Cape Verde |
| Country name: | conventional short form: Cape Verde |
| Country name: | local long form: Republica de Cabo Verde |
| Country name: | local short form: Cabo Verde |
| Government type: | republic |
| Capital: | name: Praia |
| Capital: | geographic coordinates: 14 55 N, 23 31 W |
| Capital: | time difference: UTC-1 (4 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 17 municipalities (concelhos, singular - concelho); Boa Vista, Brava, Maio, Mosteiros, Paul, Praia, Porto Novo, Ribeira Grande, Sal, Santa Catarina, Santa Cruz, Sao Domingos, Sao Filipe, Sao Miguel, Sao Nicolau, Sao Vicente, Tarrafal |
| Independence: | 5 July 1975 (from Portugal) |
| National holiday: | Independence Day, 5 July (1975) |
| Constitution: | 25 September 1992; a major revision on 23 November 1995 substantially increased the powers of the president; a 1999 revision created the position of national ombudsman (Provedor de Justica) |
| Legal system: | based on the legal system of Portugal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pedro Verona Rodriques PIRES (since 22 March 2001) |
| Executive branch: | head of government: Prime Minister Jose Maria Pereira NEVES (since 1 February 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 12 February 2006 (next to be held in February 2011); prime minister nominated by the National Assembly and appointed by the president |
| Executive branch: | election results: Pedro PIRES reelected president; percent of vote - Pedro PIRES (PAICV) 51.2%, Carlos VIEGA (MPD) 48.8% |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (72 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 22 January 2006 (next to be held in January 2011) |
| Legislative branch: | election results: percent of vote by party - PAICV 52.3%, MPD 44%, UCID 2.7%; seats by party - PAICV 41, MPD 29, UCID 2 |
| Judicial branch: | Supreme Tribunal of Justice or Supremo Tribunal de Justia |
| Political parties and leaders: | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic Christian Party or PDC [Manuel RODRIGUES]; Democratic Renovation Party or PRD [Victor FIDALGO]; Democratic and Independent Cape Verdean Union or UCID [Antonio MONTEIRO]; Movement for Democracy or MPD [Jorge SANTOS]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO]; Party of Work and Solidarity or PTS [Isaias RODRIGUES]; Social Democratic Party or PSD [Joao ALEM] |
| Political pressure groups and leaders: | other: environmentalists; political pressure groups |
| International organization participation: | ACCT, ACP, AfDB, AU, CPLP, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Fatima Lima VEIGA |
| Diplomatic representation in the US: | chancery: 3415 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-6820 |
| Diplomatic representation in the US: | FAX: [1] (202) 965-1207 |
| Diplomatic representation in the US: | consulate(s) general: Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador Marianne M. MYLES |
| Diplomatic representation from the US: | embassy: Rua Abilio Macedo n6, Praia |
| Diplomatic representation from the US: | mailing address: C. P. 201, Praia |
| Diplomatic representation from the US: | telephone: [238] 2-60-89-00 |
| Diplomatic representation from the US: | FAX: [238] 2-61-13-55 |
| Flag description: | five unequal horizontal bands; the top-most band of blue - equal to one half the width of the flag - is followed by three bands of white, red, and white, each equal to 1/12 of the width, and a bottom stripe of blue equal to one quarter of the flag width; a circle of 10, yellow, five-pointed stars, each representing one of the islands, is centered on the red stripe and positioned 3/8 of the length of the flag from the hoist side |
