| Government | CABO VERDE |
| --- | --- |
| Country name: | conventional long form: Republic of Cabo Verde |
| Country name: | conventional short form: Cabo Verde |
| Country name: | local long form: Republica de Cabo Verde |
| Country name: | local short form: Cabo Verde |
| Country name: | etymology: the name derives from Cap-Vert (Green Cape) on the Senegalese coast, the westernmost point of Africa and the nearest mainland to the islands |
| Government type: | republic |
| Capital: | name: Praia |
| Capital: | geographic coordinates: 14 55 N, 23 31 W |
| Capital: | time difference: UTC-1 (4 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 22 municipalities (concelhos, singular - concelho); Boa Vista, Brava, Maio, Mosteiros, Paul, Porto Novo, Praia, Ribeira Brava, Ribeira Grande, Ribeira Grande de Santiago, Sal, Santa Catarina, Santa Catarina do Fogo, Santa Cruz, Sao Domingos, Sao Filipe, Sao Lourenco dos Orgaos, Sao Miguel, Sao Salvador do Mundo, Sao Vicente, Tarrafal, Tarrafal de Sao Nicolau |
| Independence: | 5 July 1975 (from Portugal) |
| National holiday: | Independence Day, 5 July (1975) |
| Constitution: | previous 1981; latest effective 25 September 1992; revised 1995, 1999, 2010 (2015) |
| Legal system: | civil law system of Portugal |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Cabo Verde |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jorge Carlos FONSECA (since 9 September 2011) |
| Executive branch: | head of government: Prime Minister Jose Maria Pereira NEVES (since 1 February 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 7 August 2011 with a second round on 21 August 2011 (next to be held in 2016); prime minister nominated by the National Assembly and appointed by the president |
| Executive branch: | election results: percent of vote in second round - Jorge Carlos FONSECA (MPD) 53.4%, Manuel Inocencio SOUSA (PAICV) 46.6% |
| Legislative branch: | description: unicameral National Assembly or Assembleia Nacional (72 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 6 February 2011 (next to be held by 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PAICV 38, MPD 32, UCID 2 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of the chief justice and at least 5 judges) |
| Judicial branch: | judge selection and term of office: judges appointments - 1 by the president of the republic, 1 elected by the National Assembly, and the remainder by the Supreme Council of Magistrates, a 9-member independent body presided over by the chief justice and includes the high judicial inspector, 2 presidential appointees, 3 elected by the National Assembly, and 2 by their court peers; chief justice appointed by the president of the republic from among peers of the Supreme Court and in consultation with the Supreme Council of Magistrates; judge tenure NA |
| Judicial branch: | subordinate courts: first instance (municipal) courts; audit, military, and fiscal and customs courts |
| Political parties and leaders: | African Party for Independence of Cabo Verde or PAICV [Janira Hopffer ALMADA] |
| Political parties and leaders: | Democratic and Independent Cabo Verdean Union or UCID [Antonio MONTEIRO] |
| Political parties and leaders: | Democratic Christian Party or PDC [Manuel RODRIGUES] |
| Political parties and leaders: | Democratic Renovation Party or PRD [Victor FIDALGO] |
| Political parties and leaders: | Movement for Democracy or MPD [Ulisses CORREIA e Silva] |
| Political parties and leaders: | Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO] |
| Political parties and leaders: | Party of Work and Solidarity or PTS [Anibal MEDINA] |
| Political parties and leaders: | Social Democratic Party or PSD [Joao ALEM] |
| Political pressure groups and leaders: | other: environmentalists; political pressure groups |
| International organization participation: | ACP, AfDB, AOSIS, AU, CD, CPLP, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Luis Fialho ROCHA (since 14 July 2014) |
| Diplomatic representation in the US: | chancery: 3415 Massachusetts Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-6820 |
| Diplomatic representation in the US: | FAX: [1] (202) 965-1207 |
| Diplomatic representation in the US: | consulate(s) general: Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald L. HEFLIN (since 29 January 2015) |
| Diplomatic representation from the US: | embassy: Rua Abilio Macedo 6, Praia |
| Diplomatic representation from the US: | mailing address: C. P. 201, Praia |
| Diplomatic representation from the US: | telephone: [238] 2-60-89-00 |
| Diplomatic representation from the US: | FAX: [238] 2-61-13-55 |
| Flag description: | five unequal horizontal bands; the top-most band of blue - equal to one half the width of the flag - is followed by three bands of white, red, and white, each equal to 1/12 of the width, and a bottom stripe of blue equal to one quarter of the flag width; a circle of 10, yellow, five-pointed stars is centered on the red stripe and positioned 3/8 of the length of the flag from the hoist side; blue stands for the sea and the sky, the circle of stars represents the 10 major islands united into a nation, the stripes symbolize the road to formation of the country through peace (white) and effort (red) |
| National symbol(s): | ten, five-pointed, yellow stars; national colors: blue, white, red, yellow |
| National anthem: | name: "Cantico da Liberdade" (Song of Freedom) |
| National anthem: | lyrics/music: Amilcar Spencer LOPES/Adalberto Higino Tavares SILVA |
| National anthem: | note: adopted 1996 |
