| Government | Sierra Leone |
| --- | --- |
| Country name: | conventional long form: Republic of Sierra Leone |
| Country name: | conventional short form: Sierra Leone |
| Country name: | local long form: Republic of Sierra Leone |
| Country name: | local short form: Sierra Leone |
| Government type: | constitutional democracy |
| Capital: | name: Freetown |
| Capital: | geographic coordinates: 8 29 N, 13 14 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 3 provinces and 1 area*; Eastern, Northern, Southern, Western* |
| Independence: | 27 April 1961 (from the UK) |
| National holiday: | Independence Day, 27 April (1961) |
| Constitution: | several previous; latest in effect 1 October 1991; amended several times, last in 2010; note - in mid-2013 a committee was formed to review the constitution (2013) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ernest Bai KOROMA (since 17 September 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ernest Bai KOROMA (since 17 September 2007) |
| Executive branch: | cabinet: Ministers of State appointed by the president with the approval of the House of Representatives; the cabinet is responsible to the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 17 November 2012 (next to be held in 2017) |
| Executive branch: | election results: Ernest Bai KOROMA elected to a second term; percent of vote - Ernest Bai KOROMA 58.7%, Julius Maada BIO 37.4%, other 3.9% |
| Legislative branch: | unicameral Parliament (124 seats; 112 members elected by popular vote, 12 filled by paramount chiefs elected in separate elections; members to serve five-year terms) |
| Legislative branch: | elections: last held on 17 November 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - APC 69, SLPP 43 |
| Judicial branch: | highest court(s): Superior Court of Judicature (consists of the Supreme Court - at the apex - with the chief justice and 4 other judges, the Court of Appeal with the chief justice and 7 other judges, and the High Court of Justice with the chief justice and 9 other judges; note – the Judicature has jurisdiction in all civil, criminal, and constitutional matters |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice and other judges of the Judicature appointed by the president on the advice of the Judicial and Legal Service Commission (a 7-member independent body of judges, presidential appointees, and the Commission chairman) and subject to the approval of Parliament; all Judicature judges appointed until retirement at age 65 |
| Judicial branch: | subordinate courts: magistrates' courts; District Appeals Court; local courts |
| Political parties and leaders: | All People's Congress or APC [Ernest Bai KOROMA] |
| Political parties and leaders: | Peace and Liberation Party or PLP [Darlington MORRISON] |
| Political parties and leaders: | People's Movement for Democratic Change or PMDC [Charles MARGAI] |
| Political parties and leaders: | Sierra Leone People's Party or SLPP [Julius Maada BIO] |
| Political parties and leaders: | numerous others |
| Political pressure groups and leaders: | other: student unions; trade unions |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NAM, OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMIT, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bockari Kortu STEVENS (since 28 March 2008) |
| Diplomatic representation in the US: | chancery: 1701 19th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9261 through 9263 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-1793 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael S. OWEN (since 16 August 2010) |
| Diplomatic representation from the US: | embassy: Southridge-Hill Station, Freetown |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [232] (76) 515 000 or (76) 515 000 |
| Diplomatic representation from the US: | FAX: [232] (76) 515 355 |
| Flag description: | three equal horizontal bands of green (top), white, and blue; green symbolizes agriculture, mountains, and natural resources, white represents unity and justice, and blue the sea and the natural harbor in Freetown |
| National symbol(s): | lion |
| National anthem: | name: "High We Exalt Thee, Realm of the Free" |
| National anthem: | lyrics/music: Clifford Nelson FYLE/John Joseph AKA |
| National anthem: | note: adopted 1961 |
