| Government | Sierra Leone |
| --- | --- |
| Country name: | conventional long form: Republic of Sierra Leone |
| Country name: | conventional short form: Sierra Leone |
| Government type: | constitutional democracy |
| Capital: | Freetown |
| Administrative divisions: | 3 provinces and 1 area*; Eastern, Northern, Southern, Western* |
| Independence: | 27 April 1961 (from UK) |
| National holiday: | Independence Day, 27 April (1961) |
| Constitution: | 1 October 1991; subsequently amended several times |
| Legal system: | based on English law and customary laws indigenous to local tribes; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ahmad Tejan KABBAH (since 29 March 1996, reinstated 10 March 1998); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ahmad Tejan KABBAH (since 29 March 1996, reinstated 10 March 1998); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Ministers of State appointed by the president with the approval of the House of Representatives; the cabinet is responsible to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 14 May 2002 (next to be held NA May 2007); note - president's tenure of office is limited to two five-year terms |
| Executive branch: | election results: Ahmad Tejan KABBAH reelected president; percent of vote - Ahmad Tejan KABBAH (SLPP) 70.6%, Ernest KOROMA (APC) 22.4% |
| Legislative branch: | unicameral Parliament (124 seats - 112 elected by popular vote, 12 filled by paramount chiefs elected in separate elections; members serve five-year terms) |
| Legislative branch: | elections: last held 14 May 2002 (next to be held NA May 2007) |
| Legislative branch: | election results: percent of vote by party - SLPP 70.06%, APC 22.35%, PLP 3%, others 4.59%; seats by party - SLPP 83, APC 27, PLP 2 |
| Judicial branch: | Supreme Court; Appeals Court; High Court |
| Political parties and leaders: | All People's Congress or APC [Ben KANU]; Peace and Liberation Party or PLP [Darlington MORRISON, interim chairman]; Sierra Leone People's Party or SLPP [Sama BANYA]; numerous others |
| Political pressure groups and leaders: | Trade Unions and Student Unions |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ibrahim M. KAMARA |
| Diplomatic representation in the US: | FAX: [1] (202) 483-1793 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9261 through 9263 |
| Diplomatic representation in the US: | chancery: 1701 19th Street NW, Washington, DC 20009 |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter Russell CHAVEAS |
| Diplomatic representation from the US: | embassy: Corner of Walpole and Siaka Stevens Streets, Freetown |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [232] (22) 226481 through 226485 |
| Diplomatic representation from the US: | FAX: [232] (22) 225471 |
| Flag description: | three equal horizontal bands of light green (top), white, and light blue |
