| Government | ZIMBABWE |
| --- | --- |
| Country name: | conventional long form: Republic of Zimbabwe |
| Country name: | conventional short form: Zimbabwe |
| Country name: | former: Southern Rhodesia, Rhodesia |
| Government type: | parliamentary democracy |
| Capital: | name: Harare |
| Capital: | geographic coordinates: 17 49 S, 31 02 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 provinces and 2 cities* with provincial status; Bulawayo*, Harare*, Manicaland, Mashonaland Central, Mashonaland East, Mashonaland West, Masvingo, Matabeleland North, Matabeleland South, Midlands |
| Independence: | 18 April 1980 (from the UK) |
| National holiday: | Independence Day, 18 April (1980) |
| Constitution: | previous 1979; latest approved by referendum 16 March 2013, approved by Parliament 9 May 2013 (2013) |
| Legal system: | mixed legal system of English common law, Roman-Dutch civil law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Executive President Robert Gabriel MUGABE (since 31 December 1987); Vice Presidents Emmerson Dambudzo MNANGAGWA and Phelekezela MPHOKO (both since 12 December 2014); note - Vice President Joice MUJURU (since 6 December 2004) was dismissed 9 December 2014 |
| Executive branch: | head of government: Executive President Robert Gabriel MUGABE (since 31 December 1987); note - following the 31 July 2013 presidential election, the position of prime minister was abolished |
| Executive branch: | cabinet: Cabinet appointed by president, responsible to House of Assembly |
| Executive branch: | elections/appointments: each presidential candidate nominated with a nomination paper signed by at least 10 registered voters (at least 1 candidate from each province) and directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); election last held on 31 July 2013 (next to be held in 2018); co-vice presidents drawn from party leadership |
| Executive branch: | election results: Robert Gabriel MUGABE reelected president; percent of vote - Robert Gabriel MUGABE (ZANU-PF) 61.1%, Morgan TSVANGIRAI (MDC-T) 34.4%, Welshman NCUBE (MDC-N) 2.7%, other 1.8%; note - the election process was considered flawed and roundly criticized by election monitors and international bodies; both the African Union and the South African Development Community endorsed the results of the election with some concerns |
| Legislative branch: | description: bicameral Parliament consists of the Senate (80 seats; 60 members directly elected in multi-seat constituencies - 6 seats in each of the 10 provinces - by proportional representation vote, 16 indirectly elected by the regional governing councils, 2 reserved for the National Council Chiefs, and 2 reserved for members with disabilities; members serve 5-year terms) and the House of Assembly (270 seats; 210 members directly elected in single-seat constituencies by simple majority vote and 60 seats reserved for women directly elected by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 31 July 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - ZANU-PF 37 MDC-T 21, MDC-N 2, chiefs 18, people with disabilities 2; House of Assembly - percent of vote by party - NA; seats by party - ZANU-PF 197, MDC-T 70, MDC-N 2, independent 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 4 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president upon recommendation of the Judicial Service Commission, an independent body consisting of the chief justice, Public Service Commission chairman, attorney general, and 2-3 members appointed by the president; judges normally serve until age 65 but can elect to serve until age 70 |
| Judicial branch: | subordinate courts: High Court, regional magistrate courts, and special courts |
| Political parties and leaders: | African National Party or ANP [Egypt DZINEMUNHENZVA] |
| Political parties and leaders: | Freedom Party [Cosmas MPONDA] |
| Political parties and leaders: | Movambo Kusile Dawn or MKD [Simba MAKONI] |
| Political parties and leaders: | Movement for Democratic Change - Ncube or MDC-N [Welshman NCUBE] |
| Political parties and leaders: | Movement for Democratic Change - Renewal or MDC-R [Sekai HOLLAND]; note - has been kicked out of Parliament as of 17 May 2015 |
| Political parties and leaders: | Movement for Democratic Change - Tsvangirai or MDC-T [Morgan TSVANGIRAI] |
| Political parties and leaders: | Transform Zimbabwe or TZ [Jacob NGARIVHUME] |
| Political parties and leaders: | United Parties [Abel MUZOREWA] |
| Political parties and leaders: | Zimbabwe African National Union-Ndonga or ZANU-Ndonga [Wilson KUMBULA] |
| Political parties and leaders: | Zimbabwe African National Union-Patriotic Front or ZANU-PF [Robert Gabriel MUGABE] |
