| Government | Zimbabwe |
| --- | --- |
| Country name: | conventional long form: Republic of Zimbabwe |
| Country name: | conventional short form: Zimbabwe |
| Country name: | former: Southern Rhodesia, Rhodesia, Zimbabwe-Rhodesia |
| Country name: | etymology: takes its name from the Kingdom of Zimbabwe (13th-15th century) and its capital of Great Zimbabwe, the largest stone structure in pre-colonial southern Africa |
| Government type: | semi-presidential republic |
| Capital: | name: Harare |
| Capital: | geographic coordinates: 17 49 S, 31 02 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 provinces and 2 cities* with provincial status; Bulawayo*, Harare*, Manicaland, Mashonaland Central, Mashonaland East, Mashonaland West, Masvingo, Matabeleland North, Matabeleland South, Midlands |
| Independence: | 18 April 1980 (from the UK) |
| National holiday: | Independence Day, 18 April (1980) |
| Constitution: | history: previous 1965 (at Rhodesian independence), 1979 (Lancaster House Agreement), 1980 (at Zimbabwean independence); latest final draft completed January 2013, approved by referendum 16 March 2013, approved by Parliament 9 May 2013, effective 22 May 2013 (2017) |
| Constitution: | amendments: proposed by the Senate or by the National Assembly; passage requires two-thirds majority vote by the membership of both houses of Parliament and assent by the president of the republic; amendments to constitutional chapters on fundamental human rights and freedoms and on agricultural lands also require approval by a majority of votes cast in a referendum; amended many times, last in 2017 (2017) |
| Legal system: | mixed legal system of English common law, Roman-Dutch civil law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Zimbabwe; in the case of a child born out of wedlock, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 4 judges); Constitutional Court (consists of the chief and deputy chief justices and 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president upon recommendation of the Judicial Service Commission, an independent body consisting of the chief justice, Public Service Commission chairman, attorney general, and 2-3 members appointed by the president; judges normally serve until age 65 but can elect to serve until age 70; Constitutional Court judge appointment NA; judges serve nonrenewable 15-year terms |
| Judicial branch: | subordinate courts: High Court; Labor Court; Administrative Court; regional magistrate courts; customary law courts; special courts |
| Executive branch: | chief of state: President Emmerson Dambudzo MNANGAGWA (since 24 November 2017); First Vice President Constantino CHIWENGA (since 28 December 2017); note - Robert Gabriel MUGABE resigned on 21 November 2017, after ruling for 37 years |
| Executive branch: | head of government: President Emmerson Dambudzo MNANGAGWA (since 24 November 2017); First Vice President Constantino CHIWENGA (since 28 December 2017) |
| Executive branch: | cabinet: Cabinet appointed by president, responsible to National Assembly |
| Executive branch: | elections/appointments: each presidential candidate nominated with a nomination paper signed by at least 10 registered voters (at least 1 candidate from each province) and directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); election last held on 3 July 2018 (next to be held in 2023); co-vice presidents drawn from party leadership |
| Executive branch: | election results: Emmerson MNANGAGWA reelected president in 1st round of voting; percent of vote - Emmerson MNANGAGWA (ZANU-PF) 50.8%, Nelson CHAMISA (MDC-T) 44.3%, Thokozani KHUP (MDC-N) .9%, other 3% |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (80 seats; 60 members directly elected in multi-seat constituencies - 6 seats in each of the 10 provinces - by proportional representation vote, 16 indirectly elected by the regional governing councils, 2 reserved for the National Council Chiefs, and 2 reserved for members with disabilities; members serve 5-year terms) |
| Legislative branch: | National Assembly (270 seats; 210 members directly elected in single-seat constituencies by simple majority vote and 60 seats reserved for women directly elected by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held for elected member on 30 July 2018 (next to be held in 2023) |
| Legislative branch: | National Assembly - last held on 31 July 2013 (next to be held in 2018) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - ZANU-PF 34, MDC Alliance 25, Chiefs 18, people with disabilities 2, MDC-T 1 |
