| Government | Zimbabwe |
| --- | --- |
| Country name: | conventional long form: Republic of Zimbabwe |
| Country name: | conventional short form: Zimbabwe |
| Country name: | former: Southern Rhodesia, Rhodesia |
| Government type: | parliamentary democracy |
| Capital: | name: Harare |
| Capital: | geographic coordinates: 17 49 S, 31 02 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 provinces and 2 cities* with provincial status; Bulawayo*, Harare*, Manicaland, Mashonaland Central, Mashonaland East, Mashonaland West, Masvingo, Matabeleland North, Matabeleland South, Midlands |
| Independence: | 18 April 1980 (from the UK) |
| National holiday: | Independence Day, 18 April (1980) |
| Constitution: | previous 1979; latest approved by referendum 16 March 2013, approved by Parliament 9 May 2013 (2013) |
| Legal system: | mixed legal system of English common law, Roman-Dutch civil law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Executive President Robert Gabriel MUGABE (since 31 December 1987); Vice President Joice MUJURU (since 6 December 2004) |
| Executive branch: | head of government: Executive President Robert Gabriel MUGABE (since 31 December 1987) note - according to the new constitution, following the 31 July 2013 presidential elections the position of Prime Minister was abolished |
| Executive branch: | cabinet: Cabinet appointed by the president; responsible to the House of Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: presidential candidates nominated with a nomination paper signed by at least 10 registered voters (at least one from each province) and elected by popular vote for a five-year term (no term limits); elections last held on 31 July 2013 (next to be held in 2018); co-vice presidents drawn from party leadership |
| Executive branch: | election results: Robert Gabriel MUGABE reelected president; percent of vote - Robert Gabriel MUGABE 61.1%, Morgan TSVANGIRAI 34.4%, Welshman NCUBE 2.7% other 1.8%; note - the election process was considered flawed and roundly criticised by election monitors and international bodies; both the AU and the SADC endoresed the results of the election with some concerns |
| Legislative branch: | bicameral Parliament consists of a Senate (80 seats - 60 members elected by popular vote for a five-year term, 18 traditional chiefs elected by the Council of Chiefs and 2 seats reserved for people with disabilities) and a House of Assembly (270 seats - members elected by popular vote for five-year terms and 60 seats reserved for women who are identified by their parties and nominated by proportional representation) |
| Legislative branch: | elections: last held on 31 July 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - ZANU-PF 37 MD-T 21, MDC-N 2, chiefs 18, people with disabilities 2; House of Assembly - percent of vote by party - NA; seats by party - ZANU-PF 197, MDC-T 70, MDC-N 2, independent 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 4 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president upon recommendation of the Judicial Service Commission, an independent body consisting of the chief justice, Public Service Commission chairman, attorney general, and 2-3 members appointed by the president; judges normally serve until age 65, but can elect to serve until age 70 |
| Judicial branch: | subordinate courts: High Court, regional magistrate courts, and special courts |
| Political parties and leaders: | African National Party or ANP [Egypt DZINEMUNHENZVA] |
| Political parties and leaders: | Movement for Democratic Change - Tsvangirai or MDC-T [Morgan TSVANGIRAI] |
| Political parties and leaders: | Movement for Democratic Change - Ncube or MDC-N [Welshman NCUBE] |
| Political parties and leaders: | Peace Action is Freedom for All or PAFA |
| Political parties and leaders: | United Parties [Abel MUZOREWA] |
| Political parties and leaders: | United People's Party or UPP [Daniel SHUMBA] |
| Political parties and leaders: | Zimbabwe African National Union-Ndonga or ZANU-Ndonga [Wilson KUMBULA] |
| Political parties and leaders: | Zimbabwe African National Union-Patriotic Front or ZANU-PF [Robert Gabriel MUGABE] |
| Political parties and leaders: | Zimbabwe African Peoples Union or ZAPU [Dumiso DABENGWA] |
| Political parties and leaders: | Zimbabwe Youth in Alliance or ZIYA |
| Political pressure groups and leaders: | Crisis in Zimbabwe Coalition |
| Political pressure groups and leaders: | National Constitutional Assembly or NCA [Lovemore MADHUKU] |
| Political pressure groups and leaders: | Women of Zimbabwe Arise or WOZA [Jenni WILLIAMS] |
| Political pressure groups and leaders: | Zimbabwe Congress of Trade Unions or ZCTU [Wellington CHIBEBE] |
