| Government | PORTUGAL |
| --- | --- |
| Country name: | conventional long form: Portuguese Republic |
| Country name: | conventional short form: Portugal |
| Country name: | local long form: Republica Portuguesa |
| Country name: | local short form: Portugal |
| Government type: | republic; parliamentary democracy |
| Capital: | name: Lisbon |
| Capital: | geographic coordinates: 38 43 N, 9 08 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 18 districts (distritos, singular - distrito) and 2 autonomous regions* (regioes autonomas, singular - regiao autonoma); Aveiro, Acores (Azores)*, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa (Lisbon), Madeira*, Portalegre, Porto, Santarem, Setubal, Viana do Castelo, Vila Real, Viseu |
| Independence: | 1143 (Kingdom of Portugal recognized); 5 October 1910 (republic proclaimed) |
| National holiday: | Portugal Day (Dia de Portugal), 10 June (1580); note - also called Camoes Day, the day that revered national poet Luis de Camoes (1524-80) died |
| Constitution: | several previous; latest adopted 2 April 1976, effective 25 April 1976; amended several times, last in 2005 (2013) |
| Legal system: | civil law system; Constitutional Court review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Anibal CAVACO SILVA (since 9 March 2006) |
| Executive branch: | head of government: Prime Minister Pedro Manuel PASSOS COELHO Mamede (since 21 June 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 23 January 2011 (next to be held in January 2016); following legislative elections which must be held by October 2015, the leader of the majority party or majority coalition usually appointed prime minister by the president |
| Executive branch: | election results: Anibal CAVACO SILVA reelected president; percent of vote - Anibal CAVACO SILVA (PPD/PSD) 53%, Manuel ALEGRE (PS) 19.8%, Fernando NOBRE (independent) 14.1%, Francisco LOPES (independent) 7.1%, Manuel COELHO 4.5%, other 1.5% |
| Executive branch: | note: there is also a Council of State that acts as a consultative body to the president |
| Legislative branch: | description: unicameral Assembly of the Republic or Assembleia da Republica (230 seats; 226 members directly elected in multi-seat constituencies by proportional representation vote and 4 members - 2 each in 2 constituencies representing Portuguese living abroad - directly elected by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 5 June 2011 (next to be held by October 2015) |
| Legislative branch: | election results: percent of vote by party - PPD/PSD 38%, PS 28%, CDS/PP 11%, PCP/PEV (see CDU) 7%, BE 5%, other 11%; seats by party - PPD/PSD 108, PS 74, CDS/PP 24, PCP/PEV (see CDU) 16, BE 8 |
| Judicial branch: | highest court(s): Supreme Court or Supremo Tribunal de Justica (consists of 12 justices); Constitutional Court or Tribunal Constitucional (consists of 13 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court justices nominated by the president and appointed by the Assembly of the Republic; judges appointed for life; Constitutional Court judges - 10 elected by the Assembly and 3 elected by the other Constitutional Court judges; judges elected for 6-year non-renewable terms |
| Judicial branch: | subordinate courts: Supreme Administrative Court (Supremo Tribunal Administrativo); Audit Court (Tribunal de Contas); appellate, district, and municipal courts |
| Political parties and leaders: | Democratic and Social Center/Popular Party or CDS/PP [Paulo PORTAS] |
| Political parties and leaders: | Social Democratic Party or PPD/PSD [Pedro PASSOS COELHO] |
| Political parties and leaders: | Socialist Party or PS [Antonio COSTA] |
| Political parties and leaders: | The Left Bloc or BE [Catarina Soares MARTINS] |
| Political parties and leaders: | Unitarian Democratic Coalition or CDU [Jeronimo DE SOUSA] (includes Portuguese Communist Party or PCP and Ecologist Party ("The Greens") or PEV) |
| Political pressure groups and leaders: | Armed Forces Officers' Association or AOFA [Colonel Pereira CRACEL] |
| Political pressure groups and leaders: | the Desperate Generation (youth movement protesting against low wages, precarious labor conditions, and unemployment) |
| Political pressure groups and leaders: | General Workers Union or General Confederation of Portuguese Workers or UGT [Carlos SILVA] |
| Political pressure groups and leaders: | Portuguese National Workers' Conference or CGTP [Armenio CARLOS] |
| Political pressure groups and leaders: | TugaLeaks (a website that has become a mouthpiece for publicizing diverse protest action) |
| Political pressure groups and leaders: | other: the media; labor unions |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, CD, CE, CERN, CPLP, EAPC, EBRD, ECB, EIB, EMU, ESA, EU, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINUSMA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club (associate), PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Nuno Filipe Alves Salvador e BRITO (since 10 February 2011) |
| Diplomatic representation in the US: | chancery: 2012 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-8610 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3726 |
| Diplomatic representation in the US: | consulate(s) general: Boston, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): New Bedford (MA), Newark (NJ), Providence (RI) |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert A. SHERMAN (since 30 May 2014) |
| Diplomatic representation from the US: | embassy: Avenida das Forcas Armadas, 1600-081 Lisbon |
| Diplomatic representation from the US: | mailing address: Apartado 43033, 1601-301 Lisboa; PSC 83, APO AE 09726 |
| Diplomatic representation from the US: | telephone: [351] (21) 727-3300 |
| Diplomatic representation from the US: | FAX: [351] (21) 726-9109 |
| Diplomatic representation from the US: | consulate(s): Ponta Delgada (Azores) |
| Flag description: | two vertical bands of green (hoist side, two-fifths) and red (three-fifths) with the national coat of arms (armillary sphere and Portuguese shield) centered on the dividing line; explanations for the color meanings are ambiguous, but a popular interpretation has green symbolizing hope and red the blood of those defending the nation |
| National symbol(s): | armillary sphere (a spherical astrolabe modeling objects in the sky and representing the Republic); national colors: red, green |
| National anthem: | name: "A Portugesa" (The Song of the Portuguese) |
| National anthem: | lyrics/music: Henrique LOPES DE MENDOCA/Alfredo KEIL |
| National anthem: | note: adopted 1910; "A Portuguesa" was originally written to protest the Portuguese monarchy's acquiescence to the 1890 British ultimatum forcing Portugal to give up areas of Africa; the lyrics refer to the "insult" that resulted from the event |
