| Government | PORTUGAL |
| --- | --- |
| Country name: | conventional long form: Portuguese Republic |
| Country name: | conventional short form: Portugal |
| Country name: | local long form: Republica Portuguesa |
| Country name: | local short form: Portugal |
| Country name: | etymology: name derives from the Roman designation "Portus Cale" meaning "Port of Cale"; Cale was an ancient Celtic town and port in present-day northern Portugal |
| Government type: | semi-presidential republic |
| Capital: | name: Lisbon |
| Capital: | geographic coordinates: 38 43 N, 9 08 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 18 districts (distritos, singular - distrito) and 2 autonomous regions* (regioes autonomas, singular - regiao autonoma); Aveiro, Acores (Azores)*, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa (Lisbon), Madeira*, Portalegre, Porto, Santarem, Setubal, Viana do Castelo, Vila Real, Viseu |
| Independence: | 1143 (Kingdom of Portugal recognized); 5 October 1910 (republic proclaimed) |
| National holiday: | Portugal Day (Dia de Portugal), 10 June (1580); note - also called Camoes Day, the day that revered national poet Luis de Camoes (1524-80) died |
| Constitution: | history: several previous; latest adopted 2 April 1976, effective 25 April 1976 |
| Constitution: | amendments: proposed by the Assembly of the Republic; adoption requires two-thirds majority vote of Assembly members; amended several times, last in 2005 (2016) |
| Legal system: | civil law system; Constitutional Court review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Portugal |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years; 6 years if from a Portuguese-speaking country |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Marcelo REBELO DE SOUSA (since 9 March 2016) |
| Executive branch: | head of government: Prime Minister Antonio Luis Santos da COSTA (since 24 November 2015) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 24 January 2016 (next to be held in January 2021); following legislative elections last held in October 2015, the leader of the majority party or majority coalition was appointed prime minister by the president |
| Executive branch: | election results: Marcelo REBELO DE SOUSA elected president; percent of vote - Marcelo REBELO DE SOUSA (PSD) 52%, Antonio Sampaio da NOVA (independent) 22.9%, Marisa MATISA (BE) 10.1%, Maria de BELEM (independent) 4.2%, other 10.8% |
| Executive branch: | note: there is also a Council of State that acts as a consultative body to the president |
| Legislative branch: | description: unicameral Assembly of the Republic or Assembleia da Republica (230 seats; 226 members directly elected in multi-seat constituencies by proportional representation vote and 4 members - 2 each in 2 constituencies representing Portuguese living abroad - directly elected by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 4 October 2015 (next to be held by October 2019) |
| Legislative branch: | election results: percent of vote by party - PaF 36.9%, PS 32.3%, B.E. 10.2%, CDU 8.3%, PPD/PSD (Azores and Madeira) 1.5%, PAN 1.4%, other 9.4%; seats by party - PaF 102, PS 86, B.E. 19, CDU 17, PPD/PSD (Azores and Madeira) 5, PAN 1 |
| Judicial branch: | highest court(s): Supreme Court or Supremo Tribunal de Justica (consists of 12 justices); Constitutional Court or Tribunal Constitucional (consists of 13 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court justices nominated by the president and appointed by the Assembly of the Republic; judges appointed for life; Constitutional Court judges - 10 elected by the Assembly and 3 elected by the other Constitutional Court judges; judges elected for 6-year non-renewable terms |
| Judicial branch: | subordinate courts: Supreme Administrative Court (Supremo Tribunal Administrativo); Audit Court (Tribunal de Contas); appellate, district, and municipal courts |
| Political parties and leaders: | Democratic and Social Center/Popular Party or CDS-PP [Assuncao CRISTAS] |
| Political parties and leaders: | Ecologist Party "The Greens" or PEV [Heloisa APOLONiA] |
| Political parties and leaders: | People_Animals_Nature Party or PAN [Andre SILVA] |
| Political parties and leaders: | Portuguese Communist Party or PCP [Jeronimo DE SOUSA] |
| Political parties and leaders: | Social Democratic Party or PPD/PSD [Pedro Passos COELHO] |
| Political parties and leaders: | Socialist Party or PS [Antonio COSTA] |
| Political parties and leaders: | The Left Bloc or BE or o Bloco [Catarina MARTINS] |
| Political parties and leaders: | Unitary Democratic Coalition or CDU [Jeronimo DE SOUSA] (includes PCP and PEV) |
| Political pressure groups and leaders: | Armed Forces Officers' Association or AOFA [Lt. Col. Antonio Costa MOTA] |
| Political pressure groups and leaders: | General Workers Union or UGT [Carlos SILVA] |
| Political pressure groups and leaders: | General Confederation of Portuguesse Workers or CGTP-IN [Armenio CARLOS] |
| Political pressure groups and leaders: | TugaLeaks (a website that has become a mouthpiece for publicizing diverse protest action) |
| Political pressure groups and leaders: | other: media; labor unions |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, CD, CE, CERN, CPLP, EAPC, EBRD, ECB, EIB, EMU, ESA, EU, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINUSMA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club (associate), PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Domingos T?eixeira de Abreu Fezas VITAL (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 2012 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-8610 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3726 |
| Diplomatic representation in the US: | consulate(s) general: Boston, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): New Bedford (MA), Newark (NJ), Providence (RI) |
| Diplomatic representation from the US: | chief of mission: Ambassador George E. GLASS (since 25 August 2017) |
| Diplomatic representation from the US: | embassy: Avenida das Forcas Armadas, 1600-081 Lisbon |
| Diplomatic representation from the US: | mailing address: Apartado 43033, 1601-301 Lisboa; PSC 83, APO AE 09726 |
| Diplomatic representation from the US: | telephone: [351] (21) 727-3300 |
| Diplomatic representation from the US: | FAX: [351] (21) 726-9109 |
| Diplomatic representation from the US: | consulate(s): Ponta Delgada (Azores) |
| Flag description: | two vertical bands of green (hoist side, two-fifths) and red (three-fifths) with the national coat of arms (armillary sphere and Portuguese shield) centered on the dividing line; explanations for the color meanings are ambiguous, but a popular interpretation has green symbolizing hope and red the blood of those defending the nation |
| National symbol(s): | armillary sphere (a spherical astrolabe modeling objects in the sky and representing the Republic); national colors: red, green |
| National anthem: | name: "A Portugesa" (The Song of the Portuguese) |
| National anthem: | lyrics/music: Henrique LOPES DE MENDOCA/Alfredo KEIL |
| National anthem: | note: adopted 1910; "A Portuguesa" was originally written to protest the Portuguese monarchy's acquiescence to the 1890 British ultimatum forcing Portugal to give up areas of Africa; the lyrics refer to the "insult" that resulted from the event |
