| Government | Antigua and Barbuda |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Antigua and Barbuda |
| Country name: | etymology: "antiguo" is Spanish for "ancient" or "old"; the island was discovered by Christopher COLUMBUS in 1493 and, according to tradition, named by him after the church of Santa Maria la Antigua (Old Saint Mary's) in Seville; "barbuda" is Spanish for "bearded" and the adjective may refer to the alleged beards of the indigenous people or to the island's bearded fig trees |
| Government type: | parliamentary democracy under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Saint John's |
| Capital: | geographic coordinates: 17 07 N, 61 51 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: named after Saint John the Apostle |
| Administrative divisions: | 6 parishes and 2 dependencies*; Barbuda*, Redonda*, Saint George, Saint John, Saint Mary, Saint Paul, Saint Peter, Saint Philip |
| Independence: | 1 November 1981 (from the UK) |
| National holiday: | Independence Day, 1 November (1981) |
| Constitution: | history: several previous; latest presented 31 July 1981, effective 31 October 1981 (The Antigua and Barbuda Constitution Order 1981) |
| Constitution: | amendments: proposed by either house of Parliament; passage of amendments to constitutional sections such as citizenship, fundamental rights and freedoms, the establishment, power, and authority of the executive and legislative branches, the Supreme Court Order, and the procedure for amending the constitution requires approval by at least two-thirds majority vote of the membership of both houses, approval by at least two-thirds majority in a referendum, and assent to by the governor general; passage of other amendments requires only two-thirds majority vote by both houses; amended 2009, 2011 |
| Legal system: | common law based on the English model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Rodney WILLIAMS (since 14 August 2014) |
| Executive branch: | head of government: Prime Minister Gaston BROWNE (since 13 June 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the governor general on the advice of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the advice of the prime minister; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the governor general |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (17 seats; members appointed by the governor general) |
| Legislative branch: | House of Representatives (18 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last appointed on 26 March 2018 (next NA) |
| Legislative branch: | House of Representatives - last held on 21 March 2018 (next to be held in March 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Senate -Â  composition - men 8, women 9, percent of women 52.9% |
| Legislative branch: | House of Representatives - percent of vote by party - ABLP 59.4%, UPP 37.2%, BPM 1.4%, other 1.9% ; seats by party - ABLP 15, UPP 1, BPM 1; composition - men 16, women 2, percent of women 11.1%;Â note - total Parliament percent of women 31.4% |
| Judicial branch: | highest courts: the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC - headquartered on St. Lucia - consists of the Court of Appeal - headed by the chief justice and 4 judges - and the High Court with 18 judges; the Court of Appeal is itinerant, travelling to member states on a schedule to hear appeals from the High Court and subordinate courts; High Court judges reside in the member states, with 2 assigned to Antigua and Barbuda |
| Judicial branch: | judge selection and term of office: chief justice of Eastern Caribbean Supreme Court appointed by the Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 |
| Judicial branch: | subordinate courts: Industrial Court; Magistrates' Courts |
| Political parties and leaders: | Antigua Caribbean Liberation Movement or ACLM |
| Political parties and leaders: | Antigua Labor Party or ABLP [Gaston BROWNE] |
| Political parties and leaders: | Antigua Barbuda True Labor Party or ABTLP [Sharlene SAMUEL] |
| Political parties and leaders: | Barbuda People's Movement or BPM [Trevor WALKER] |
| Political parties and leaders: | Barbuda People's Movement for Change [Arthur NIBBS] |
| Political parties and leaders: | Barbudans for a Better Barbuda [Ordrick SAMUEL] |
| Political parties and leaders: | Democratic National Alliance or DNA [Joanne MASSIAH] |
| Political parties and leaders: | Go Green for Life [Owen GEORGE] |
| Political parties and leaders: | Progressive Labor Movement or PLM |
| Political parties and leaders: | United National Democratic Party or UNDP |
| Political parties and leaders: | United Progressive Party or UPP [Harold LOVELL] (a coalition of ACLM, PLM, UNDP) |
