| Government | Marshall Islands |
| --- | --- |
| Country name: | conventional long form: Republic of the Marshall Islands |
| Country name: | conventional short form: Marshall Islands |
| Country name: | local long form: Republic of the Marshall Islands |
| Country name: | local short form: Marshall Islands |
| Country name: | abbreviation: RMI |
| Country name: | former: Trust Territory of the Pacific Islands, Marshall Islands District |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force 21 October 1986 and the Amended Compact entered into force in May 2004 |
| Capital: | name: Majuro |
| Capital: | geographic coordinates: 7 05 N, 171 08 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 33 municipalities; Ailinginae, Ailinglaplap, Ailuk, Arno, Aur, Bikar, Bikini, Bokak, Ebon, Enewetak, Erikub, Jabat, Jaluit, Jemo, Kili, Kwajalein, Lae, Lib, Likiep, Majuro, Maloelap, Mejit, Mili, Namorik, Namu, Rongelap, Rongrik, Toke, Ujae, Ujelang, Utirik, Wotho, Wotje |
| Independence: | 21 October 1986 (from the US-administered UN trusteeship) |
| National holiday: | Constitution Day, 1 May (1979) |
| Constitution: | 1 May 1979 |
| Legal system: | based on adapted Trust Territory laws, acts of the legislature, municipal, common, and customary laws |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Kessai Hesa NOTE (since 5 January 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Kessai Hesa NOTE (since 5 January 2004) |
| Executive branch: | cabinet: Cabinet selected by the president from among the members of the legislature |
| Executive branch: | elections: president elected by Parliament from among its own members for a four-year term; election last held 17 November 2003 (next to be held November 2007) |
| Executive branch: | election results: Kessai Hesa NOTE elected president; percent of Parliament vote - 100% |
| Legislative branch: | unicameral legislature or Nitijela (33 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 17 November 2003 (next to be held by November 2007) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NA |
| Legislative branch: | note: the Council of Chiefs or Ironij is a 12-member body comprised of tribal chiefs that advises on matters affecting customary law and practice |
| Judicial branch: | Supreme Court; High Court; Traditional Rights Court |
| Political parties and leaders: | traditionally there have been no formally organized political parties; what has existed more closely resembles factions or interest groups because they do not have party headquarters, formal platforms, or party structures; the following two "groupings" have competed in legislative balloting in recent years - Aelon Kein Ad Party [Michael KABUA] and United Democratic Party or UDP [Litokwa TOMEING] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, FAO, G-77, IAEA, IBRD, ICAO, ICCt, IDA, IFC, IMF, IMO, Interpol, IOC, ITU, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Banny DE BRUM |
| Diplomatic representation in the US: | chancery: 2433 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5414 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-3236 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu |
| Diplomatic representation from the US: | chief of mission: Ambassador Greta N. MORRIS |
| Diplomatic representation from the US: | embassy: Oceanside, Mejen Weto, Long Island, Majuro |
| Diplomatic representation from the US: | mailing address: P. O. Box 1379, Majuro, Republic of the Marshall Islands 96960-1379 |
| Diplomatic representation from the US: | telephone: [692] 247-4011 |
| Diplomatic representation from the US: | FAX: [692] 247-4012 |
| Flag description: | blue with two stripes radiating from the lower hoist-side corner - orange (top) and white; there is a white star with four large rays and 20 small rays on the hoist side above the two stripes |
