| Government | Paraguay |
| --- | --- |
| Country name: | conventional long form: Republic of Paraguay |
| Country name: | conventional short form: Paraguay |
| Country name: | local long form: Republica del Paraguay |
| Country name: | local short form: Paraguay |
| Government type: | constitutional republic |
| Capital: | name: Asuncion |
| Capital: | geographic coordinates: 25 16 S, 57 40 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 17 departments (departamentos, singular - departamento) and 1 capital city*; Alto Paraguay, Alto Parana, Amambay, Asuncion*, Boqueron, Caaguazu, Caazapa, Canindeyu, Central, Concepcion, Cordillera, Guaira, Itapua, Misiones, Neembucu, Paraguari, Presidente Hayes, San Pedro |
| Independence: | 14 May 1811 (from Spain) |
| National holiday: | Independence Day, 14 May 1811 (observed 15 May) |
| Constitution: | promulgated 20 June 1992 |
| Legal system: | based on Argentine codes, Roman law, and French codes; judicial review of legislative acts in Supreme Court of Justice; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory up to age 75 |
| Executive branch: | chief of state: President Fernando Armindo LUGO Mendez (since 15 August 2008); Vice President Federico FRANCO (since 15 August 2008); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Fernando Armindo LUGO Mendez (since 15 August 2008); Vice President Federico FRANCO (since 15 August 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single five-year term; election last held 20 April 2008 (next to be held April 2013) |
| Executive branch: | election results: Fernando Armindo LUGO Mendez elected president; percent of vote - Fernando Armindo LUGO Mendez 40.8%, Blanca OVELAR 30.6%, Lino OVIEDO 21.9%, Pedro FADUL 2.4%, other 4.3% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Chamber of Senators or Camara de Senadores (45 seats; members are elected by popular vote to serve five-year terms) and the Chamber of Deputies or Camara de Diputados (80 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held 20 April 2008 (next to be held in April 2013); Chamber of Deputies - last held 20 April 2008 (next to be held in April 2013) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA; seats by party - ANR 15, PLRA 14, UNACE 9, PPQ 4, other 3; Chamber of Deputies - percent of vote by party - NA; seats by party - ANR 30, PLRA 27, UNACE 15, PPQ 3, APC 2, other 3 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (nine judges appointed on the proposal of the Council of Magistrates or Consejo de la Magistratura) |
| Political parties and leaders: | Alianza Patriotica por el Cambio (Patriotic Alliance for Change) or APC [Fernando LUGO]; Asociacion Nacional Republicana - Colorado Party or ANR [Lilian SAMANIEGO]; Movimiento Union Nacional de Ciudadanos Eticos or UNACE [Lino Cesar OVIEDO Silva]; Patria Querida (Beloved Fatherland Party) or PPQ [Pedro Nicolas Maraa FADUL Niella]; Partido del Movimiento al Socialismo or P-MAS; Partido Encuentro Nacional or PEN [Emilio CAMACHO Paredes]; Partido Liberal Radical Autentico or PLRA [Gustavo CARDOZO]; Partido Pais Solidario or PPS [Carlos Alberto FILIZZOLA Pallares] |
| Political pressure groups and leaders: | Ahorristas Estafados or AE; National Coordinating Board of Campesino Organizations or MCNOC [Luis AGUAYO]; National Federation of Campesinos or FNC [Odilon ESPINOLA]; National Workers Central or CNT [Secretary General Juan TORRALES]; Paraguayan Workers Confederation or CPT; Roman Catholic Church; Unitary Workers Central or CUT [Jorge Guzman ALVARENGA Malgarejo] |
| International organization participation: | CAN (associate), FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, MONUC, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNASUR, UNCTAD, UNESCO, UNIDO, Union Latina, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador James SPALDING Hellmers |
| Diplomatic representation in the US: | chancery: 2400 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-6960 through 6962 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-4508 |
| Diplomatic representation in the US: | consulate(s) general: Kansas City (Kansas), Los Angeles, Miami, New York |
| Diplomatic representation from the US: | Ambassador Liliana AYALDE |
| Diplomatic representation from the US: | embassy: 1776 Avenida Mariscal Lopez, Casilla Postal 402, Asuncion |
| Diplomatic representation from the US: | mailing address: Unit 4711, APO AA 34036-0001 |
| Diplomatic representation from the US: | telephone: [595] (21) 213-715 |
| Diplomatic representation from the US: | FAX: [595] (21) 228-603 |
| Flag description: | three equal, horizontal bands of red (top), white, and blue with an emblem centered in the white band; unusual flag in that the emblem is different on each side; the obverse (hoist side at the left) bears the national coat of arms (a yellow five-pointed star within a green wreath capped by the words REPUBLICA DEL PARAGUAY, all within two circles); the reverse (hoist side at the right) bears the seal of the treasury (a yellow lion below a red Cap of Liberty and the words Paz y Justicia (Peace and Justice) capped by the words REPUBLICA DEL PARAGUAY, all within two circles) |
