| Government | Belize |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Belize |
| Country name: | former: British Honduras |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Belmopan |
| Capital: | geographic coordinates: 17 15 N, 88 46 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 6 districts; Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo |
| Independence: | 21 September 1981 (from the UK) |
| National holiday: | Independence Day, 21 September (1981) |
| Constitution: | 21 September 1981 |
| Legal system: | English law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sir Colville YOUNG, Sr. (since 17 November 1993) |
| Executive branch: | head of government: Prime Minister Dean Oliver BARROW (since 8 February 2008); Deputy Prime Minister Gaspar VEGA (since 12 February 2008) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the governor general; prime minister recommends the deputy prime minister |
| Legislative branch: | bicameral National Assembly consists of the Senate (12 seats; members appointed by the governor general - 6 on the advice of the prime minister, 3 on the advice of the leader of the opposition, and 1 each on the advice of the Belize Council of Churches and Evangelical Association of Churches, the Belize Chamber of Commerce and Industry and the Belize Better Business Bureau, and the National Trade Union Congress and the Civil Society Steering Committee; to serve five-year terms) and the House of Representatives (31 seats; members are elected by direct popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 6 February 2008 (next to be held in 2013) |
| Legislative branch: | election results: percent of vote by party - UDP 56.3%, PUP 40.9%; seats by party - UDP 25, PUP 6 |
| Judicial branch: | Summary Jurisdiction Courts (criminal) and District Courts (civil jurisdiction); Supreme Court (the chief justice is appointed by the governor general on the advice of the prime minister); Court of Appeal; Privy Council in the UK; member of the Caribbean Court of Justice (CCJ) |
| Political parties and leaders: | National Alliance for Belizean Rights or NABR; National Reform Party or NRP [Cornelius DUECK]; People's National Party or PNP [Wil MAHEIA]; People's United Party or PUP [John BRICENO]; United Democratic Party or UDP [Dean BARROW]; Vision Inspired by the People or VIP [Paul MORGAN]; We the People Reform Movement or WTP [Hipolito BAUTISTA] |
| Political pressure groups and leaders: | Society for the Promotion of Education and Research or SPEAR [Nicole HAYLOCK]; Association of Concerned Belizeans or ACB [David VASQUEZ]; National Trade Union Congress of Belize or NTUC/B [Rene GOMEZ] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, ITUC, LAES, MIGA, NAM, OAS, OPANAL, OPCW, PCA, PetroCaribe, RG, SICA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Nestor MENDEZ |
| Diplomatic representation in the US: | chancery: 2535 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-9636 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6888 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Vinai THUMMALAPALLY |
| Diplomatic representation from the US: | embassy: Floral Park Road, Belmopan City, Cayo District |
| Diplomatic representation from the US: | mailing address: P.O. Box 497, Belmopan City, Cayo District, Belize |
| Diplomatic representation from the US: | telephone: [501] 822-4011 |
| Diplomatic representation from the US: | FAX: [501] 822-4012 |
| Flag description: | blue with a narrow red stripe along the top and the bottom edges; centered is a large white disk bearing the coat of arms; the coat of arms features a shield flanked by two workers in front of a mahogany tree with the related motto SUB UMBRA FLOREO (I Flourish in the Shade) on a scroll at the bottom, all encircled by a green garland of 50 mahogany leaves; the colors are those of the two main political parties: blue for the PUP and red for the UDP; various elements of the coat of arms - the figures, the tools, the mahogany tree, and the garland of leaves - recall the logging industry that led to British settlement of Belize |
| Flag description: | note: Belize's flag is the only national flag that depicts human beings; two British overseas territories, Montserrat and the British Virgin Islands, also depict humans |
| National anthem: | name: "Land of the Free" |
| National anthem: | lyrics/music: Samuel Alfred HAYNES/Selwyn Walford YOUNG |
| National anthem: | note: adopted 1981; as a Commonwealth country, in addition to the national anthem, "God Save the Queen" serves as the royal anthem (see United Kingdom) |
