| Government | Algeria |
| --- | --- |
| Country name: | conventional long form: People's Democratic Republic of Algeria |
| Country name: | conventional short form: Algeria |
| Country name: | local short form: Al Jaza'ir |
| Country name: | local long form: Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Sha'biyah |
| Government type: | republic |
| Capital: | Algiers |
| Administrative divisions: | 48 provinces (wilayas, singular - wilaya); Adrar, Ain Defla, Ain Temouchent, Alger, Annaba, Batna, Bechar, Bejaia, Biskra, Blida, Bordj Bou Arreridj, Bouira, Boumerdes, Chlef, Constantine, Djelfa, El Bayadh, El Oued, El Tarf, Ghardaia, Guelma, Illizi, Jijel, Khenchela, Laghouat, Mascara, Medea, Mila, Mostaganem, M'Sila, Naama, Oran, Ouargla, Oum el Bouaghi, Relizane, Saida, Setif, Sidi Bel Abbes, Skikda, Souk Ahras, Tamanghasset, Tebessa, Tiaret, Tindouf, Tipaza, Tissemsilt, Tizi Ouzou, Tlemcen |
| Independence: | 5 July 1962 (from France) |
| National holiday: | Revolution Day, 1 November (1954) |
| Constitution: | 19 November 1976, effective 22 November 1976; revised 3 November 1988, 23 February 1989, and 28 November 1996 |
| Legal system: | socialist, based on French and Islamic law; judicial review of legislative acts in ad hoc Constitutional Council composed of various public officials, including several Supreme Court justices; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdelaziz BOUTEFLIKA (since 28 April 1999) |
| Executive branch: | head of government: Prime Minister Ahmed OUYAHIA (since 9 May 2003) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 15 April 1999 (next to be held NA April 2004); prime minister appointed by the president |
| Executive branch: | election results: Abdelaziz BOUTEFLIKA elected president; percent of vote - Abdelaziz BOUTEFLIKA over 70%; note - his six opposing candidates withdrew on the eve of the election citing electoral fraud |
| Legislative branch: | bicameral Parliament consists of the National People's Assembly or Al-Majlis Ech-Chaabi Al-Watani (389 seats - changed from 380 seats in the 2002 elections; members elected by popular vote to serve five-year terms) and the Council of Nations (144 seats; one-third of the members appointed by the president, two-thirds elected by indirect vote; members serve six-year terms; the constitution requires half the council to be renewed every three years) |
| Legislative branch: | elections: National People's Assembly - last held 30 May 2002 (next to be held NA 2007); Council of Nations - last held 30 December 2000 (next to be held NA 2003) |
| Legislative branch: | election results: National People's Assembly - percent of vote by party - NA%; seats by party - FLN 199, RND 48, MRN 43, MSP 38, PT 21, FNA 8, Nahda 1, PRA 1, MEN 1, independents 29; Council of Nations - percent of vote by party - NA%; seats by party - RND 79, FLN 12, FFS 4, MSP 1 (remaining 48 seats appointed by the president, party breakdown NA) |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Algerian National Front or FNA [Moussa TOUATI]; Democratic National Rally or RND [Ahmed OUYAHIA, chairman]; Islamic Salvation Front or FIS (outlawed April 1992) [Ali BELHADJ and Dr. Abassi MADANI, Rabeh KEBIR (self-exile in Germany)]; Society of Peace Movement or MSP [Boujerra SOLTANI]; National Entente Movement or MEN [Ali BOUKHAZNA]; National Liberation Front or FLN [Ali BENFLIS, secretary general]; National Reform Movement or MRN [Abdellah DJABALLAH]; National Renewal Party or PRA [leader NA]; Progressive Republican Party [Khadir DRISS]; Rally for Culture and Democracy or RCD [Said SAADI, secretary general]; Renaissance Movement or EnNahda Movement [Lahbib ADAMI]; Social Liberal Party or PSL [Ahmed KHELIL]; Socialist Forces Front or FFS [Hocine Ait AHMED, secretary general (self-exile in Switzerland)]; Union for Democracy and Liberty [Mouley BOUKHALAFA]; Workers Party or PT [Louisa HANOUN] |
| Political parties and leaders: | note: a law banning political parties based on religion was enacted in March 1997 |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB, AFESD, AL, AMF, AMU, ECA, FAO, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM, OAPEC, OAS (observer), OAU, OIC, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Idriss JAZAIRY |
| Diplomatic representation in the US: | chancery: 2137 Wyoming Ave NW, Washington, DC 20008 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2174 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-2800 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard W. ERDMAN (as of 10 July 2003) |
| Diplomatic representation from the US: | embassy: 4 Chemin Cheikh Bachir El-Ibrahimi, Algiers |
| Diplomatic representation from the US: | mailing address: B. P. Box 549, Alger-Gare, 16000 Algiers |
| Diplomatic representation from the US: | telephone: [213] (21) 691-425/255/186 |
| Diplomatic representation from the US: | FAX: [213] (21) 69-39-79 |
| Flag description: | two equal vertical bands of green (hoist side) and white; a red, five-pointed star within a red crescent centered over the two-color boundary; the crescent, star, and color green are traditional symbols of Islam (the state religion) |
