| Government | Algeria |
| --- | --- |
| Country name: | conventional long form: People's Democratic Republic of Algeria |
| Country name: | conventional short form: Algeria |
| Country name: | local long form: Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Sha'biyah |
| Country name: | local short form: Al Jaza'ir |
| Government type: | republic |
| Capital: | name: Algiers |
| Capital: | geographic coordinates: 36 45 N, 3 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 48 provinces (wilayat, singular - wilaya); Adrar, Ain Defla, Ain Temouchent, Alger, Annaba, Batna, Bechar, Bejaia, Biskra, Blida, Bordj Bou Arreridj, Bouira, Boumerdes, Chlef, Constantine, Djelfa, El Bayadh, El Oued, El Tarf, Ghardaia, Guelma, Illizi, Jijel, Khenchela, Laghouat, Mascara, Medea, Mila, Mostaganem, M'Sila, Naama, Oran, Ouargla, Oum el Bouaghi, Relizane, Saida, Setif, Sidi Bel Abbes, Skikda, Souk Ahras, Tamanghasset, Tebessa, Tiaret, Tindouf, Tipaza, Tissemsilt, Tizi Ouzou, Tlemcen |
| Independence: | 5 July 1962 (from France) |
| National holiday: | Revolution Day, 1 November (1954) |
| Constitution: | 8 September 1963; revised 19 November 1976; effective 22 November 1976; revised 3 November 1988, 23 February 1989, 28 November 1996, 10 April 2002, and 12 November 2008 |
| Legal system: | mixed legal system of French civil law and Islamic law; judicial review of legislative acts in ad hoc Constitutional Council composed of various public officials including several Supreme Court justices |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdelaziz BOUTEFLIKA (since 28 April 1999); note - the president is both the chief of state and head of government; a November 2008 constitutional amendment separated the position of head of government from that of the prime minister |
| Executive branch: | head of government: President Abdelaziz BOUTEFLIKA (since 28 April 1999) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held on 9 April 2009 (next to be held in April 2014) |
| Executive branch: | election results: Abdelaziz BOUTEFLIKA reelected president for a third term; percent of vote - Abdelaziz BOUTEFLIKA 90.2%, Louisa HANOUNE 4.2%, Moussa TOUATI 2.3%, Djahid YOUNSI 1.4%, Ali Fawzi REBIANE less than 1%, Mohamed SAID less than 1% |
| Legislative branch: | bicameral Parliament consists of the Council of the Nation (upper house; 144 seats; one-third of the members appointed by the president, two-thirds elected by indirect vote to serve six-year terms; the constitution requires half the Council to be renewed every three years) and the National People's Assembly (lower house; 389 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Council of the Nation - last held on 29 December 2009 (next to be held in December 2012); National People's Assembly - last held on 17 May 2007 (next to be held in 2012) |
| Legislative branch: | election results: Council of the Nation - percent of vote by party - NA; seats by party - NA; National People's Assembly - percent of vote by party - NA; seats by party - FLN 136, RND 61, MSP 52, PT 26, RCD 19, FNA 13, other 49, independents 33; |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Ahd 54 [Ali Fauzi REBAINE]; Algerian National Front or FNA [Moussa TOUATI]; Movement of the Society of Peace or MSP [Boudjerra SOLTANI]; National Democratic Rally (Rassemblement National Democratique) or RND [Ahmed OUYAHIA]; National Liberation Front or FLN [Abdelaziz BELKHADEM, secretary general]; National Reform Movement or Islah [Ahmed ABDESLAM] (formerly MRN); Rally for Culture and Democracy or RCD [Said SADI]; Renaissance Movement or EnNahda Movement [Fatah RABEI]; Socialist Forces Front or FFS [Hocine AIT AHMED]; Workers Party or PT [Louisa HANOUNE] |
| Political parties and leaders: | note: a law banning political parties based on religion was enacted in March 1997 |
