| Government |
| --- | --- |
| Country name: | conventional long form: Russian Federation |
| Country name: | conventional short form: Russia |
| Country name: | local long form: Rossiyskaya Federatsiya |
| Country name: | local short form: Rossiya |
| Country name: | former: Russian Empire, Russian Soviet Federative Socialist Republic |
| Government type: | federation |
| Capital: | Moscow |
| Administrative divisions: | 49 oblasts (oblastey, singular - oblast), 21 republics* (respublik, singular - respublika), 10 autonomous okrugs**(avtonomnykh okrugov, singular - avtonomnyy okrug), 6 krays*** (krayev, singular - kray), 2 federal cities (singular - gorod)****, and 1 autonomous oblast*****(avtonomnaya oblast'); Adygeya (Maykop)*, Aginskiy Buryatskiy (Aginskoye)**, Altay (Gorno-Altaysk)*, Altayskiy (Barnaul)***, Amurskaya (Blagoveshchensk), Arkhangel'skaya, Astrakhanskaya, Bashkortostan (Ufa)*, Belgorodskaya, Bryanskaya, Buryatiya (Ulan-Ude)*, Chechnya (Groznyy)*, Chelyabinskaya, Chitinskaya, Chukotskiy (Anadyr')**, Chuvashiya (Cheboksary)*, Dagestan (Makhachkala)*, Evenkiyskiy (Tura)**, Ingushetiya (Nazran')*, Irkutskaya, Ivanovskaya, Kabardino-Balkariya (Nal'chik)*, Kaliningradskaya, Kalmykiya (Elista)*, Kaluzhskaya, Kamchatskaya (Petropavlovsk-Kamchatskiy), Karachayevo-Cherkesiya (Cherkessk)*, Kareliya (Petrozavodsk)*, Kemerovskaya, Khabarovskiy***, Khakasiya (Abakan)*, Khanty-Mansiyskiy (Khanty-Mansiysk)**, Kirovskaya, Komi (Syktyvkar)*, Koryakskiy (Palana)**, Kostromskaya, Krasnodarskiy***, Krasnoyarskiy***, Kurganskaya, Kurskaya, Leningradskaya, Lipetskaya, Magadanskaya, Mariy-El (Yoshkar-Ola)*, Mordoviya (Saransk)*, Moskovskaya, Moskva (Moscow)****, Murmanskaya, Nenetskiy (Nar'yan-Mar)**, Nizhegorodskaya, Novgorodskaya, Novosibirskaya, Omskaya, Orenburgskaya, Orlovskaya (Orel), Penzenskaya, Permskaya, Komi-Permyatskiy (Kudymkar)**, Primorskiy (Vladivostok)***, Pskovskaya, Rostovskaya, Ryazanskaya, Sakha (Yakutsk)*, Sakhalinskaya (Yuzhno-Sakhalinsk), Samarskaya, Sankt-Peterburg (Saint Petersburg)****, Saratovskaya, Severnaya Osetiya-Alaniya [North Ossetia] (Vladikavkaz)*, Smolenskaya, Stavropol'skiy***, Sverdlovskaya (Yekaterinburg), Tambovskaya, Tatarstan (Kazan')*, Taymyrskiy (Dudinka)**, Tomskaya, Tul'skaya, Tverskaya, Tyumenskaya, Tyva (Kyzyl)*, Udmurtiya (Izhevsk)*, Ul'yanovskaya, Ust'-Ordynskiy Buryatskiy (Ust'-Ordynskiy)**, Vladimirskaya, Volgogradskaya, Vologodskaya, Voronezhskaya, Yamalo-Nenetskiy (Salekhard)**, Yaroslavskaya, Yevreyskaya*****; note - when using a place name with an adjectival ending 'skaya' or 'skiy,' the word Oblast' or Avonomnyy Okrug or Kray should be added to the place name |
| Administrative divisions: | note: the autonomous republics of Chechnya and Ingushetiya were formerly the autonomous republic of Checheno-Ingushetia (the boundary between Chechnya and Ingushetia has yet to be determined); administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
