| Government | RUSSIA |
| --- | --- |
| Country name: | conventional long form: Russian Federation |
| Country name: | conventional short form: Russia |
| Country name: | local long form: Rossiyskaya Federatsiya |
| Country name: | local short form: Rossiya |
| Country name: | former: Russian Empire, Russian Soviet Federative Socialist Republic |
| Country name: | etymology: Russian lands were generally referred to as Muscovy until PETER I officially declared the Russian Empire in 1721; the new name sought to invoke the patrimony of the medieval eastern European Rus state centered on Kyiv in present-day Ukraine; the Rus were a Varangian (eastern Viking) elite that imposed their rule and eventually their name on their Slavic subjects |
| Government type: | semi-presidential federation |
| Capital: | name: Moscow |
| Capital: | geographic coordinates: 55 45 N, 37 36 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: Russia has 11 time zones, the largest number of contiguous time zones of any country in the world; in 2014, two time zones were added and DST was dropped |
| Administrative divisions: | 46 provinces (oblastey, singular - oblast), 21 republics (respublik, singular - respublika), 4 autonomous okrugs (avtonomnykh okrugov, singular - avtonomnyy okrug), 9 krays (krayev, singular - kray), 2 federal cities (goroda, singular - gorod), and 1 autonomous oblast (avtonomnaya oblast') |
| Administrative divisions: | oblasts: Amur (Blagoveshchensk), Arkhangel'sk, Astrakhan', Belgorod, Bryansk, Chelyabinsk, Irkutsk, Ivanovo, Kaliningrad, Kaluga, Kemerovo, Kirov, Kostroma, Kurgan, Kursk, Leningrad, Lipetsk, Magadan, Moscow, Murmansk, Nizhniy Novgorod, Novgorod, Novosibirsk, Omsk, Orenburg, Orel, Penza, Pskov, Rostov, Ryazan', Sakhalin (Yuzhno-Sakhalinsk), Samara, Saratov, Smolensk, Sverdlovsk (Yekaterinburg), Tambov, Tomsk, Tula, Tver', Tyumen', Ul'yanovsk, Vladimir, Volgograd, Vologda, Voronezh, Yaroslavl' |
