| Government | Ukraine |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ukraine |
| Country name: | local long form: none |
| Country name: | local short form: Ukrayina |
| Country name: | former: Ukrainian National Republic, Ukrainian State, Ukrainian Soviet Socialist Republic |
| Country name: | etymology: name derives from the Old East Slavic word "ukraina" meaning "borderland or march (militarized border region)" and began to be used extensively in the 19th century; originally Ukrainians referred to themselves as Rusyny (Rusyns, Ruthenians, or Ruthenes), an endonym derived from the medieval Rus state (Kyivan Rus) |
| Government type: | semi-presidential republic |
| Capital: | name: Kyiv (Kiev) |
| Capital: | geographic coordinates: 50 26 N, |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: pronounced KAY-yiv |
| Capital: | 30 31 E |
| Administrative divisions: | 24 provinces (oblasti, singular - oblast'), 1 autonomous republic* (avtonomna respublika), and 2 municipalities** (mista, singular - misto) with oblast status; Cherkasy, Chernihiv, Chernivtsi, Crimea or Avtonomna Respublika Krym* (Simferopol'), Dnipropetrovs'k (Dnipro), Donets'k, Ivano-Frankivs'k, Kharkiv, Kherson, Khmel'nyts'kyy, Kirovohrad (Kropyvnyts'kyy), Kyiv**, Kyiv, Luhans'k, L'viv, Mykolayiv, Odesa, Poltava, Rivne, Sevastopol'**, Sumy, Ternopil', Vinnytsya, Volyn' (Luts'k), Zakarpattya (Uzhhorod), Zaporizhzhya, Zhytomyr |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses); plans include the eventual renaming of Dnipropetrovsk and Kirovohrad oblasts, but because these names are mentioned in the Constitution of Ukraine, the change will require a constitutional amendment |
| Administrative divisions: | note: the US Government does not recognize Russia's annexation of Ukraine's Autonomous Republic of Crimea and the municipality of Sevastopol, nor their redesignation as the "Republic of Crimea" and the "Federal City of Sevastopol" |
| Independence: | 24 August 1991 (from the Soviet Union); notable earlier dates: ca. 982 (VOLODYMYR I consolidates Kyivan Rus); 1199 (Principality (later Kingdom) of Ruthenia formed; 1648 (establishment of the Cossack Hetmanate) |
| National holiday: | Independence Day, 24 August (1991); note - 22 January 1918, the day Ukraine first declared its independence from Soviet Russia, and the date the short-lived Western and Greater (Eastern) Ukrainian republics united (1919), is now celebrated as Unity Day |
| Constitution: | history: several previous; latest adopted and ratified 28 June 1996 (2018) |
| Constitution: | amendments: proposed by the president of Ukraine or by at least one-third of the Supreme Council members; adoption requires simple majority vote by the Council and at least two-thirds majority vote in its next regular session; adoption of proposals relating to general constitutional principles, elections, and amendment procedures requires two-thirds majority vote by the Council and approval in a referendum; constitutional articles on personal rights and freedoms, national independence, and territorial integrity cannot be amended; amended 2004, 2010, 2015, latest in 2016 (2018) |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Ukraine |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court of Ukraine or SCU (consists of 113 judges, with the possibility of up to 200 and organized into civil, criminal, commercial and administrative chambers, and a grand chamber); Constitutional Court (consists of 18 justices) |
| Judicial branch: | judge selection and term of office: Supreme Court judges recommended by the High Qualification Commission of Judges of Ukraine (a 16-member state body responsible for judicial candidate testing and assessment, and judicial administration), proposed by the Supreme Council of JusticeÂ  (SCJ), a 21-member independent body of judicial officials and other appointees, and appointed by the president; judges serve until mandatory retirement at age 65; Constitutional Court justices appointed - 6 each by the president, by the SCU, and by the Verkhovna Rada; justices serve 9-year nonrenewable terms |
| Judicial branch: | subordinate courts: Courts of Appeal; district courts; note - specialized courts were abolished as part of Ukraine's judicial reform program |
| Judicial branch: | note: in 2014, President POROSHENKO initiated a national judicial reform program with the formation of the Judicial Reform Council; it produced a multi-year strategy for judicial reform that the president approved that same year |
| Executive branch: | chief of state: President Petro POROSHENKO (since 7 June 2014) |
| Executive branch: | head of government: Prime Minister Volodymyr HROYSMAN (since 14 April 2016); First Deputy Prime Minister Stepan KUBIV (since 14 April 2016) |
| Executive branch: | cabinet: Cabinet of Ministers nominated by the prime minister, approved by the Verkhovna Rada |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 25 May 2014 (next to be held on 31 March 2019); prime minister nominated by the president, confirmed by the Verkhovna Rada |
