| Government | Ukraine |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ukraine |
| Country name: | local long form: none |
| Country name: | former: Ukrainian National Republic, Ukrainian State, Ukrainian Soviet Socialist Republic |
| Country name: | local short form: Ukrayina |
| Government type: | republic |
| Capital: | Kiev (Kyyiv) |
| Administrative divisions: | 24 oblasti (singular - oblast'), 1 autonomous republic* (avtomnaya respublika), and 2 municipalities (mista, singular - misto) with oblast status**; Cherkas'ka (Cherkasy), Chernihivs'ka (Chernihiv), Chernivets'ka (Chernivtsi), Dnipropetrovs'ka (Dnipropetrovs'k), Donets'ka (Donets'k), Ivano-Frankivs'ka (Ivano-Frankivs'k), Kharkivs'ka (Kharkiv), Khersons'ka (Kherson), Khmel'nyts'ka (Khmel'nyts'kyy), Kirovohrads'ka (Kirovohrad), Kyyiv**, Kyyivs'ka (Kiev), Luhans'ka (Luhans'k), L'vivs'ka (L'viv), Mykolayivs'ka (Mykolayiv), Odes'ka (Odesa), Poltavs'ka (Poltava), Avtonomna Respublika Krym* (Simferopol'), Rivnens'ka (Rivne), Sevastopol'**, Sums'ka (Sumy), Ternopil's'ka (Ternopil'), Vinnyts'ka (Vinnytsya), Volyns'ka (Luts'k), Zakarpats'ka (Uzhhorod), Zaporiz'ka (Zaporizhzhya), Zhytomyrs'ka (Zhytomyr); note - when using a place name with an adjectival ending 's'ka' or 'z'ka,' the word Oblast' should be added to the place name |
| Administrative divisions: | note: oblasts have the administrative center name following in parentheses |
| Independence: | 24 August 1991 (from Soviet Union) |
| National holiday: | Independence Day, 24 August (1991) |
| Constitution: | adopted 28 June 1996 |
| Legal system: | based on civil law system; judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Leonid D. KUCHMA (since 19 July 1994) |
| Executive branch: | head of government: Prime Minister Viktor YANUKOVYCH (since 21 November 2002), First Deputy Prime Minister Oleh DUBYNA (since 29 May 2001) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president and approved by the Supreme Council |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 31 October and 14 November 1999 (next to be held NA 2004); prime minister and deputy prime ministers appointed by the president and approved by the Supreme Council |
| Executive branch: | election results: Leonid D. KUCHMA elected president; percent of vote - Leonid KUCHMA 57.7%, Petro SYMONENKO 38.8% |
| Executive branch: | note: there is also a National Security and Defense Council or NSDC originally created in 1992 as the National Security Council, but significantly revamped and strengthened under President KUCHMA; the NSDC staff is tasked with developing national security policy on domestic and international matters and advising the president; a Presidential Administration that helps draft presidential edicts and provides policy support to the president; and a Council of Regions that serves as an advisory body created by President KUCHMA in September 1994 that includes chairmen of the Kyyiv (Kiev) and Sevastopol' municipalities and chairmen of the oblasti |
| Legislative branch: | unicameral Supreme Council or Verkhovna Rada (450 seats; under Ukraine's new election law, 225 of the Supreme Council's seats are allocated on a proportional basis to those parties that gain 4% or more of the national electoral vote; the other 225 members are elected by popular vote in single-mandate constituencies; all serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - Our Ukraine 24%, CPU 20%, United Ukraine 12%, United Social Democratic Party 6%, SPU 7%, Yuliya Tymoshenko Bloc 7%, other 24%; seats by party - Our Ukraine 102, CPU 60, Regions of Ukraine 42, Working Ukraine-Industrialists and Entrepreneurs 41, United Social Democratic Party 39, Democratic Initiatives 22, SPU 20, People's Power 19, European Choice 18, Yuliya Tymoshenko Bloc 18, Agrarian Party 17, People's Democratic Party 16, People's Choice 15, others 21 |
| Legislative branch: | note: following the election, United Ukraine splintered into the Agrarian Party, European Choice, People's Choice, People's Democratic Party, Regions of Ukraine, and Working Ukraine-Industrialists and Entrepreneurs |
| Legislative branch: | elections: last held 31 March 2002 (next to be held NA 2006) |
| Judicial branch: | Supreme Court; Constitutional Court |
| Political parties and leaders: | Agrarian Party [Kateryna VASHCHUK]; Communist Party of Ukraine or CPU [Petro SYMONENKO]; Democratic Initiatives [Stepan HAVRYSH]; European Choice [Volodymyr Stasyuk]; Our Ukraine [Vikto YUSHCHENKO]; People's Choice [Mykola HAPOCHKA]; People's Democratic Party or PDP [Valeriy PUSTOVOYTENKO, chairman]; People's Power [Bohdan HUBSKYY]; Regions of Ukraine [Rayisa BOHATYRYOVA]; Socialist Party of Ukraine or SPU [Oleksandr MOROZ, chairman]; United Social Democratic Party [Leonid KRAVCHUK]; Working Ukraine-Industrialists and Entrepreneurs [Ihor SHAROV]; Yuliya Tymoshenko Bloc [Yuliya Tymoshenko] |
| Political parties and leaders: | note: and numerous smaller parties |
| Political pressure groups and leaders: | NA |
