| Government | Ukraine |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ukraine |
| Country name: | local long form: none |
| Country name: | local short form: Ukrayina |
| Country name: | former: Ukrainian National Republic, Ukrainian State, Ukrainian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Kyiv (Kiev) |
| Capital: | note: pronounced KAY-yiv |
| Capital: | geographic coordinates: 50 26 N, 30 31 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 24 provinces (oblasti, singular - oblast'), 1 autonomous republic* (avtonomna respublika), and 2 municipalities (mista, singular - misto) with oblast status**; Cherkasy, Chernihiv, Chernivtsi, Crimea or Avtonomna Respublika Krym* (Simferopol'), Dnipropetrovs'k, Donets'k, Ivano-Frankivs'k, Kharkiv, Kherson, Khmel'nyts'kyy, Kirovohrad, Kyiv**, Kyiv, Luhans'k, L'viv, Mykolayiv, Odesa, Poltava, Rivne, Sevastopol'**, Sumy, Ternopil', Vinnytsya, Volyn' (Luts'k), Zakarpattya (Uzhhorod), Zaporizhzhya, Zhytomyr |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 24 August 1991 (from the Soviet Union); notable earlier dates: ca. A.D. 982 (VOLODYMYR I consolidates Kyivan Rus), 1648 (establishment of Cossack Hetmanate) |
| National holiday: | Independence Day, 24 August (1991); note - 22 January 1918, the day Ukraine first declared its independence (from Soviet Russia) and the day the short-lived Western and Greater (Eastern) Ukrainian republics united (1919), is now celebrated as Unity Day |
| Constitution: | adopted 28 June 1996 |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Viktor YANUKOVYCH (since 25 February 2010) |
| Executive branch: | head of government: Prime Minister Mykola AZAROV (since 11 March 2010); First Deputy Prime Minister Andriy KLYUYEV (since 11 March 2010); Deputy Prime Ministers Borys KOLESNIKOV and Serhiy TIHIPKO (both since 11 March 2010) |
| Executive branch: | cabinet: Cabinet of Ministers nominated by the president and approved by the Rada |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | note: there is also a National Security and Defense Council or NSDC originally created in 1992 as the National Security Council; the NSDC staff is tasked with developing national security policy on domestic and international matters and advising the president; a Presidential Administration helps draft presidential edicts and provides policy support to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 17 January 2010 with runoff on 7 February 2010 (next to be held in 2015) |
| Executive branch: | election results: Viktor YANUKOVYCH elected president; percent of vote - Viktor YANUKOVYCH 48.95%, Yuliya TYMOSHENKO 45.5%, other 5.6% |
| Legislative branch: | unicameral Supreme Council or Verkhovna Rada (450 seats; members allocated on a proportional basis to those parties that gain 3% or more of the national electoral vote; members to serve five-year terms) |
| Legislative branch: | elections: last held on 30 September 2007 (next must be held in 2012 or sooner if a ruling coalition cannot be formed in the Rada) |
| Legislative branch: | election results: percent of vote by party/bloc - Party of Regions 34.4%, Block of Yuliya Tymoshenko 30.7%, Our Ukraine-People's Self Defense Bloc 14.2%, CPU 5.4%, Lytvyn Bloc 4%, other parties 11.3%; seats by party/bloc - Party of Regions 175, Block of Yuliya Tymoshenko 156, Our Ukraine-People's Self Defense 72, CPU 27, Lytvyn Bloc 20 |
| Judicial branch: | Supreme Court; Constitutional Court |
| Political parties and leaders: | Block of Yuliya Tymoshenko-Batkivshchyna (BYuT-Batkivshchyna) [Yuliya TYMOSHENKO]; Communist Party of Ukraine or CPU [Petro SYMONENKO]; European Party of Ukraine [Mykola KATERYNCHUK]; Forward Ukraine! [Viktor MUSIYAKA]; Front of Change [Arseniy YATSENYUK]; Lytvyn Bloc (composed of People's Party and Labor Party of Ukraine) [Volodymyr LYTVYN]; Our Ukraine [Viktor YUSHCHENKO]; Party of Industrialists and Entrepreneurs [Anatoliy KINAKH]; Party of Regions [Viktor YANUKOVYCH]; Party of the Defenders of the Fatherland [Yuriy KARMAZIN]; People's Movement of Ukraine (Rukh) [Borys TARASYUK]; People's Party [Volodymyr LYTVYN]; Peoples' Self-Defense [Yuriy LUTSENKO]; PORA! (It's Time!) party [Vladyslav KASKIV]; Progressive Socialist Party [Natalya VITRENKO]; Reforms and Order Party [Viktor PYNZENYK]; Sobor [Anatoliy MATVIYENKO]; Social Democratic Party [Yevhen KORNICHUK]; Social Democratic Party (United) or SDPU(o) [Yuriy ZAHORODNIY]; Socialist Party of Ukraine or SPU [Oleksandr MOROZ]; Strong Ukraine [SERHIY TIHIPKO]; Ukrainian People's Party [Yuriy KOSTENKO]; United Center [Viktor BALOHA]; Viche [Inna BOHOSLOVSKA] |
