| Government | Djibouti |
| --- | --- |
| Country name: | conventional long form: Republic of Djibouti |
| Country name: | conventional short form: Djibouti |
| Country name: | local long form: Republique de Djibouti/Jumhuriyat Jibuti |
| Country name: | local short form: Djibouti/Jibuti |
| Country name: | former: French Territory of the Afars and Issas, French Somaliland |
| Government type: | republic |
| Capital: | name: Djibouti |
| Capital: | geographic coordinates: 11 35 N, 43 09 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 districts (cercles, singular - cercle); Ali Sabieh, Arta, Dikhil, Djibouti, Obock, Tadjourah |
| Independence: | 27 June 1977 (from France) |
| National holiday: | Independence Day, 27 June (1977) |
| Constitution: | approved by referendum 4 September 1992; note - constitution allows for multiparties |
| Legal system: | based on French civil law system, traditional practices, and Islamic law; accepts ICJ compulsory jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ismail Omar GUELLEH (since 8 May 1999) |
| Executive branch: | head of government: Prime Minister Mohamed Dileita DILEITA (since 4 March 2001) |
| Executive branch: | cabinet: Council of Ministers responsible to the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term; president is eligible to hold office until age 75; election last held on 8 April 2005 (next to be held by April 2011); prime minister appointed by the president |
| Executive branch: | election results: Ismail Omar GUELLEH reelected president; percent of vote - Ismail Omar GUELLEH 100% |
| Legislative branch: | unicameral Chamber of Deputies or Chambre des Deputes (65 seats; members elected by popular vote to serve five-year terms); note - constitutional amendments in 2010 provided for the establishment of a senate |
| Legislative branch: | elections: last held on 8 February 2008 (next to be held in 2013) |
| Legislative branch: | election results: percent of vote by party - NA; seats - UMP (coalition of parties associated with President Ismail Omar GUELLAH) 65 |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Democratic National Party or PND [ADEN Robleh Awaleh]; Democratic Renewal Party or PRD [Abdillahi HAMARITEH]; Djibouti Development Party or PDD [Mohamed Daoud CHEHEM]; Front pour la Restauration de l'Unite Democratique or FRUD [Ali Mohamed DAOUD]; People's Progress Assembly or RPP [Ismail Omar GUELLEH] (governing party); Peoples Social Democratic Party or PPSD [Moumin Bahdon FARAH]; Republican Alliance for Democracy or ARD [Ahmed YOUSSOUF]; Union for a Presidential Majority or UMP [Mohamed Dileita DILEITA] (a coalition of parties including RPP, FRUD, PND, and PPSD); Union for Democracy and Justice or UDJ |
| Political pressure groups and leaders: | Union for Presidential Majority UMP (coalition includes RPP, FRUD, PPSD and PND); Union for Democratic Changeover or UAD (opposition coalition includes ARD, MRDD, and UDJ) |
| International organization participation: | ACP, AfDB, AFESD, AMF, AU, COMESA, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IPU, ITU, ITUC, LAS, MIGA, MINURSO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Roble OLHAYE Oudine |
| Diplomatic representation in the US: | chancery: Suite 515, 1156 15th Street NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-0270 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-0302 |
| Diplomatic representation from the US: | chief of mission: Ambassador James C. SWAN |
| Diplomatic representation from the US: | embassy: Plateau du Serpent, Boulevard Marechal Joffre, Djibouti |
| Diplomatic representation from the US: | mailing address: B. P. 185, Djibouti |
| Diplomatic representation from the US: | telephone: [253] 35 39 95 |
| Diplomatic representation from the US: | FAX: [253] 35 39 40 |
| Flag description: | two equal horizontal bands of light blue (top) and light green with a white isosceles triangle based on the hoist side bearing a red five-pointed star in the center; blue stands for sea and sky and the Issa Somali people; green symbolizes earth and the Afar people; white represents peace; the red star recalls the struggle for independence and stands for unity |
| National anthem: | name: "Jabuuti" (Djibouti) |
| National anthem: | lyrics/music: Aden ELMI/Abdi ROBLEH |
| National anthem: | note: adopted 1977 |
