| Government | TIMOR-LESTE |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Timor-Leste |
| Country name: | conventional short form: Timor-Leste |
| Country name: | note: pronounced TEE-mor LESS-tay |
| Country name: | local long form: Republika Demokratika Timor Lorosa'e [Tetum]; Republica Democratica de Timor-Leste [Portuguese] |
| Country name: | local short form: Timor Lorosa'e [Tetum]; Timor-Leste [Portuguese] |
| Country name: | former: East Timor, Portuguese Timor |
| Country name: | etymology: "timor" derives from the Indonesian and Malay word "timur" meaning "east"; "leste" is the Portuguese word for "east", so "Timor-Leste" literally means "Eastern-East"; the local [Tetum] name "Timor Lorosa'e" translates as "East Rising Sun" |
| Government type: | semi-presidential republic |
| Capital: | name: Dili |
| Capital: | geographic coordinates: 8 35 S, 125 36 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 administrative districts; Aileu, Ainaro, Baucau, Bobonaro (Maliana), Cova-Lima (Suai), Dili, Ermera (Gleno), Lautem (Los Palos), Liquica, Manatuto, Manufahi (Same), Oecussi (Ambeno), Viqueque |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 20 May 2002 (from Indonesia); note - 28 November 1975 was the date independence was proclaimed from Portugal; 20 May 2002 was the date of international recognition of Timor-Leste's independence from Indonesia |
| National holiday: | Restoration of Independence Day, 20 May (2002); Proclamation of Independence Day, 28 November (1975) |
| Constitution: | drafted 2001, approved 22 March 2002, entered into force 20 May 2002 (2016) |
| Legal system: | civil law system based on the Portuguese model; note - penal and civil law codes to replace the Indonesian codes were passed by Parliament and promulgated in 2009 and 2011, respectively |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Timor-Leste |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Taur Matan RUAK, aka Jose Maria de VASCONCELOS (since 20 May 2012); note - the president plays a largely symbolic role but is the commander in chief of the military and is able to veto legislation, dissolve parliament, and call national elections |
| Executive branch: | head of government: Prime Minister Kay Rala Xanana GUSMAO - formerly Jose Alexandre GUSMAO (since 8 August 2007); Vice Prime Minister Fernando "Lasama" de ARAUJO (since 8 August 2012) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister and appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 17 March 2012 with a runoff on 16 April 2012; following parliamentary elections, the president appoints the leader of the majority party or majority coalition as the prime minister |
