| Government | Bahrain |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bahrain |
| Country name: | conventional short form: Bahrain |
| Country name: | local long form: Mamlakat al Bahrayn |
| Country name: | local short form: Al Bahrayn |
| Country name: | former: Dilmun |
| Government type: | constitutional monarchy |
| Capital: | name: Manama |
| Capital: | geographic coordinates: 26 14 N, 50 34 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 governorates; Asamah, Janubiyah, Muharraq, Shamaliyah, Wasat |
| Administrative divisions: | note: each governorate administered by an appointed governor |
| Independence: | 15 August 1971 (from the UK) |
| National holiday: | National Day, 16 December (1971); note - 15 August 1971 was the date of independence from the UK, 16 December 1971 was the date of independence from British protection |
| Constitution: | adopted 14 February 2002 |
| Legal system: | based on Islamic law and English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: King HAMAD bin Isa Al-Khalifa (since 6 March 1999); Heir Apparent Crown Prince SALMAN bin Hamad (son of the monarch, born 21 October 1969) |
| Executive branch: | head of government: Prime Minister KHALIFA bin Salman Al-Khalifa (since 1971); Deputy Prime Ministers ALI bin Khalifa bin Salman Al-Khalifa, MUHAMMAD bin Mubarak Al-Khalifa, Jawad al-ARAIDH |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections: the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral legislature consists of the Consultative Council (40 members appointed by the King) and the Council of Representatives or Chamber of Deputies (40 seats; members directly elected to serve four-year terms) |
| Legislative branch: | elections: Council of Representatives - last held November-December 2006 (next election to be held in 2010) |
| Legislative branch: | election results: Council of Representatives - percent of vote by society - NA; seats by society - al Wifaq (Shia) 17, al Asala (Sunni Salafi) 5, al Minbar (Sunni Muslim Brotherhood) 7, independents 11; note - seats by society as of February 2007 - al Wifaq 17, al Asala 8, al Minbar 7, al Mustaqbal (Moderate Sunni pro-government) 4, unassociated independents (all Sunni) 3, independent affiliated with al Wifaq (Sunni oppositionist) 1 |
| Judicial branch: | High Civil Appeals Court |
| Political parties and leaders: | political parties prohibited but political societies were legalized per a July 2005 law |
| Political pressure groups and leaders: | Shia activists; Sunni Islamist legislators |
| Political pressure groups and leaders: | other: several small leftist and other groups are active |
| International organization participation: | ABEDA, AFESD, AMF, FAO, G-77, GCC, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, NAM, OAPEC, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Houda Ibrahim Ezra NUNU |
| Diplomatic representation in the US: | chancery: 3502 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-1111 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-2192 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador J. Adam ERELI |
| Diplomatic representation from the US: | embassy: Building #979, Road 3119 (next to Al-Ahli Sports Club), Block 331, Zinj District, Manama |
| Diplomatic representation from the US: | mailing address: PSC 451, Box 660, FPO AE 09834-5100; international mail: American Embassy, Box 26431, Manama |
| Diplomatic representation from the US: | telephone: [973] 1724-2700 |
| Diplomatic representation from the US: | FAX: [973] 1727-0547 |
| Flag description: | red, the traditional color for flags of Persian Gulf states, with a white serrated band (five white points) on the hoist side; the five points represent the five pillars of Islam |
