| Government | Bahrain |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bahrain |
| Country name: | conventional short form: Bahrain |
| Country name: | local long form: Mamlakat al Bahrayn |
| Country name: | local short form: Al Bahrayn |
| Country name: | former: Dilmun, State of Bahrain |
| Government type: | constitutional monarchy |
| Capital: | name: Manama |
| Capital: | geographic coordinates: 26 14 N, 50 34 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 governorates; Asamah, Janubiyah, Muharraq, Shamaliyah, Wasat |
| Administrative divisions: | note: each governorate administered by an appointed governor |
| Independence: | 15 August 1971 (from the UK) |
| National holiday: | National Day, 16 December (1971); note - 15 August 1971 was the date of independence from the UK, 16 December 1971 was the date of independence from British protection |
| Constitution: | adopted 14 February 2002 |
| Legal system: | mixed legal system of Islamic law and English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 20 years of age; universal; note - Bahraini Cabinet in May 2011 endorsed a draft law lowering eligibility to 18 years |
| Executive branch: | chief of state: King HAMAD bin Isa Al-Khalifa (since 6 March 1999); Heir Apparent Crown Prince SALMAN bin Hamad Al-Khalifa (son of the monarch, born 21 October 1969) |
| Executive branch: | head of government: Prime Minister KHALIFA bin Salman Al-Khalifa (since 1971); Deputy Prime Ministers ALI bin Khalifa bin Salman Al-Khalifa, MUHAMMAD bin Mubarak Al-Khalifa, Jawad bin Salim al-ARAIDH |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral legislature consists of the Consultative Council (40 members appointed by the King) and the Council of Representatives or Chamber of Deputies (40 seats; members directly elected to serve four-year terms) |
| Legislative branch: | elections: Council of Representatives - last held in two rounds on 23 and 30 October 2010 (next election to be held in 2014) |
| Legislative branch: | election results: Council of Representatives - percent of vote by society - NA; seats by society - Wifaq (Shia) 18, Asala (Sunni Salafi) 3, Minbar (Sunni Muslim Brotherhood) 2, independents 17 |
| Judicial branch: | High Civil Appeals Court |
| Political parties and leaders: | political parties prohibited but political societies were legalized per a July 2005 law |
| Political pressure groups and leaders: | Shia activists; Sunni Islamist legislators |
| Political pressure groups and leaders: | other: several small leftist and other groups are active |
| International organization participation: | ABEDA, AFESD, AMF, CICA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, NAM, OAPEC, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Huda Azra Ibrahim NUNU |
| Diplomatic representation in the US: | chancery: 3502 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-1111 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-2192 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas C. KRAJESKI |
| Diplomatic representation from the US: | embassy: Building #979, Road 3119 (next to Al-Ahli Sports Club), Block 331, Zinj District, Manama |
| Diplomatic representation from the US: | mailing address: PSC 451, Box 660, FPO AE 09834-5100; international mail: American Embassy, Box 26431, Manama |
| Diplomatic representation from the US: | telephone: [973] 1724-2700 |
| Diplomatic representation from the US: | FAX: [973] 1727-0547 |
| Flag description: | red, the traditional color for flags of Persian Gulf states, with a white serrated band (five white points) on the hoist side; the five points represent the five pillars of Islam |
| Flag description: | note: until 2002 the flag had eight white points, but this was reduced to five to avoid confusion with the Qatari flag |
| National anthem: | name: "Bahrainona" (Our Bahrain) |
| National anthem: | lyrics/music: unknown |
| National anthem: | note: adopted 1971; although Mohamed Sudqi AYYASH wrote the original lyrics, they were changed in 2002 following the transformation of Bahrain from an emirate to a kingdom |
