| Government | Bahrain |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bahrain |
| Country name: | conventional short form: Bahrain |
| Country name: | local long form: Mamlakat al Bahrayn |
| Country name: | local short form: Al Bahrayn |
| Country name: | former: Dilmun, Tylos, Awal, Mishmahig, Bahrayn, State of Bahrain |
| Country name: | etymology: the name means "the two seas" in Arabic and refers to the water bodies surrounding the archipelago |
| Government type: | constitutional monarchy |
| Capital: | name: Manama |
| Capital: | geographic coordinates: 26 14 N, 50 34 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: name derives from the Arabic "al-manama" meaning "place of rest" or "place of dreams" |
| Administrative divisions: | 4 governorates (muhafazat, singular - muhafazah); Asimah (Capital), Janubiyah (Southern), Muharraq, Shamaliyah (Northern) |
| Administrative divisions: | note: each governorate administered by an appointed governor |
| Independence: | 15 August 1971 (from the UK) |
| National holiday: | National Day, 16 December (1971); note - 15 August 1971 was the date of independence from the UK, 16 December 1971 was the date of independence from British protection |
| Constitution: | history: adopted 14 February 2002 (2017) |
| Constitution: | amendments: proposed by the king or by at least 15 members of either chamber of the National Assembly followed by submission to an Assembly committee for review and, if approved, submitted to the government for restatement as drafts; passage requires a two-thirds majority vote by the membership of both chambers and validation by the king; constitutional articles on the state religion (Islam), state language (Arabic), and the monarchy and "inherited rule" cannot be amended; amended 2012, 2017 (2017) |
| Legal system: | mixed legal system of Islamic law, English common law, Egyptian civil, criminal, and commercial codes; customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Bahrain |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 25 years; 15 years for Arab nationals |
| Suffrage: | 20 years of age; universal |
| Judicial branch: | highest courts: Court of Cassation or Supreme Court of Appeal (consists of the chairman and 3 judges); Constitutional Court (consists of the president and 6 members); High Sharia Court of Appeal (court sittings include the president and at least one judge); appeals beyond the High Sharia Court of Appeal are heard by the Supreme Court of Appeal |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by royal decree and serve for a specified tenure; Constitutional Court president and members appointed by the Higher Judicial Council, a body chaired by the monarch and includes judges from the Court of Cassation, sharia law courts, and Civil High Courts of Appeal; members serve 9-year terms; High Sharia Court of Appeal member appointment and tenure NA |
| Judicial branch: | subordinate courts: Civil High Courts of Appeal; middle and lower civil courts; High Sharia Court of Appeal; Senior Sharia Court; Administrative Courts of Appeal; military courts |
| Judicial branch: | note: the judiciary of Bahrain is divided into civil law courts and sharia law courts; sharia courts(involving personal status and family law) are further divided into Sunni Muslim and Shia Muslim |
| Executive branch: | chief of state: King HAMAD bin Isa Al-Khalifa (since 6 March 1999); Crown Prince SALMAN bin Hamad Al-Khalifa (son of the monarch, born 21 October 1969) |
| Executive branch: | head of government: Prime Minister KHALIFA bin Salman Al-Khalifa (since 1971); First Deputy Prime Minister SALMAN bin Hamad Al Khalifa (since 11 March 2013); Deputy Prime Ministers MUHAMMAD bin Mubarak Al-Khalifa (since September 2005), Jawad bin Salim al-ARAIDH, ALI bin Khalifa bin Salman Al-Khalifa (since 11 December 2006), KHALID bin Abdallah Al Khalifa (since November 2010) |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | description: bicameral National Assembly consists of: |
| Legislative branch: | Consultative Council or Majlis al Shura (40 seats; members appointed by the king) |
| Legislative branch: | Council of Representatives or Majlis al Nuwab (40 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 4-year renewable terms) |
| Legislative branch: | elections: |
| Legislative branch: | Consultative Council - last appointments on 7 December 2014 (next NA) |
| Legislative branch: | Council of Representatives - first round for 9 members held on 24 November 2018; second round for remaining 31 members held on 1 December 2018Â (next to be held in 2022) |
| Legislative branch: | election results: |
| Legislative branch: | Consultative Council - composition - men 31, women 9, percent of women 22.5% |
| Legislative branch: | Council of Representatives (for 2014 election) Â - percent of vote by society (Bahrain has societies rather than parties)Â - NA; seats by society - Islamic Al-Asalah (Sunni Salafi) 2, National Islamic Minbar (Sunni Muslim Brotherhood) 1, independent 37; composition - men 37, women 3, percent of women 7.5%; note - total National Assembly percent of women 15% |
| Political parties and leaders: | note: political parties are prohibited, but political societies were legalized under a July 2005 law |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CICA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, NAM, OAPEC, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Abdulla bin Rashid AL KHALIFA (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 3502 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-1111 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-2192 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Justin H. SIBERELL (since November 2017) |
| Diplomatic representation from the US: | embassy: Building #979, Road 3119 (next to Al-Ahli Sports Club), Block 331, Zinj District, Manama |
| Diplomatic representation from the US: | mailing address: PSC 451, Box 660, FPO AE 09834-5100; international mail: American Embassy, Box 26431, Manama |
| Diplomatic representation from the US: | telephone: [973] 1724-2700 |
| Diplomatic representation from the US: | FAX: [973] 1727-2594 |
| Flag description: | red, the traditional color for flags of Persian Gulf states, with a white serrated band (five white points) on the hoist side; the five points represent the five pillars of Islam |
| Flag description: | note: until 2002, the flag had eight white points, but this was reduced to five to avoid confusion with the Qatari flag |
| National symbol(s): | a red field surmounted by a white serrated band with five white points; national colors: red, white |
| National anthem: | name: "Bahrainona" (Our Bahrain) |
| National anthem: | lyrics/music: unknown |
| National anthem: | note: adopted 1971; although Mohamed Sudqi AYYASH wrote the original lyrics, they were changed in 2002 following the transformation of Bahrain from an emirate to a kingdom |
