| Government | Jordan |
| --- | --- |
| Country name: | conventional long form: Hashemite Kingdom of Jordan |
| Country name: | conventional short form: Jordan |
| Country name: | local short form: Al Urdun |
| Country name: | local long form: Al Mamlakah al Urduniyah al Hashimiyah |
| Country name: | former: Transjordan |
| Government type: | constitutional monarchy |
| Capital: | 'Amman |
| Administrative divisions: | 12 governorates (muhafazat, singular - muhafazah); Ajlun, Al 'Aqabah, Al Balqa', Al Karak, Al Mafraq, 'Amman, At Tafilah, Az Zarqa', Irbid, Jarash, Ma'an, Madaba |
| Independence: | 25 May 1946 (from League of Nations mandate under British administration) |
| National holiday: | Independence Day, 25 May (1946) |
| Constitution: | 8 January 1952 |
| Legal system: | based on Islamic law and French codes; judicial review of legislative acts in a specially provided High Tribunal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King ABDALLAH II (since 7 February 1999); Prince HUSSEIN (born 1994), son of King ABDALLAH, is first in line to inherit the throne |
| Executive branch: | head of government: Prime Minister Faisal al-FAYEZ (since 25 October 2003) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister in consultation with the monarch |
| Executive branch: | elections: none; the monarch is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral National Assembly or Majlis al-'Umma consists of the Senate, also called the House of Notables (Majlis al-Ayan) (55 seats; members appointed by the monarch from designated categories of public figures; members serve four-year terms) and the House of Representatives, also called the House of Deputies (Majlis al-Nuwaab) (110 seats; members elected by popular vote on the basis of proportional representation to serve four-year terms; note - six seats are reserved for women and are allocated by a special electoral panel if no women are elected) |
| Legislative branch: | elections: House of Representatives - last held 17 June 2003 (next to be held NA 2007) |
| Legislative branch: | note: the House of Representatives has been convened and dissolved by the monarch several times since 1974; in November 1989, the first parliamentary elections in 22 years were held; political parties were not legalized until 1992; King ABDALLAH delayed the 2001 elections until 2003 |
| Legislative branch: | election results: House of Representatives - percent of vote by party - independents and others 89.6%, Islamic Action Front 10.4%; seats by party - independents and others 92, Islamic Action Front 18; note - one of the six quota seats was given to a female IAF candidate |
| Judicial branch: | Court of Cassation; Supreme Court (court of final appeal) |
| Political parties and leaders: | Al-Ahed Party [Khaldoun al-NASSER, secretary general]; Al-Ajyal [Muhammad KHALAYLEH, secretary general]; Ba'th Arab Progressive Party [Mahmood MA'AYTEH, secretary general]; Al-Umma (Nation) Party [Ahmad al-HANANDEH, secretary general]; Arab Land Party [Dr. Muhammad al-'ORAN, secretary general]; Communist Party [Munir HAMARINAH, secretary general]; Constitutional Front [Mahdi al-TALL, secretary general]; Democratic Arab Islamic Movement [Yusuf ABU BAKR, president]; Green Party [Muhammad BATAYNEH, secretary general]; Jordanian Democratic Left Party [Musa MA'AYTEH, secretary] general; Jordanian Democratic Popular Unity Party [Sa'id Dhiyab Ali MUSTAFA, secretary general]; Jordanian Progressive Party [Fawwaz al-ZUBI, secretary general]; Jordanian People's Democratic (Hashd) Party [Salim al-NAHHAS, secretary general]; Islamic Action Front [Hazma MANSOUR, secretary general]; Muslim Centrist Party [NA leader]; National Action (Haqq) Party [Muhammad al-ZUBI, secretary general]; National Constitutional Party [Abdul Hadi MAJALI, secretary general]; (Arab) Socialist Ba'th Party [Taysir al-HIMSI, secretary general]; Pan-Arab (Democratic) Movement [Mahmud al-NUWAYHI, secretary general] |
| Political pressure groups and leaders: | Anti-Normalization Committee [Ali Abu SUKKAR, president vice chairman]; Jordanian Bar Association [Saleh ARMOUTI, president]; Jordanian Press Association [Sayf al-SHARIF, president]; Muslim Brotherhood [Abd-al-Majid DHUNAYBAT, secretary general] |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAS, MIGA, MINUSTAH, MONUC, NAM, OIC, ONUB, OPCW, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIK, UNMIL, UNMISET, UNOCI, UNOMIG, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Karim Tawfiq KAWAR |
| Diplomatic representation in the US: | chancery: 3504 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3110 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2664 |
| Diplomatic representation from the US: | chief of mission: ambassador (vacant); Charge d'Affaires David M. HALE |
| Diplomatic representation from the US: | embassy: Abdoun, Amman |
| Diplomatic representation from the US: | mailing address: P. O. Box 354, Amman 11118 Jordan; Unit 70200, Box 5, APO AE 09892-0200 |
| Diplomatic representation from the US: | telephone: [962] (6) 592-0101 |
| Diplomatic representation from the US: | FAX: [962] (6) 592-4102 |
| Flag description: | three equal horizontal bands of black (top), representing the Abbassid Caliphate, white, representing the Ummayyad Caliphate, and green, representing the Fatimid Caliphate; a red isosceles triangle on the hoist side, representing the Great Arab Revolt of 1916, and bearing a small white seven-pointed star symbolizing the seven verses of the opening Sura (Al-Fatiha) of the Holy Koran; the seven points on the star represent faith in One God, humanity, national spirit, humility, social justice, virtue, and aspirations; design is based on the Arab Revolt flag of World War I |
