| Government | Jordan |
| --- | --- |
| Country name: | conventional long form: Hashemite Kingdom of Jordan |
| Country name: | conventional short form: Jordan |
| Country name: | local long form: Al Mamlakah al Urduniyah al Hashimiyah |
| Country name: | local short form: Al Urdun |
| Country name: | former: Transjordan |
| Government type: | constitutional monarchy |
| Capital: | name: Amman |
| Capital: | geographic coordinates: 31 57 N, 35 56 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Thursday in March; ends last Friday in September |
| Administrative divisions: | 12 governorates (muhafazat, singular - muhafazah); Ajlun, Al 'Aqabah, Al Balqa', Al Karak, Al Mafraq, 'Amman, At Tafilah, Az Zarqa', Irbid, Jarash, Ma'an, Madaba |
| Independence: | 25 May 1946 (from League of Nations mandate under British administration) |
| National holiday: | Independence Day, 25 May (1946) |
| Constitution: | 1 January 1952; amended many times |
| Legal system: | based on Islamic law and French codes; judicial review of legislative acts in a specially provided High Tribunal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King ABDALLAH II (since 7 February 1999); Crown Prince HUSSEIN (born 28 June 1994), eldest son of King ABDALLAH II |
| Executive branch: | head of government: Prime Minister Nader al-DAHABI (since 25 November 2007) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister in consultation with the monarch |
| Executive branch: | elections: the monarch is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral National Assembly or Majlis al-'Umma consists of the Senate, also called the House of Notables or Majlis al-Ayan (55 seats; members appointed by the monarch to serve four-year terms) and the Chamber of Deputies, also called the House of Representatives or Majlis al-Nuwaab (110 seats; members elected using a single, non-transferable vote system in multi-member districts to serve four-year terms); note - six seats are reserved for women, nine seats are reserved for Christian candidates, nine seats are reserved for Bedouin candidates, and three seats are reserved for Jordanians of Chechen or Circassian descent |
| Legislative branch: | elections: Chamber of Deputies - last held 20 November 2007 (next scheduled to be held in 2011) |
| Legislative branch: | election results: Chamber of Deputies - percent of vote by party - NA; seats by party - IAF 6, independents and other 104; note - seven women serve in the Assembly, six of whom filled women's quota seats and one was directly elected |
| Judicial branch: | Court of Cassation (Supreme Court) |
| Political parties and leaders: | Arab Ba'ath Socialist Party [Fuad DABBOUR]; Ba'ath Arab Progressive Party [Tayseer al-HAMSI]; Call Party [Mohammed Abu BAKR]; Democratic People's Party [Ahmad Yusuf 'ALIYA]; Democratic Popular Unity Party [Sa'ed DIAB]; Islamic Action Front or IAF [Ishaq al-FARHAN]; Islamic Center Party [Marwan al-FA'OURI; Jordanian Communist Party [Munir HAMARNEH]; Jordanian National Party [Mona Abu BAKR]; Jordanian United Front [Amjad al-MAJALI]; Life Party [Thaher 'AMROU]; Message Party [Hazem QASHOU]; National Constitution Party [Ahmed al-SHUNAQ]; National Movement for Direct Democracy [Mohammed al-QAQ]; |
| Political pressure groups and leaders: | Anti-Normalization Committee [Ali Abu SUKKAR, president vice chairman]; Jordan Bar Association [Saleh al-ARMUTI, chairman]; Jordanian Press Association [Sayf al-SHARIF, president]; Jordanian Muslim Brotherhood [Dr. Hamam SAID, controller general] |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, MINURCAT, MINUSTAH, MONUC, NAM, OIC, OPCW, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOCI, UNOMIG, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador ZEID Ra'ad Zeid al-Hussein, Prince |
| Diplomatic representation in the US: | chancery: 3504 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2664 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3110 |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert S. BEECROFT |
| Diplomatic representation from the US: | embassy: Abdoun, Amman |
| Diplomatic representation from the US: | mailing address: P. O. Box 354, Amman 11118 Jordan; Unit 70200, Box 5, DPO AE 09892-0200 |
| Diplomatic representation from the US: | telephone: [962] (6) 590-6000 |
| Diplomatic representation from the US: | FAX: [962] (6) 592-0121 |
| Flag description: | three equal horizontal bands of black (top), representing the Abbassid Caliphate, white, representing the Ummayyad Caliphate, and green, representing the Fatimid Caliphate; a red isosceles triangle on the hoist side, representing the Great Arab Revolt of 1916, and bearing a small white seven-pointed star symbolizing the seven verses of the opening Sura (Al-Fatiha) of the Holy Koran; the seven points on the star represent faith in One God, humanity, national spirit, humility, social justice, virtue, and aspirations; design is based on the Arab Revolt flag of World War I |
