| Government | Jordan |
| --- | --- |
| Country name: | conventional long form: Hashemite Kingdom of Jordan |
| Country name: | conventional short form: Jordan |
| Country name: | local long form: Al Mamlakah al Urduniyah al Hashimiyah |
| Country name: | local short form: Al Urdun |
| Country name: | former: Transjordan |
| Government type: | constitutional monarchy |
| Capital: | name: Amman |
| Capital: | geographic coordinates: 31 57 N, 35 56 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Friday in April; ends last Friday in October |
| Administrative divisions: | 12 governorates (muhafazat, singular - muhafazah); Ajlun, Al 'Aqabah, Al Balqa', Al Karak, Al Mafraq, 'Amman, At Tafilah, Az Zarqa', Irbid, Jarash, Ma'an, Madaba |
| Independence: | 25 May 1946 (from League of Nations mandate under British administration) |
| National holiday: | Independence Day, 25 May (1946) |
| Constitution: | 1 January 1952; amended many times |
| Legal system: | mixed legal system of civil law and Islamic religious law; judicial review of legislative acts in a specially provided High Tribunal |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King ABDALLAH II (since 7 February 1999); Crown Prince HUSSEIN (born 28 June 1994), eldest son of King ABDALLAH II |
| Executive branch: | head of government: Prime Minister Abdullah NSOUR (since 11 October 2012); Deputy Prime Minister Awad KHULAYFAT (since 11 October 2012) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister in consultation with the monarch |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral National Assembly or Majlis al-'Umma consists of the Senate, also called the House of Notables or Majlis al-Ayan (60 seats; members appointed by the monarch to serve four-year terms) and the Chamber of Deputies, also called the House of Representatives or Majlis al-Nuwaab (120 seats; members elected using a single, non-transferable vote system in multi-member districts to serve four-year terms); note - the new electoral law enacted in May 2010 allocated an additional 10 seats (6 seats added to the number reserved for women, bringing the total to 12; 2 additional seats for Amman; and 1 seat each for the cities of Zarqa and Irbid; unchanged are 9 seats reserved for Christian candidates, 9 for Bedouin candidates, and 3 for Jordanians of Chechen or Circassian descent |
| Legislative branch: | elections: Chamber of Deputies - last held on 9 November 2010 (next to be held on 23 Janary 2013); note - the King dissolved the previous Chamber of Deputies in November 2009, midway through the parliamentary term |
| Legislative branch: | election results: Chamber of Deputies - percent of vote by party - NA; seats by party - independents and other 120 (includes 12 seats filled by women's quota and 1 woman was directly elected); note - the IAF boycotted the election |
| Judicial branch: | Court of Cassation (Supreme Court) |
| Political parties and leaders: | Arab Ba'ath Socialist Party [Akram al-HIMSI]; Ba'ath Arab Progressive Party [Fuad DABBOUR]; Call Party [Muhammed ABU BAKR]; Democratic People's Party [Ablah ABU ULBAH]; Democratic Popular Unity Party [Sa'id DIAB]; Islamic Action Front or IAF [Hamzah MANSOUR]; Islamic Center Party [Marwan al-FA'URI]; Jordanian Communist Party [Munir HAMARNAH]; Jordanian National Party [Muna ABU BAKR]; Jordanian United Front [Amjad al-MAJALI]; Life Party [Zahier AMR]; Message Party [Hazem QASHOU]; National Constitution Party [Ahmad al-SHUNAQ]; National Current Party [Abd al-Hadi al-MAJALI]; National Movement for Direct Democracy [Muhammad al-QAQ] |
| Political pressure groups and leaders: | 15 April Movement [Mohammad SUNEID, chairman]; 1952 Constitution Movement; 24 March Movement [Mu'az al-KHAWALIDAH, Mu'adh al-KHAWALIDAH, Abdel Rahman HASANEIN, spokespersons]; Anti-Normalization Committee [Hamzah MANSOUR, chairman]; Economic and Social Association of Retired Servicemen and Veterans or ESARSV [Abdulsalam al-HASSANAT, chairman]; Group of 36; Higher Coordination Committee of Opposition Parties [Said DIAB]; Higher National Committee for Military Retirees or HNCMR [Ali al-HABASHNEH, chairman]; Jordan Bar Association [Saleh al-ARMUTI, chairman]; Jordanian Campaign for Change or Jayin; Jordanian Muslim Brotherhood [Dr. Hamam SAID, controller general]; Jordanian Press Association [Sayf al-SHARIF, president]; National Front for Reform or NFR [Ahmad OBEIDAT, chairman]; Popular Gathering for Reform; Professional Associations Council [Abd al-Hadi al-FALAHAT, chairman]; Sons of Jordan |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CD, CICA, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MINUSTAH, MONUSCO, NAM, OIC, OPCW, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Alia Hatough-BOURAN |
| Diplomatic representation in the US: | chancery: 3504 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2664 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3110 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stuart E. JONES |
| Diplomatic representation from the US: | embassy: Abdoun, Amman |
| Diplomatic representation from the US: | mailing address: P. O. Box 354, Amman 11118 Jordan; Unit 70200, Box 5, DPO AE 09892-0200 |
| Diplomatic representation from the US: | telephone: [962] (6) 590-6000 |
| Diplomatic representation from the US: | FAX: [962] (6) 592-0121 |
| Flag description: | three equal horizontal bands of black (top), representing the Abbassid Caliphate, white, representing the Ummayyad Caliphate, and green, representing the Fatimid Caliphate; a red isosceles triangle on the hoist side, representing the Great Arab Revolt of 1916, and bearing a small white seven-pointed star symbolizing the seven verses of the opening Sura (Al-Fatiha) of the Holy Koran; the seven points on the star represent faith in One God, humanity, national spirit, humility, social justice, virtue, and aspirations; design is based on the Arab Revolt flag of World War I |
| National symbol(s): | eagle |
| National anthem: | name: "As-salam al-malaki al-urdoni" (Long Live the King of Jordan) |
| National anthem: | lyrics/music: Abdul-Mone'm al-RIFAI'/Abdul-Qader al-TANEER |
| National anthem: | note: adopted 1946; the shortened version of the anthem is used most commonly, while the full version is reserved for special occasions |
