| Government | Czech Republic |
| --- | --- |
| Country name: | conventional long form: Czech Republic |
| Country name: | conventional short form: Czech Republic |
| Country name: | local long form: Ceska Republika |
| Country name: | local short form: Cesko |
| Government type: | parliamentary democracy |
| Capital: | name: Prague |
| Capital: | geographic coordinates: 50 05 N, 14 28 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 13 regions (kraje, singular - kraj) and 1 capital city* (hlavni mesto); Jihocesky (South Bohemia), Jihomoravsky (South Moravia), Karlovarsky, Kralovehradecky, Liberecky, Moravskoslezsky (Moravia-Silesia), Olomoucky, Pardubicky, Plzensky (Pilsen), Praha (Prague)*, Stredocesky (Central Bohemia), Ustecky, Vysocina, Zlinsky |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia); note - although 1 January is the day the Czech Republic came into being, the Czechs generally consider 28 October 1918, the day the former Czechoslovakia declared its independence from the Austro-Hungarian Empire, as their independence day |
| National holiday: | Czechoslovak Founding Day, 28 October (1918) |
| Constitution: | ratified 16 December 1992, effective 1 January 1993; amended several times |
| Legal system: | civil law system based on former Austro-Hungarian civil codes and socialist theory; note - legislation is actively modernizing the legal system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Vaclav KLAUS (since 7 March 2003) |
| Executive branch: | head of government: Prime Minister Petr NECAS (since 28 June 2010); First Deputy Prime Minister Karel SCHWARZENBERG (since 13 July 2010), Deputy Prime Minister Karolina PEAKE (since 1 July 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by Parliament for a five-year term (eligible for a second term); last successful election held on 15 February 2008 (after earlier elections held 8 and 9 February 2008 were inconclusive; next election to be held in 2013); prime minister appointed by the president |
| Executive branch: | election results: Vaclav KLAUS reelected president on 15 February 2008; Vaclav KLAUS 141 votes, Jan SVEJNAR 111 votes (third round; combined votes of both chambers of parliament) |
| Legislative branch: | bicameral Parliament or Parlament consists of the Senate or Senat (81 seats; members elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies or Poslanecka Snemovna (200 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held in two rounds on 15-16 and 22-23 October 2010 (next to be held by October 2012); Chamber of Deputies - last held on 28-29 May 2010 (next to be held by 2014) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - CSSD 41, ODS 25, KDU-CSL 6, TOP 09 5, others 4; Chamber of Deputies - percent of vote by party - CSSD 22.1%, ODS 20.2%, TOP 09 16.7%, KSCM 11.3%, VV 10.9%; seats by party - CSSD 56, ODS 53, TOP 09 41, KSCM 26, VV 24 |
| Judicial branch: | Supreme Court; judges are appointed by the president for an unlimited term; Constitutional Court; 15 judges are appointed by the president and confirmed by the Senate for a ten-year term; Supreme Administrative Court; chairman and deputy chairmen are appointed by the president for a 10-year term; judges are appointed by the president for an unlimited term |
| Political parties and leaders: | Association of Independent Candidates-European Democrats or SNK-ED [Zdenka MARKOVA]; Christian Democratic Union-Czechoslovak People's Party or KDU-CSL [Pavel BELOBRADEK]; Civic Democratic Party or ODS [Petr NECAS]; Communist Party of Bohemia and Moravia or KSCM [Vojtech FILIP]; Czech Social Democratic Party or CSSD [Bohuslav SOBOTKA (acting)]; Green Party [Ondrej LISKA]; Public Affairs or VV [Radek JOHN]; Tradice Odpovednost Prosperita 09 or TOP 09 [Karel SCHWARZENBERG]; Union of Freedom-Democratic Union or US-DEU [Jan CERNY] |
| Political pressure groups and leaders: | Czech-Moravian Confederation of Trade Unions or CMKOS [Jaroslav ZAVADIL] |
| International organization participation: | Australia Group, BIS, BSEC (observer), CD, CE, CEI, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Petr GANDALOVIC |
| Diplomatic representation in the US: | chancery: 3900 Spring of Freedom Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-9100 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8540 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Norman EISEN |
| Diplomatic representation from the US: | embassy: Trziste 15, 118 01 Prague 1 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [420] 257 022 000 |
| Diplomatic representation from the US: | FAX: [420] 257 022 809 |
| Flag description: | two equal horizontal bands of white (top) and red with a blue isosceles triangle based on the hoist side |
| Flag description: | note: is identical to the flag of the former Czechoslovakia |
| National symbol(s): | double-tailed lion |
| National anthem: | name: "Kde domov muj?" (Where is My Home?) |
| National anthem: | lyrics/music: Josef Kajetan TYL/Frantisek Jan SKROUP |
| National anthem: | note: adopted 1993; the anthem is a verse from the former Czechoslovak anthem originally written as part of the opera "Fidlovacka" |
