| Government | Sao Tome and Principe |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Sao Tome and Principe |
| Country name: | conventional short form: Sao Tome and Principe |
| Country name: | local long form: Republica Democratica de Sao Tome e Principe |
| Country name: | local short form: Sao Tome e Principe |
| Government type: | republic |
| Capital: | name: Sao Tome |
| Capital: | geographic coordinates: 0 20 N, 6 44 E |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 2 provinces; Principe, Sao Tome |
| Independence: | 12 July 1975 (from Portugal) |
| National holiday: | Independence Day, 12 July (1975) |
| Constitution: | approved 5 November 1975; revised several times, last in 2003 (2012) |
| Legal system: | mixed legal system of civil law base on the Portuguese model and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Manuel Pinto DA COSTA (since 3 September 2011) |
| Executive branch: | head of government: Prime Minister Gabriel Arcanjo Ferreira DA COSTA (since 12 December 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the proposal of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 17 July and 7 August 2011 (next to be held in 2016); prime minister chosen by the National Assembly and approved by the president |
| Executive branch: | election results: Manuel Pinto DA COSTA elected president in a run-off election; percent of vote - Manuel Pinto DA COSTA 52.9%, Evaristo CARVALHO 47.1% |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (55 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 1 August 2010 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ADI 26, MLSTP-PSD 21, PCD 7, MDFM 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of 5 judges); Constitutional Court (consists of 5 judges, 3 of which are from the Supreme Court) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the National Assembly; judge tenure NA; Constitutional Court judges nominated by the president of the republic and elected by the National Assembly for 5-year terms |
| Judicial branch: | subordinate courts: Court of First Instance; Audit Court |
| Political parties and leaders: | Force for Change Democratic Movement or MDFM [Fradigue Bandeira Melo DE MENEZES] |
| Political parties and leaders: | Independent Democratic Action or ADI [Patrice TROVOADA] |
| Political parties and leaders: | Movement for the Liberation of Sao Tome and Principe-Social Democratic Party or MLSTP-PSD [Aurelio MARTINS] |
| Political parties and leaders: | Party for Democratic Convergence-Reflection Group or PCD-GR [Leonel Mario D'ALVA] |
| Political parties and leaders: | other small parties |
| Political pressure groups and leaders: | Association of Sao Tome and Principe NGOs or FONG |
| Political pressure groups and leaders: | other: the media |
| International organization participation: | ACP, AfDB, AOSIS, AU, CD, CPLP, EITI (candidate country), FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ITU, ITUC (NGOs), NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Carlos Filomeno Azevedo AGOSTINHO das Neves (since 3 December 2013) |
| Diplomatic representation in the US: | chancery: 1211 Connecticut Avenue NW, Suite 300, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-2075, 2076 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-2077 |
| Diplomatic representation from the US: | the US does not have an embassy in Sao Tome and Principe; the Ambassador to Gabon is accredited to Sao Tome and Principe on a nonresident basis and makes periodic visits to the islands |
| Flag description: | three horizontal bands of green (top), yellow (double width), and green with two black five-pointed stars placed side by side in the center of the yellow band and a red isosceles triangle based on the hoist side; green stands for the country's rich vegetation, red recalls the struggle for independence, and yellow represents cocoa, one of the country's main agricultural products; the two stars symbolize the two main islands |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National anthem: | name: "Independencia total" (Total Independence) |
| National anthem: | lyrics/music: Alda Neves DA GRACA do Espirito Santo/Manuel dos Santos Barreto de Sousa e ALMEIDA |
| National anthem: | note: adopted 1975 |
