| Government | Sao Tome and Principe |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Sao Tome and Principe |
| Country name: | conventional short form: Sao Tome and Principe |
| Country name: | local long form: Republica Democratica de Sao Tome e Principe |
| Country name: | local short form: Sao Tome e Principe |
| Government type: | republic |
| Capital: | name: Sao Tome |
| Capital: | geographic coordinates: 0 12 N, 6 39 E |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 2 provinces; Principe, Sao Tome |
| Administrative divisions: | note: Principe has had self government since 29 April 1995 |
| Independence: | 12 July 1975 (from Portugal) |
| National holiday: | Independence Day, 12 July (1975) |
| Constitution: | approved March 1990, effective 10 September 1990 |
| Legal system: | based on Portuguese legal system and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Fradique Bandiera Melo DE MENEZES (since 3 September 2001) |
| Executive branch: | head of government: Prime Minister Joachim Rafael BRANCO (since 22 June 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the proposal of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 30 July 2006 (next to be held in July 2011); prime minister chosen by the National Assembly and approved by the president |
| Executive branch: | election results: Fradique DE MENEZES elected president; percent of vote - Fradique DE MENEZES 60%, Patrice TROVOADA 38.5% |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (55 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 1 August 2010 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ADI 26, MLSTP 21, PCD 7, MDFM 1 |
| Judicial branch: | Supreme Court (judges are appointed by the National Assembly) |
| Political parties and leaders: | Force for Change Democratic Movement or MDFM [Tome Soares da VERA CRUZ]; Independent Democratic Action or ADI [Patrice TROVOADA]; Movement for the Liberation of Sao Tome and Principe-Social Democratic Party or MLSTP-PSD [Rafael BRANCO]; New Way Movement or NR; Party for Democratic Convergence or PCD [Delfim NEVES]; Ue-Kedadji coalition; other small parties |
| Political pressure groups and leaders: | Association of Sao Tome and Principe NGOs or FONG |
| Political pressure groups and leaders: | other: the media |
| International organization participation: | ACP, AfDB, AOSIS, AU, CPLP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ITU, ITUC, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ovidio PEQUENO |
| Diplomatic representation in the US: | chancery: 1211 Connecticut Avenue NW, Suite 300, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-2075, 2076 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-2077 |
| Diplomatic representation from the US: | the US does not have an embassy in Sao Tome and Principe; the Ambassador to Gabon is accredited to Sao Tome and Principe on a nonresident basis and makes periodic visits to the islands |
| Flag description: | three horizontal bands of green (top), yellow (double width), and green with two black five-pointed stars placed side by side in the center of the yellow band and a red isosceles triangle based on the hoist side; green stands for the country's rich vegetation, red recalls the struggle for independence, and yellow represents cocoa, one of the country's main agricultural products; the two stars symbolize the two main islands |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National anthem: | name: "Independencia total" (Total Independence) |
| National anthem: | lyrics/music: Alda Neves DA GRACA do Espirito Santo/Manuel dos Santos Barreto de Sousa e ALMEIDA |
| National anthem: | note: adopted 1975 |
