| Government | Sint Maarten |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Sint Maarten |
| Country name: | local long form: Land Sint Maarten (Dutch); Country of Sint Maarten (English) |
| Country name: | local short form: Sint Maarten (Dutch and English) |
| Country name: | former: Netherlands Antilles; Curacao and Dependencies |
| Country name: | etymology: explorer Christopher COLUMBUS named the island after Saint MARTIN of Tours because the 11 November 1493 day of discovery was the saint's feast day |
| Dependency status: | constituent country within the Kingdom of the Netherlands; full autonomy in internal affairs granted in 2010; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary democracy (Estates of Sint Maarten) under a constitutional monarchy |
| Capital: | name: Philipsburg |
| Capital: | geographic coordinates: 18 1 N, 63 2 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Administrative divisions: | note: Sint Maarten is one of four constituent countries of the Kingdom of the Netherlands; the other three are the Netherlands, Aruba, and Curacao |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | King's Day (birthday of King WILLEM-ALEXANDER), 27 April (1967); note - King's or Queen's Day are observed on the ruling monarch's birthday; celebrated on 26 April if 27 April is a Sunday |
| Constitution: | previous 1947, 1955; latest adopted 21 July 2010, entered into force 10 October 2010 (regulates governance of Sint Maarten but is subordinate to the Charter for the Kingdom of the Netherlands) (2018) |
| Legal system: | based on Dutch civil law system with some English common law influence |
| Citizenship: | see the Netherlands |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Joint Court of Justice of Aruba, Curacao, Sint Maarten, and of Bonaire, Sint Eustatius and Saba or "Joint Court of Justice" (consists of the presiding judge, other members, and their substitutes); final appeals heard by the Supreme Court (in The Hague, Netherlands); note - prior to 2010, the Joint Court of Justice was the Common Court of Justice of the Netherlands Antilles and Aruba |
| Judicial branch: | judge selection and term of office: Joint Court judges appointed by the monarch serve for life |
| Judicial branch: | subordinate courts: Courts in First Instance |
| Executive branch: | chief of state: King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor General Eugene HOLIDAY (since 10 October 2010) |
| Executive branch: | head of government: Prime Minister Leona MARLIN-ROMEO (since 15 January 2018) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister and appointed by the governor-general |
| Executive branch: | elections/appointments: the monarch is hereditary; governor general appointed by the monarch for a 6-year term; following parliamentary elections, the leader of the majority party usually elected prime minister by Parliament |
| Legislative branch: | description: unicameral parliament or Staten (15 seats; members directly elected by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held 26 February 2018 (next to be held in 2022) |
| Legislative branch: | election results: percent of vote by party - UD 42.4%, NA 30.5%, US Party 13.2%, SMCP 8.7%; seats by party - UD 7, NA 5, US Party 2, SMCP 1 |
| Political parties and leaders: | National Alliance or NA [William MARLIN] |
| Political parties and leaders: | Sint Maarten Christian Party or SMCP [Wycliffe SMITH] |
| Political parties and leaders: | United Democrats Party or UD [Theodore HEYLIGER] |
| Political parties and leaders: | United Sint Maarten Party or US Party [Frans RICHARDSON] |
| International organization participation: | Caricom (observer), ILO, Interpol, UNESCO (associate), UPU, WMO |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands) |
| Diplomatic representation from the US: | the US does not have an embassy in Sint Maarten; the Consul General to Curacao is accredited to Sint Maarten |
| Flag description: | two equal horizontal bands of red (top) and blue with a white isosceles triangle based on the hoist side; the center of the triangle displays the Sint Maarten coat of arms; the arms consist of an orange-borderedÂ  blue shield prominently displaying the white court house in Philipsburg, as well as a bouquet of yellow sage (the national flower) in the upper left,Â  and the silhouette of a Dutch-French friendship monument in the upper right; the shield is surmounted by a yellow rising sun in front of which is a brown pelican in flight; a yellow scroll below the shield bears the motto: SEMPER PROGREDIENS (Always Progressing); the three main colors are identical to those on the Dutch flag |
| Flag description: | note: the flag somewhat resembles that of the Philippines but with the main red and blue bands reversed; the banner more closely evokes the wartime Philippine flag |
| National symbol(s): | brown pelican, yellow sage (flower); national colors: red, white, blue |
| National anthem: | name: O Sweet Saint Martin's Land |
| National anthem: | lyrics/music: Gerard KEMPS |
| National anthem: | note: the song, written in 1958, is used as an unofficial anthem for the entire island (both French and Dutch sides); as a collectivity of France, in addition to the local anthem, "La Marseillaise" is official on the French side (see France); as a constituent part of the Kingdom of the Netherlands, in addition to the local anthem, "Het Wilhelmus" is official on the Dutch side (see Netherlands) |
