| Government | Dhekelia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Dhekelia |
| Dependency status: | a special form of UK overseas territory; administered by an administrator who is also the Commander, British Forces Cyprus |
| Capital: | name: Episkopi Cantonment (base administrative center for Akrotiri and Dhekelia); located in Akrotiri |
| Capital: | geographic coordinates: 34 40 N, 32 51 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Constitution: | Sovereign Base Areas of Akrotiri and Dhekelia Order in Council 1960, effective 16 August 1960, functions as a basic legal document |
| Legal system: | the Sovereign Base Area Administration has its own court system to deal with civil and criminal matters; laws applicable to the Cypriot population are, as far as possible, the same as the laws of the Republic of Cyprus |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952) |
| Executive branch: | head of government: Administrator Air Vice Marshall Graham STACEY (since 4 November 2010); note - reports to the British Ministry of Defense |
| Executive branch: | elections: none; the monarchy is hereditary; the administrator appointed by the monarch |
| Judicial branch: | see Akrotiri |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | the flag of the UK is used |
| National anthem: | note: as a United Kingdom area of special sovereignty, "God Save the Queen" is official (see United Kingdom) |
