| Government | India |
| --- | --- |
| Country name: | conventional long form: Republic of India |
| Country name: | conventional short form: India |
| Country name: | local long form: Republic of India/Bharatiya Ganarajya |
| Country name: | local short form: India/Bharat |
| Country name: | etymology: the English name derives from the Indus River; the Indian name "Bharat" may derive from the "Bharatas" tribe mentioned in the Vedas of the second millennium B.C.; the name is also associated with Emperor Bharata, the legendary conqueror of all of India |
| Government type: | federal parliamentary republic |
| Capital: | name: New Delhi |
| Capital: | geographic coordinates: 28 36 N, 77 12 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the city's name is associated with various myths and legends; the original name for the city may have been Dhilli or Dhillika; alternatively, the name could be a corruption of the Hindustani words "dehleez" or "dehali" - both terms meaning "threshold" or "gateway" - and indicative of the city as a gateway to the Gangetic Plain; after the British decided to move the capital of their Indian Empire from Calcutta to Delhi in 1911, they created a new governmental district south of the latter designated as New Delhi; the new capital was not formally inaugurated until 1931 |
| Administrative divisions: | 28 states and 8 union territories*; Andaman and Nicobar Islands*, Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chandigarh*, Chhattisgarh, Dadra and Nagar Haveli and Daman and Diu*, Delhi*, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir*, Jharkhand, Karnataka, Kerala, Ladakh*, Lakshadweep*, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Odisha, Puducherry*, Punjab, Rajasthan, Sikkim, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttarakhand, West Bengal |
| Administrative divisions: | note: although its status is that of a union territory, the official name of Delhi is National Capital Territory of Delhi |
| Independence: | 15 August 1947 (from the UK) |
| National holiday: | Republic Day, 26 January (1950) |
| Constitution: | history: previous 1935 (preindependence); latest draft completed 4 November 1949, adopted 26 November 1949, effective 26 January 1950 |
