| Government | India |
| --- | --- |
| Country name: | conventional long form: Republic of India |
| Country name: | conventional short form: India |
| Country name: | local long form: Republic of India/Bharatiya Ganarajya |
| Country name: | local short form: India/Bharat |
| Government type: | federal republic |
| Capital: | name: New Delhi |
| Capital: | geographic coordinates: 28 36 N, 77 12 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 28 states and 7 union territories*; Andaman and Nicobar Islands*, Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chandigarh*, Chhattisgarh, Dadra and Nagar Haveli*, Daman and Diu*, Delhi*, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Lakshadweep*, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Orissa, Puducherry*, Punjab, Rajasthan, Sikkim, Tamil Nadu, Tripura, Uttar Pradesh, Uttarakhand, West Bengal |
| Independence: | 15 August 1947 (from the UK) |
| National holiday: | Republic Day, 26 January (1950) |
| Constitution: | 26 January 1950; amended many times |
| Legal system: | based on English common law; judicial review of legislative acts; accepts compulsory ICJ jurisdiction with reservations; separate personal law codes apply to Christians, Hindus, and Muslims |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pratibha Devisingh PATIL (since 25 July 2007); Vice President Mohammad Hamid ANSARI (since 11 August 2007) |
| Executive branch: | head of government: Prime Minister Manmohan SINGH (since 22 May 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by an electoral college consisting of elected members of both houses of Parliament and the legislatures of the states for a five-year term (no term limits); election last held in July 2007 (next to be held in July 2012); vice president elected by both houses of Parliament for a five-year term; election last held in August 2007 (next to be held August 2012); prime minister chosen by parliamentary members of the majority party following legislative elections; election last held April - May 2009 (next to be held no later than May 2014) |
| Executive branch: | election results: Pratibha PATIL elected president; percent of vote - Pratibha PATIL 65.8%, Bhairon Singh SHEKHAWAT - 34.2% |
