| Government | INDIA |
| --- | --- |
| Country name: | conventional long form: Republic of India |
| Country name: | conventional short form: India |
| Country name: | local long form: Republic of India/Bharatiya Ganarajya |
| Country name: | local short form: India/Bharat |
| Country name: | etymology: the English name derives from the Indus River; the Indian name "Bharat" may derive from the "Bharatas" tribe mentioned in the Vedas of the second millennium B.C.; the name is also associated with Emperor Bharata, the legendary conqueror of all of India |
| Government type: | federal parliamentary republic |
| Capital: | name: New Delhi |
| Capital: | geographic coordinates: 28 36 N, 77 12 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 29 states and 7 union territories*; Andaman and Nicobar Islands*, Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chandigarh*, Chhattisgarh, Dadra and Nagar Haveli*, Daman and Diu*, Delhi*, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Lakshadweep*, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Odisha, Puducherry*, Punjab, Rajasthan, Sikkim, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttarakhand, West Bengal |
| Administrative divisions: | note: although its status is that of a union territory, the official name of Delhi is National Capital Territory of Delhi |
| Independence: | 15 August 1947 (from the UK) |
| National holiday: | Republic Day, 26 January (1950) |
| Constitution: | previous 1935 (preindependence); latest draft completed 4 November 1949, adopted 26 November 1949, effective 26 January 1950; amended many times, last in 2015 (2016) |
| Legal system: | common law system based on the English model; separate personal law codes apply to Muslims, Christians, and Hindus; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of India |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pranab MUKHERJEE (since 22 July 2012); Vice President Mohammad Hamid ANSARI (since 11 August 2007) |
