| Government | India |
| --- | --- |
| Country name: | conventional long form: Republic of India |
| Country name: | conventional short form: India |
| Country name: | local long form: Republic of India/Bharatiya Ganarajya |
| Country name: | local short form: India/Bharat |
| Government type: | federal republic |
| Capital: | name: New Delhi |
| Capital: | geographic coordinates: 28 36 N, 77 12 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 29 states and 7 union territories*; Andaman and Nicobar Islands*, Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chandigarh*, Chhattisgarh, Dadra and Nagar Haveli*, Daman and Diu*, Delhi*, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Lakshadweep*, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Odisha, Puducherry*, Punjab, Rajasthan, Sikkim, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttarakhand, West Bengal |
| Administrative divisions: | note: although its status is that of a union territory, the official name of Delhi is National Capital Territory of Delhi |
| Independence: | 15 August 1947 (from the UK) |
| National holiday: | Republic Day, 26 January (1950) |
| Constitution: | previous 1935 (preindependence); latest draft completed 4 November 1949, adopted 26 November 1949, effective 26 January 1950; amended many times, last in 2013 (2013) |
| Legal system: | common law system based on the English model; separate personal law codes apply to Muslims, Christians, and Hindus; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pranab MUKHERJEE (since 22 July 2012); Vice President Mohammad Hamid ANSARI (since 11 August 2007) |
| Executive branch: | head of government: Prime Minister Narendra MODI (since 26 May 2014) |
| Executive branch: | cabinet: Union Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
