| Government | China |
| --- | --- |
| Country name: | conventional long form: People's Republic of China |
| Country name: | conventional short form: China |
| Country name: | local short form: Zhong Guo |
| Country name: | abbreviation: PRC |
| Country name: | local long form: Zhonghua Renmin Gongheguo |
| Government type: | Communist state |
| Capital: | Beijing |
| Administrative divisions: | 23 provinces (sheng, singular and plural), 5 autonomous regions* (zizhiqu, singular and plural), and 4 municipalities** (shi, singular and plural); Anhui, Beijing**, Chongqing**, Fujian, Gansu, Guangdong, Guangxi*, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol*, Ningxia*, Qinghai, Shaanxi, Shandong, Shanghai**, Shanxi, Sichuan, Tianjin**, Xinjiang*, Xizang* (Tibet), Yunnan, Zhejiang; note - China considers Taiwan its 23rd province; see separate entries for the special administrative regions of Hong Kong and Macau |
| Independence: | 221 BC (unification under the Qin or Ch'in Dynasty 221 BC; Qing or Ch'ing Dynasty replaced by the Republic on 12 February 1912; People's Republic established 1 October 1949) |
| National holiday: | Anniversary of the Founding of the People's Republic of China, 1 October (1949) |
| Constitution: | most recent promulgation 4 December 1982 |
| Legal system: | a complex amalgam of custom and statute, largely criminal law; rudimentary civil code in effect since 1 January 1987; new legal codes in effect since 1 January 1980; continuing efforts are being made to improve civil, administrative, criminal, and commercial law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President HU Jintao (since 15 March 2003) and Vice President ZENG Qinghong (since 15 March 2003) |
| Executive branch: | elections: president and vice president elected by the National People's Congress for five-year terms; elections last held 15-17 March 2003 (next to be held mid-March 2008); premier nominated by the president, confirmed by the National People's Congress |
| Executive branch: | head of government: Premier WEN Jiabao (since 16 March 2003); Vice Premiers HUANG Ju (since 17 March 2003), WU Yi (17 March 2003), ZENG Peiyan (since 17 March 2003), and HUI Liangyu (since 17 March 2003) |
| Executive branch: | cabinet: State Council appointed by the National People's Congress (NPC) |
| Executive branch: | election results: HU Jintao elected president by the Tenth National People's Congress with a total of 2,937 votes (4 delegates voted against him, 4 abstained, and 38 did not vote); ZENG Qinghong elected vice president by the Tenth National People's Congress with a total of 2,578 votes (177 delegates voted against him, 190 abstained, and 38 did not vote); 2 seats were vacant |
| Legislative branch: | unicameral National People's Congress or Quanguo Renmin Daibiao Dahui (2,985 seats; members elected by municipal, regional, and provincial people's congresses to serve five-year terms) |
| Legislative branch: | elections: last held NA December 2002-NA February 2003 (next to be held late 2007-NA February 2008) |
| Legislative branch: | election results: percent of vote - NA%; seats - NA |
| Judicial branch: | Supreme People's Court (judges appointed by the National People's Congress); Local Peoples Courts (comprise higher, intermediate and local courts); Special Peoples Courts (primarily military, maritime, and railway transport courts) |
| Political parties and leaders: | Chinese Communist Party or CCP [HU Jintao, General Secretary of the Central Committee]; eight registered small parties controlled by CCP |
| Political pressure groups and leaders: | no substantial political opposition groups exist, although the government has identified the Falungong sect and the China Democracy Party as potential rivals |
| International organization participation: | APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), BIS, CDB, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, LAIA (observer), MINURSO, MONUC, NAM (observer), OPCW, PCA, SCO, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, IFC, UNHCR, UNIDO, AfDB, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMOVIC, UNTSO, UNU, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador YANG Jiechi |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2582 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-2500 |
| Diplomatic representation in the US: | chancery: 2300 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Clark T. RANDT, Jr. |
| Diplomatic representation from the US: | embassy: Xiu Shui Bei Jie 3, 100600 Beijing |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 50, FPO AP 96521-0002 |
| Diplomatic representation from the US: | telephone: [86] (10) 6532-3831 |
| Diplomatic representation from the US: | FAX: [86] (10) 6532-6929 |
| Diplomatic representation from the US: | consulate(s) general: Chengdu, Guangzhou, Hong Kong, Shanghai, Shenyang |
| Flag description: | red with a large yellow five-pointed star and four smaller yellow five-pointed stars (arranged in a vertical arc toward the middle of the flag) in the upper hoist-side corner |
