| Government | Marshall Islands |
| --- | --- |
| Country name: | conventional long form: Republic of the Marshall Islands |
| Country name: | conventional short form: Marshall Islands |
| Country name: | local long form: Republic of the Marshall Islands |
| Country name: | local short form: Marshall Islands |
| Country name: | abbreviation: RMI |
| Country name: | former: Trust Territory of the Pacific Islands, Marshall Islands District |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force on 21 October 1986 and the Amended Compact entered into force in May 2004 |
| Capital: | name: Majuro |
| Capital: | geographic coordinates: 7 06 N, 171 23 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 24 municipalities; Ailinglaplap, Ailuk, Arno, Aur, Bikini & Kili, Ebon, Enewetak & Ujelang, Jabat, Jaluit, Kwajalein, Lae, Lib, Likiep, Majuro, Maloelap, Mejit, Mili, Namdrik, Namu, Rongelap, Ujae, Utrik, Wotho, Wotje |
| Independence: | 21 October 1986 (from the US-administered UN trusteeship) |
| National holiday: | Constitution Day, 1 May (1979) |
| Constitution: | effective 1 May 1979; amended several times, last in 1990 (2005) |
| Legal system: | mixed legal system of US and English common law, customary law, and local statutes |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Christopher J. LOEAK (since 17 January 2012); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Christopher J. LOEAK (since 17 January 2012) |
| Executive branch: | cabinet: Cabinet selected by the president from among the members of the legislature |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by Nitijela (legislature) from among its members for a four-year term; election last held on 3 January 2012 (next to be held in 2016) |
| Executive branch: | election results: Nitijela elected Christopher J. LOEAK president on 3 January 2012 |
| Legislative branch: | unicameral legislature or Nitijela (33 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 21 November 2011 (next to be held by November 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - independents 33 |
| Legislative branch: | note: the Council of Chiefs or Ironij is a 12-member body comprised of tribal chiefs that advises on matters affecting customary law and practice |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and other judges as prescribed by law) |
| Judicial branch: | judge selection and term of office: judges appointed by the Cabinet on the recommendation of the Judicial Service Commission and upon the approval of the Nitijela; judges appointed until retirement, normally at age 72 |
| Judicial branch: | subordinate courts: High Court; District Courts; Traditional Rights Court; Community Courts |
| Political parties and leaders: | traditionally there have been no formally organized political parties; what has existed more closely resembles factions or interest groups because they do not have party headquarters, formal platforms, or party structures; the following two "groupings" have competed in legislative balloting in recent years - Aelon Kein Ad Party [Michael KABUA] and United Democratic Party or UDP [Litokwa TOMEING] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, ADB, AOSIS, FAO, G-77, IAEA, IBRD, ICAO, IDA, IFAD, IFC, ILO, IMF, IMO, IMSO, Interpol, IOC, ITU, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Charles R. PAUL (since 6 September 2011) |
| Diplomatic representation in the US: | chancery: 2433 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5414 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-3236 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu, Springdale (AR) |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas H. ARMBRUSTER (since 16 August 2012) |
| Diplomatic representation from the US: | embassy: Oceanside, Mejen Weto, Long Island, Majuro |
| Diplomatic representation from the US: | mailing address: P. O. Box 1379, Majuro, Republic of the Marshall Islands 96960-1379 |
| Diplomatic representation from the US: | telephone: [692] 247-4011 |
| Diplomatic representation from the US: | FAX: [692] 247-4012 |
| Flag description: | blue with two stripes radiating from the lower hoist-side corner - orange (top) and white; a white star with four large rays and 20 small rays appears on the hoist side above the two stripes; blue represents the Pacific Ocean, the orange stripe signifies the Ralik Chain or sunset and courage, while the white stripe signifies the Ratak Chain or sunrise and peace; the star symbolizes the cross of Christianity, each of the 24 rays designates one of the electoral districts in the country and the four larger rays highlight the principal cultural centers of Majuro, Jaluit, Wotje, and Ebeye; the rising diagonal band can also be interpreted as representing the equator, with the star showing the archipelago's position just to the north |
| National anthem: | name: "Forever Marshall Islands" |
| National anthem: | lyrics/music: Amata KABUA |
| National anthem: | note: adopted 1981 |
