| Government | Congo, Republic of the |
| --- | --- |
| Country name: | conventional long form: Republic of the Congo |
| Country name: | conventional short form: Congo (Brazzaville) |
| Country name: | local long form: Republique du Congo |
| Country name: | local short form: Congo |
| Country name: | former: French Congo, Middle Congo, People's Republic of the Congo, Congo/Brazzaville |
| Country name: | etymology: named for the Congo River, which makes up much of the country's eastern border; the river name derives from Kongo, a Bantu kingdom that occupied its mouth at the time of Portuguese discovery in the late 15th century and whose name stems from its people the Bakongo, meaning "hunters" |
| Government type: | presidential republic |
| Capital: | name: Brazzaville |
| Capital: | geographic coordinates: 4 15 S, 15 17 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: named after the Italian-born French explorer and humanitarian, Pierre Savorgnan de BRAZZA (1852-1905), who promoted French colonial interests in central Africa and worked against slavery and the abuse of African laborers |
| Administrative divisions: | 12 departments (departments, singular - department); Bouenza, Brazzaville, Cuvette, Cuvette-Ouest, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pointe-Noire, Pool, Sangha |
| Independence: | 15 August 1960 (from France) |
| National holiday: | Independence Day, 15 August (1960) |
| Constitution: | history: several previous; latest approved by referendum 25 October 2015 |
| Constitution: | amendments: proposed by the president of the republic or by Parliament; passage of presidential proposals requires Supreme Court review followed by approval in a referendum; such proposals may also be submitted directly to Parliament, in which case passage requires at least three-quarters majority vote of both houses in joint session; proposals by Parliament require three-fourths majority vote of both houses in joint session; constitutional articles including those affecting the countryâ€™s territory, republican form of government, and secularity of the state are not amendable |
| Legal system: | mixed legal system of French civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Republic of the Congo |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Denis SASSOU-Nguesso (since 25 October 1997) |
| Executive branch: | head of government: Prime Minister Clement MOUAMBA (since 24 April 2016); note - a constitutional referendum held in 2015 approved the change of the head of government from the president to the prime minister (2019) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for 2 additional terms); election last held on 20 March 2016 (next to be held in 2021) |
| Executive branch: | election results: Denis SASSOU-Nguesso reelected president in the first round; percent of vote - Denis SASSOU-Nguesso (PCT) 60.4%, Guy Price Parfait KOLELAS (MCDDI) 15.1%, Jean-Marie MOKOKO (independent) 13.9%, Pascal Tsaty MABIALA (UPADS) 4.4%, other 6.2% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of: |
| Legislative branch: | Senate (72 seats; members indirectly elected by regional councils by simple majority vote to serve 6-year terms with one-half of membership renewed every 3 years) |
| Legislative branch: | National Assembly (151 seats; members directly elected in single-seat constituencies by absolute majority popular vote in 2 rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: Â  |
| Legislative branch: | Senate - last held on 31 August 2017 for expiry of half the seats (next to be held in 2020) |
| Legislative branch: | National Assembly - last held on 16 and 30 July 2017 (next to be held in July 2022) |
| Legislative branch: | election results: Â  |
