| Government | Congo, Republic of the |
| --- | --- |
| Country name: | conventional long form: Republic of the Congo |
| Country name: | conventional short form: Congo (Brazzaville) |
| Country name: | local long form: Republique du Congo |
| Country name: | local short form: none |
| Country name: | former: Middle Congo, Congo/Brazzaville, Congo |
| Government type: | republic |
| Capital: | name: Brazzaville |
| Capital: | geographic coordinates: 4 15 S, 15 17 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions (regions, singular - region) and 1 commune*; Bouenza, Brazzaville*, Cuvette, Cuvette-Ouest, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pool, Sangha |
| Independence: | 15 August 1960 (from France) |
| National holiday: | Independence Day, 15 August (1960) |
| Constitution: | approved by referendum 20 January 2002 |
| Legal system: | mixed legal system of French civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Denis SASSOU-Nguesso (since 25 October 1997, following the civil war in which he toppled elected president Pascal LISSOUBA); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Denis SASSOU-Nguesso (since 25 October 1997); note - the position of prime minister was abolished in September 2009 |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held on 12 July 2009 (next to be held in 2016) |
| Executive branch: | election results: Denis SASSOU-Nguesso reelected president; percent of vote - Denis SASSOU-Nguesso 78.6%, Joseph Kignoumbi Kia MBOUNGOU 7.5%, Nicephore Fylla de SAINT-EUDES 7%, other 6i.9% |
| Legislative branch: | bicameral Parliament consists of the Senate (72 seats; members elected by indirect vote to serve five-year terms) and the National Assembly (137 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 5 August 2008 (next to be held in 2013); National Assembly - last held on 24 June and 5 August 2007 (next to be held in 2012) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - RMP 33, FDU 23, UPADS 2, independents 7, other 7; National Assembly - percent of vote by party - NA; seats by party - PCT 46, MCDDI 11, UPADS 11, MAR 5, MSD 5, independents 37, other 22 |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Action Movement for Renewal or MAR; Congolese Labour Party or PCT; Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA]; Movement for Solidarity and Development or MSD; Pan-African Union for Social Development or UPADS [Martin MBERI]; Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO]; Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president]; Rally of the Presidential Majority or RMP; Union for Democracy and Republic or UDR; United Democratic Forces or FDU [Sebastian EBAO]; many smaller parties |
| Political pressure groups and leaders: | Congolese Trade Union Congress or CSC; General Union of Congolese Pupils and Students or UGEEC; Revolutionary Union of Congolese Women or URFC; Union of Congolese Socialist Youth or UJSC |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Serge MOMBOULI |
| Diplomatic representation in the US: | chancery: 4891 Colorado Avenue NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-5500 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1860 |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher W. MURRAY |
| Diplomatic representation from the US: | embassy: 70-83 Section D, Maya-Maya Boulevard, Brazzaville; |
| Diplomatic representation from the US: | mailing address: B.P. 1015, Brazzaville |
| Diplomatic representation from the US: | telephone: [242] 612 6000 |
| Flag description: | divided diagonally from the lower hoist side by a yellow band; the upper triangle (hoist side) is green and the lower triangle is red; green symbolizes agriculture and forests, yellow the friendship and nobility of the people, red is unexplained but has been associated with the struggle for independence |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | lion; elephant |
| National anthem: | name: "La Congolaise" (The Congolese) |
| National anthem: | lyrics/music: Jacques TONDRA and Georges KIBANGHI/Jean ROYER and Joseph SPADILIERE |
| National anthem: | note: originally adopted 1959, restored 1991 |
