| Government | Congo, Republic of the |
| --- | --- |
| Country name: | conventional long form: Republic of the Congo |
| Country name: | conventional short form: Congo (Brazzaville) |
| Country name: | local long form: Republique du Congo |
| Country name: | local short form: none |
| Country name: | former: Middle Congo, Congo/Brazzaville, Congo |
| Government type: | republic |
| Capital: | name: Brazzaville |
| Capital: | geographic coordinates: 4 15 S, 15 17 E |
| Capital: | time difference: UTC+1 (six hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions (regions, singular - region) and 1 commune*; Bouenza, Brazzaville*, Cuvette, Cuvette-Ouest, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pool, Sangha |
| Independence: | 15 August 1960 (from France) |
| National holiday: | Independence Day, 15 August (1960) |
| Constitution: | approved by referendum 20 January 2002 |
| Legal system: | based on French civil law system and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Denis SASSOU-Nguesso (since 25 October 1997, following the civil war in which he toppled elected president Pascal LISSOUBA); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Denis SASSOU-Nguesso (since 25 October 1997); note - the position of Prime Minister was abolished in September 2009 |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held 12 July 2009 (next to be held in 2016) |
| Executive branch: | election results: Denis SASSOU-NGUESSO reelected president; percent of vote - Denis SASSOU-NGUESSO 78.6%, Joseph Kignoumbi Kia MBOUNGOU 7.5%, Nicephore Fylla de SAINT-EUDES 7% |
| Legislative branch: | bicameral Parliament consists of the Senate (72 seats; members are elected by indirect vote to serve five-year terms) and the National Assembly (137 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Senate - last held 5 August 2008 (next to be held in 2013); National Assembly - last held 24 June and 5 August 2007 (next to be held in 2012) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - RMP 33, FDU 23, UPADS 2, independents 7, other 7; National Assembly - percent of vote by party - NA; seats by party - PCT 46, MCDDI 11, UPADS 11, MAR 5, MSD 5, independents 37, other 22 |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Action Movement for Renewal or MAR; Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA]; Congolese Labour Party or PCT; Movement for Solidarity and Development or MSD; Pan-African Union for Social Development or UPADS [Martin MBERI]; Rally of the Presidential Majority or RMP; Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president]; Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO]; Union for Democracy and Republic or UDR; United Democratic Forces or FDU [Sebastian EBAO]; many less important parties |
| Political pressure groups and leaders: | Congolese Trade Union Congress or CSC; General Union of Congolese Pupils and Students or UGEEC; Revolutionary Union of Congolese Women or URFC; Union of Congolese Socialist Youth or UJSC |
| International organization participation: | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Serge MOMBOULI |
| Diplomatic representation in the US: | chancery: 4891 Colorado Avenue NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-5500 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1860 |
| Diplomatic representation from the US: | chief of mission: Ambassador Allan EASTHAM |
| Diplomatic representation from the US: | embassy: Boulevard de la Revolution, BDEAC Building, 4th Floor, Brazzaville; note - a new embassy is expected to open in 2009 |
| Diplomatic representation from the US: | mailing address: B.P. 1015, Brazzaville |
| Diplomatic representation from the US: | telephone: [242] 281-1481, 281-3368; note - until the new embassy in Brazzaville becomes operational, some duties will still be handled in the US embassy in Kinshasha, Democratic Republic of the Congo |
| Flag description: | divided diagonally from the lower hoist side by a yellow band; the upper triangle (hoist side) is green and the lower triangle is red |
| Flag description: | note: uses the popular pan-African colors of Ethiopia |
