| Government | American Samoa |
| --- | --- |
| Country name: | conventional long form: Territory of American Samoa |
| Country name: | conventional short form: American Samoa |
| Country name: | abbreviation: AS |
| Dependency status: | unincorporated and unorganized territory of the US; administered by the Office of Insular Affairs, US Department of the Interior |
| Government type: | NA |
| Capital: | name: Pago Pago |
| Capital: | geographic coordinates: 14 16 S, 170 42 W |
| Capital: | time difference: UTC-11 (6 hours behind Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are three districts and two islands* at the second order; Eastern, Manu'a, Rose Island*, Swains Island*, Western |
| Independence: | none (territory of the US) |
| National holiday: | Flag Day, 17 April (1900) |
| Constitution: | ratified 2 June 1966, effective 1 July 1967 |
| Legal system: | NA |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President George W. BUSH of the US (since 20 January 2001); Vice President Richard B. CHENEY (since 20 January 2001) |
| Executive branch: | head of government: Governor Togiola TULAFONO (since 7 April 2003) |
| Executive branch: | cabinet: Cabinet made up of 12 department directors |
| Executive branch: | elections: under the US Constitution, residents of unincorporated territories, such as American Samoa, do not vote in elections for US president and vice president; however, they may vote in Democratic and Republican presidential primary elections; governor and lieutenant governor elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held 4 and 18 November 2008 (next to be held in November 2012) |
| Executive branch: | election results: Togiola TULAFONO reelected governor; percent of vote - Togiola TULAFONO 56.5%, Afoa Moega LUTU 43.5% |
| Legislative branch: | bicameral Fono or Legislative Assembly consists of the House of Representatives (21 seats; 20 members are elected by popular vote and 1 is an appointed, nonvoting delegate from Swains Island; members serve two-year terms) and the Senate (18 seats; members are elected from local chiefs to serve four-year terms) |
| Legislative branch: | elections: House of Representatives - last held 4 November 2008 (next to be held in November 2010); Senate - last held 4 November 2008 (next to be held in November 2012) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - NA; seats by party - NA; Senate - percent of vote by party - NA; seats by party - independents 18 |
| Legislative branch: | note: American Samoa elects one nonvoting representative to the US House of Representatives; election last held on 4 November 2008 (next to be held in November 2010); results - Eni F. H. FALEOMAVAEGA reelected as delegate |
| Judicial branch: | High Court (chief justice and associate justices are appointed by the US Secretary of the Interior) |
| Political parties and leaders: | Democratic Party [Oreta M. TOGAFAU]; Republican Party [Tautai A. F. FAALEVAO] |
| Political pressure groups and leaders: | Population Pressure LAS (addresses the growing population pressures) |
| International organization participation: | Interpol (subbureau), IOC, SPC, UPU |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US) |
| Flag description: | blue, with a white triangle edged in red that is based on the fly side and extends to the hoist side; a brown and white American bald eagle flying toward the hoist side is carrying two traditional Samoan symbols of authority, a war club known as a "Fa'alaufa'i" (upper; left talon), and a coconut fiber fly whisk known as a "Fue" (lower; right talon); the combination of symbols broadly mimics that seen on the US Great Seal and reflects the relationship between the United States and American Samoa |
