| Government | Malta |
| --- | --- |
| Country name: | conventional long form: Republic of Malta |
| Country name: | conventional short form: Malta |
| Country name: | local long form: Repubblika ta' Malta |
| Country name: | local short form: Malta |
| Government type: | republic |
| Capital: | name: Valletta |
| Capital: | geographic coordinates: 35 53 N, 14 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (administered directly from Valletta); note - local councils carry out administrative orders |
| Independence: | 21 September 1964 (from UK) |
| National holiday: | Independence Day, 21 September (1964) |
| Constitution: | 1964 constitution; amended many times |
| Legal system: | based on English common law and Roman civil law; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Edward FENECH ADAMI (since 4 April 2004) |
| Executive branch: | head of government: Prime Minister Lawrence GONZI (since 23 March 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | elections: president elected by the House of Representatives for a five-year term (eligible for a second term); election last held on 29 March 2004 (next to be held by April 2009); following legislative elections, the leader of the majority party or leader of a majority coalition is usually appointed prime minister by the president for a five-year term; the deputy prime minister is appointed by the president on the advice of the prime minister |
| Executive branch: | election results: Eddie FENECH ADAMI elected president; House of Representatives vote - 33 out of 65 votes |
| Legislative branch: | unicameral House of Representatives (usually 65 seats; members are elected by popular vote on the basis of proportional representation to serve five-year terms; note - additional seats are given to the party with the largest popular vote to ensure a legislative majority) |
| Legislative branch: | elections: last held on 8 March 2008 (next to be held by March 2013) |
| Legislative branch: | election results: percent of vote by party - PN 49.3%, MLP 48.8%, other 1.9%; seats by party - PN 35, MLP 34 |
| Judicial branch: | Constitutional Court; Court of Appeal; judges for both courts are appointed by the president on the advice of the prime minister |
| Political parties and leaders: | Alternativa Demokratika/Alliance for Social Justice or AD [Harry VASSALLO]; Malta Labor Party or MLP [acting leader Charles MANGION]; Nationalist Party or PN [Lawrence GONZI] |
| Political pressure groups and leaders: | Alleanza Liberal-Demokratika Maltra ro ALDM (against illegal immigration); Alleanza Nazzionali Repubblikana or ANR (encourages tourism); Alternattiva Demokratika (campaign to reform rent law, and other campaigns); Azzjoni Nazzjonali or AN (freedom to participate in democratic government); Ghazdatal-Konsumaturi (consumer rights); Nazi Watch Malta (exposing Nazis) |
| Political pressure groups and leaders: | other: environmentalists |
| International organization participation: | Australia Group, C, CE, EAPC, EBRD, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NSG, OPCW, OSCE, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mark MICELI-FARRUGIA |
| Diplomatic representation in the US: | chancery: 2017 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3611, 3612 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-5470 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Molly BORDONARO |
| Diplomatic representation from the US: | embassy: 3rd Floor, Development House, Saint Anne Street, Floriana, VLT 01 |
| Diplomatic representation from the US: | mailing address: P. O. Box 535, Valletta, CMR01 |
| Diplomatic representation from the US: | telephone: [356] 2561 4000 |
| Diplomatic representation from the US: | FAX: [356] 21 243229 |
| Flag description: | two equal vertical bands of white (hoist side) and red; in the upper hoist-side corner is a representation of the George Cross, edged in red |
