| Government | Malta |
| --- | --- |
| Country name: | conventional long form: Republic of Malta |
| Country name: | conventional short form: Malta |
| Country name: | local long form: Repubblika ta' Malta |
| Country name: | local short form: Malta |
| Country name: | etymology: the ancient Greeks called the island "Melite" meaning "honey-sweet" from the Greek word "meli" meaning "honey" and referring to the island's honey production |
| Government type: | parliamentary republic |
| Capital: | name: Valletta |
| Capital: | geographic coordinates: 35 53 N, 14 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: named in honor of Jean de Valette, the Grand Master of the Order of Saint John (crusader knights), who successfully led a defense of the island from an Ottoman invasion in 1565 |
| Administrative divisions: | 68 localities (Il-lokalita); Attard, Balzan, Birgu, Birkirkara, Birzebbuga, Bormla, Dingli, Fgura, Floriana, Fontana, Ghajnsielem, Gharb, Gharghur, Ghasri, Ghaxaq, Gudja, Gzira, Hamrun, Iklin, Imdina, Imgarr, Imqabba, Imsida, Imtarfa, Isla, Kalkara, Kercem, Kirkop, Lija, Luqa, Marsa, Marsaskala, Marsaxlokk, Mellieha, Mosta, Munxar, Nadur, Naxxar, Paola, Pembroke, Pieta, Qala, Qormi, Qrendi, Rabat, Rabat (Ghawdex), Safi, San Giljan/Saint Julian, San Gwann/Saint John, San Lawrenz/Saint Lawrence, Sannat, San Pawl il-Bahar/Saint Paul's Bay, Santa Lucija/Saint Lucia, Santa Venera/Saint Venera, Siggiewi, Sliema, Swieqi, Tarxien, Ta' Xbiex, Valletta, Xaghra, Xewkija, Xghajra, Zabbar, Zebbug, Zebbug (Ghawdex), Zejtun, Zurrieq |
| Independence: | 21 September 1964 (from the UK) |
| National holiday: | Independence Day, 21 September (1964); Republic Day, 13 December (1974) |
| Constitution: | history: many previous; latest adopted 21 September 1964 |
| Constitution: | amendments: proposals (Acts of Parliament) require at least two-thirds majority vote by the House of Representatives; passage of Acts requires majority vote by referendum, followed by final majority vote by the House and assent of the president of the republic; amended many times, last in 2016 (2017) |
| Legal system: | mixed legal system of English common law and civil law based on the Roman and Napoleonic civil codes; subject to European Union law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
