| Government | Malta |
| --- | --- |
| Country name: | conventional long form: Republic of Malta |
| Country name: | conventional short form: Malta |
| Country name: | local long form: Repubblika ta' Malta |
| Country name: | local short form: Malta |
| Government type: | republic |
| Capital: | Valletta |
| Administrative divisions: | none (administered directly from Valletta); note - Local Councils carry out administrative orders |
| Independence: | 21 September 1964 (from UK) |
| National holiday: | Independence Day, 21 September (1964) |
| Constitution: | 1964 constitution; amended many times |
| Legal system: | based on English common law and Roman civil law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Eddie FENECH ADAMI (since 4 April 2004) |
| Executive branch: | head of government: Prime Minister Lawrence GONZI (since 23 March 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | elections: president elected by the House of Representatives for a five-year term; election last held 29 March 2004 (next to be held by April 2009); following legislative elections, the leader of the majority party or leader of a majority coalition is usually appointed prime minister by the president for a five-year term; the deputy prime minister is appointed by the president on the advice of the prime minister |
| Executive branch: | election results: Eddie FENECH ADAMI elected president; percent of House of Representatives vote - 33 out of 65 votes |
| Legislative branch: | unicameral House of Representatives (usually 65 seats; note - additional seats are given to the party with the largest popular vote to ensure a legislative majority; members are elected by popular vote on the basis of proportional representation to serve five-year terms) |
| Legislative branch: | elections: last held 12 April 2003 (next to be held by April 2008) |
| Legislative branch: | election results: percent of vote by party - PN 51.7%, MLP 47.6%, AD 0.7%; seats by party - PN 34, MLP 31 |
| Judicial branch: | Constitutional Court; Court of Appeal; judges for both courts are appointed by the president on the advice of the prime minister |
| Political parties and leaders: | Alternativa Demokratika/Alliance for Social Justice or AD [Harry VASSALLO]; Malta Labor Party or MLP [Alfred SANT]; Nationalist Party or PN [Lawrence GONZI] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Australia Group, C, CE, EBRD, EIB, EU (new member), FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFAD, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM, NSG, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WEU (observer affiliate), WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador John LOWELL |
| Diplomatic representation in the US: | chancery: 2017 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3611, 3612 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-5470 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires William GRANT |
| Diplomatic representation from the US: | embassy: 3rd Floor, Development House, Saint Anne Street, Floriana, Malta VLT 01 |
| Diplomatic representation from the US: | mailing address: P. O. Box 535, Valletta, Malta, CMR01 |
| Diplomatic representation from the US: | telephone: [356] 2561 4000 |
| Diplomatic representation from the US: | FAX: [356] 21 243229 |
| Flag description: | two equal vertical bands of white (hoist side) and red; in the upper hoist-side corner is a representation of the George Cross, edged in red |
