| Government | Malta |
| --- | --- |
| Country name: | conventional long form: Republic of Malta |
| Country name: | conventional short form: Malta |
| Country name: | local long form: Repubblika ta' Malta |
| Country name: | local short form: Malta |
| Government type: | republic |
| Capital: | name: Valletta |
| Capital: | geographic coordinates: 35 53 N, 14 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 68 localities (Il-lokalita); Attard, Balzan, Birgu, Birkirkara, Birzebbuga, Bormla, Dingli, Fgura, Floriana, Fontana, Ghajnsielem, Gharb, Gharghur, Ghasri Ghaxaq, Gudja, Gzira, Hamrun, Iklin, Imdina, Imgarr, Imqabba, Imsida, Imtarfa, Isla, Kalkara, Kercem, Kirkop, Lija, Luqa, Marsa, Marsaskala, Marsaxlokk, Mellieha, Mosta, Munxar, Nadur, Naxxar, Paola, Pembroke, Pieta, Qala, Qormi, Qrendi, Rabat, Rabat (Ghawdex), Safi, San Giljan/Saint Julian, San Gwann/Saint John, San Lawrenz/Saint Lawrence, Sannat, San Pawl il-Bahar/Saint Paul's Bay, Santa Lucija/Saint Lucia, Santa Venera/Saint Venera, Siggiewi, Sliema, Swieqi, Tarxien, Ta' Xbiex, Valletta, Xaghra, Xewkija, Xghajra, Zabbar, Zebbug, Zebbug (Ghawdex), Zejtun, Zurrieq |
| Independence: | 21 September 1964 (from the UK) |
| National holiday: | Independence Day, 21 September (1964); Republic Day, 13 December (1974) |
| Constitution: | many previous; latest adopted 21 September 1964; amended many times, last in 2011 (2011) |
| Legal system: | mixed legal system of English common law and civil law (based on the Roman and Napoleonic civil codes) |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President George ABELA (since 4 April 2009) |
| Executive branch: | head of government: Prime Minister Joseph MUSCAT (since 11 March 2013) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
