| Government | Colombia |
| --- | --- |
| Country name: | conventional long form: Republic of Colombia |
| Country name: | conventional short form: Colombia |
| Country name: | local long form: Republica de Colombia |
| Country name: | local short form: Colombia |
| Government type: | republic; executive branch dominates government structure |
| Capital: | name: Bogota |
| Capital: | geographic coordinates: 4 36 N, 74 05 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Administrative divisions: | 32 departments (departamentos, singular - departamento) and 1 capital district* (distrito capital); Amazonas, Antioquia, Arauca, Atlantico, Bogota*, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Guainia, Guaviare, Huila, La Guajira, Magdalena, Meta, Narino, Norte de Santander, Putumayo, Quindio, Risaralda, Archipielago de San Andres, Providencia y Santa Catalina (colloquially San Andres y Providencia), Santander, Sucre, Tolima, Valle del Cauca, Vaupes, Vichada |
| Independence: | 20 July 1810 (from Spain) |
| National holiday: | Independence Day, 20 July (1810) |
| Constitution: | several previous; latest promulgated 5 July 1991; amended many times, last in 2011 (2013) |
| Legal system: | civil law system influenced by the Spanish and French civil codes |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Juan Manuel SANTOS Calderon (since 7 August 2010); Vice President Angelino GARZON (since 7 August 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Juan Manuel SANTOS Calderon (since 7 August 2010); Vice President Angelino GARZON (since 7 August 2010) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected by popular vote for a four-year term (eligible for a second term); election last held on 30 May 2010 with a runoff election 20 June 2010 (next to be held in May 2014) |
| Executive branch: | election results: Juan Manuel SANTOS Calderon elected president in runoff election; percent of vote - Juan Manuel SANTOS Calderon 69.06%, Antanas MOCKUS 27.52% |
