| Government | Colombia |
| --- | --- |
| Country name: | conventional long form: Republic of Colombia |
| Country name: | conventional short form: Colombia |
| Country name: | local short form: Colombia |
| Country name: | local long form: Republica de Colombia |
| Government type: | republic; executive branch dominates government structure |
| Capital: | Bogota |
| Administrative divisions: | 32 departments (departamentos, singular - departamento) and 1 capital district* (distrito capital); Amazonas, Antioquia, Arauca, Atlantico, Distrito Capital de Bogota*, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Guainia, Guaviare, Huila, La Guajira, Magdalena, Meta, Narino, Norte de Santander, Putumayo, Quindio, Risaralda, San Andres y Providencia, Santander, Sucre, Tolima, Valle del Cauca, Vaupes, Vichada |
| Independence: | 20 July 1810 (from Spain) |
| National holiday: | Independence Day, 20 July (1810) |
| Constitution: | 5 July 1991 |
| Legal system: | based on Spanish law; a new criminal code modeled after US procedures was enacted in 1992-93; judicial review of executive and legislative acts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alvaro URIBE Velez (since 7 August 2002); Vice President Francisco SANTOS (since 7 August 2002); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Alvaro URIBE Velez (since 7 August 2002); Vice President Francisco SANTOS (since 7 August 2002); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet consists of a coalition of the two dominant parties - the PL and PSC - and independents |
| Executive branch: | elections: president and vice president elected by popular vote for a four-year term; election last held 26 May 2002 (next to be held NA May 2006) |
| Executive branch: | election results: President Alvaro URIBE Velez received 53% of the vote; Vice President Francisco SANTOS was elected on the same ticket |
| Legislative branch: | bicameral Congress or Congreso consists of the Senate or Senado (102 seats; members are elected by popular vote to serve four-year terms) and the House of Representatives or Camara de Representantes (166 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 10 March 2002 (next to be held NA March 2006); House of Representatives - last held 10 March 2002 (next to be held NA March 2006) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - PL 28, PSC 13, independents and smaller parties (many aligned with conservatives) 61; House of Representatives - percent of vote by party - NA%; seats by party - PL 54, PSC 21, independents and other parties 91 |
| Judicial branch: | four coequal, supreme judicial organs; Supreme Court of Justice or Corte Suprema de Justical (highest court of criminal law; judges are selected from the nominees of the Higher Council of Justice for eight-year terms); Council of State (highest court of administrative law, judges are selected from the nominees of the Higher Council of Justice for eight-year terms); Constitutional Court (guards integrity and supremacy of the constitution, rules on constitutionality of laws, amendments to the constitution, and international treaties); Higher Council of Justice (administers and disciplines the civilian judiciary; members of the disciplinary chamber resolve jurisdictional conflicts arising between other courts; members are elected by three sister courts and Congress for eight-year terms) |
| Political parties and leaders: | Conservative Party or PSC [Carlos HOLGUIN Sardi]; Liberal Party or PL [Piedad CORDOBA and Juan Manuel LOPEZ Cabrales]; Colombian Communist Party or PCC [Jaime CAICEDO]; 19 of April Movement or M-19 [Antonio NAVARRO Wolff] |
| Political parties and leaders: | note: Colombia has about 60 formally recognized political parties, most of which do not have a presence in either house of Congress |
| Political pressure groups and leaders: | two largest insurgent groups active in Colombia - Revolutionary Armed Forces of Colombia or FARC and National Liberation Army or ELN; largest anti-insurgent paramilitary group is United Self-Defense Groups of Colombia or AUC |
| International organization participation: | BCIE, CAN, Caricom (observer), CDB, ECLAC, FAO, G-15, G-3, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Luis Alberto MORENO Mejia |
| Diplomatic representation in the US: | chancery: 2118 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco, San Juan (Puerto Rico), and Washington, DC |
| Diplomatic representation in the US: | consulate(s): Atlanta |
| Diplomatic representation in the US: | FAX: [1] (202) 232-8643 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-8338 |
| Diplomatic representation from the US: | chief of mission: Ambassador Anne W. PATTERSON |
| Diplomatic representation from the US: | embassy: Calle 22D-BIS, numbers 47-51, Apartado Aereo 3831 |
| Diplomatic representation from the US: | mailing address: Carrera 45 #22D-45, Bogota, D.C., APO AA 34038 |
| Diplomatic representation from the US: | telephone: [57] (1) 315-0811 |
| Diplomatic representation from the US: | FAX: [57] (1) 315-2197 |
| Flag description: | three horizontal bands of yellow (top, double-width), blue, and red; similar to the flag of Ecuador, which is longer and bears the Ecuadorian coat of arms superimposed in the center |
